"%d Review(s)","%d Anmeldelse(r)"
"1 star","1 stjerne"
"2 stars","2 stjerner"
"3 stars","3 stjerner"
"4 stars","4 stjerner"
"5 stars","5 stjerner"
"<a href=""%1$s"" onclick=""this.target='blank'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>","<a href=""%1$s"" onclick=""this.target='blank'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>"
"Add New Review","Tilføj Ny Anmeldelse"
"Administrator","Administrator"
"Allow Guests to Write Reviews","Tillad gæster at skrive anmeldelser"
"All Reviews","Alle Anmeldelser"
"All Reviews of Customer `%s`","Alle anmeldelser af Kunden `%s`"
"All Reviews of Product `%s`","Alle anmeldelser af produkt '%s'"
"Approved","Godkendt"
"Are you sure?","Er du sikker?"
"Are you sure you want to do this?","Er du sikker på, at du vil gøre dette?"
"Average Customer Rating:","Gennemsnitlig Kundevurdering:"
"Back","Tilbage"
"Back to My Reviews","Tilbage til mine anmeldelser"
"Be the First to Review","Vær den første til at gennemgå"
"Be the first to review this product","Vær den første til at anmelde dette produkt"
"Cancel","Annuller"
"Close","Luk"
"Created On","Oprettet Den"
"Customer","Kunde"
"Customer My Account Product Reviews","Kunde Min Konto Produkt Anmeldelser"
"Customer My Account Review Details","Kunde Min Konto Gennemgang Detaljer"
"Customer Reviews","Kunde Anmeldelser"
"Customers Reviews","Kunder Anmeldelser"
"Delete","Slet"
"Delete Review","Slet Anmeldelse"
"Detailed Rating","Detaljeret Vurdering"
"Edit Review '%s'","Rediger Anmeldelse '%s'"
"Guest","Gæst"
"ID","ID"
"Manage Ratings","Administrer Vurderinger"
"My Product Reviews","Mine Produktanmeldelser"
"My Recent Reviews","Mine Nylige Anmeldelser"
"Name","Navn"
"Name in Store","Navn i butikken"
"New Review","Ny Anmeldelse"
"Nickname","Kaldenavn"
"Nickname can't be empty","Kaldenavn må ikke være tomt"
"Not Approved","Ikke Godkendt"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Kun registrerede brugere kan skrive anmeldelser. Venligst <a href=""%s"">log ind</a> eller <a href=""%s"">registrere</a>"
"Pending","Afventer"
"Pending Reviews","Afventende Anmeldelser"
"Pending Reviews of Customer `%s`","Afventende anmeldelser af Kunden `%s`"
"Per IP address. Default 5 per hour. 0 to disable.","Pr. IP-adresse. Standard 5 i timen. 0 for at deaktivere."
"Please select a rating for each category","Vælg venligst en bedømmelse for hver kategori"
"Posted By","Skrevet Af"
"Price","Pris"
"Product","Produkt"
"Product Name","Produkt Navn"
"Product Rating","Produkt Bedømmelse"
"Product Reviews","Produkt Anmeldelser"
"Product SKU","Produkt Varenummer"
"Products Reviews","Produkter Anmeldelser"
"Qty","Antal"
"Rating:","Bedømmelse:"
"Review","Revision"
"Review (submitted on %s):","Gennemgang (indsendt %s):"
"Review can't be empty","Anmeldelse må ikke være tom"
"Review Details","Gennemse Detaljer"
"Review Form Fields Before","Gennemgå Formularfelter Før"
"Reviews","Anmeldelser"
"Reviews and Ratings","Anmeldelser og vurderinger"
"Review submit","Anmeldelse indsendes"
"Review summary can't be empty","Anmeldelse resumé må ikke være tom"
"Save Review","Gem Anmeldelse"
"SKU","Varenummer"
"Status","Status"
"Submit Review","Indsend Anmeldelse"
"Summary","Summary"
"Summary of Review","Resumé af gennemgangen"
"Summary Rating","Oversigt Bedømmelse"
"This product has no reviews yet","Dette produkt har endnu ingen anmeldelser"
"Title","Titel"
"Type","Type"
"Unable to post the review.","Kan ikke skrive gennemgangen."
"Update Status","Opdater Status"
"View All Reviews","Se Alle Anmeldelser"
"View Details","Vis Detaljer"
"Visible In","Synlig Ind"
"Websites","Websider"
"Write a Review","Skriv en anmeldelse"
"You're reviewing:","Du anmelder:"
"You have submitted no reviews.","Du har ikke indsendt anmeldelser."
"Your Rating:","Din Bedømmelse:"
"Your Review (submitted on %s):","Din anmeldelse (indsendt %s):"
"Your review has been accepted for moderation.","Din anmeldelse er blevet accepteret til moderation."
