"# of Items (and above)","# af Elementer (og ovenfor)"
"# of Items vs. Destination","# af Elementer vs. Destination"
"An error occurred while import table rates.","Der opstod en fejl under import tabel satser."
"Calculate Handling Fee","Beregn Håndteringsgebyr"
"Carrier:","Transportør:"
"City","By"
"Close Window","Luk Vindue"
"Condition","Tilstand"
"contact us","kontakt os"
"Country","Land"
"Custom Value","Brugerdefineret Værdi"
"Date","Dato"
"Delivered on:","Leveret den:"
"Delivered to:","Leveret til:"
"Description","Varebeskrivelse"
"Displayed Error Message","Viste Fejlmeddelelse"
"Divide to equal weight (one request)","Divider til samme vægt (en anmodning)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Dupliker række #%s (Land ""%s"", Region/stat ""%s"", Zip ""%s"" og værdi ""%s"")."
"email us at ","email os på "
"Enabled","Aktiveret"
"Error:","Fejl:"
"Export","Eksporter"
"File has not been imported. See the following list of errors: %s","Filen er ikke blevet importeret. Se følgende liste over fejl: %s"
"Fixed","Fast"
"Flat Rate","Fast Sats"
" for more information or "," for mere information eller "
"Free Shipping","Gratis Forsendelse"
"Handling Fee","Gebyr Til Håndtering"
"Import","Importér"
"Include Virtual Products in Price Calculation","Inkluder virtuelle produkter i prisberegningen"
"Info:","Information:"
"Invalid %s ""%s"" in the Row #%s.","Ugyldig %s ""%s"" i rækken #%s."
"Invalid Country ""%s"" in the Row #%s.","Ugyldigt land ""%s"" i rækken #%s."
"Invalid Region/State ""%s"" in the Row #%s.","Ugyldig Region/stat ""%s"" i rækken #%s."
"Invalid Shipping Price ""%s"" in the Row #%s.","Ugyldig leveringspris ""%s"" i rækken #%s."
"Invalid Table Rate code for type %s: %s","Ugyldig tabel sats kode for type %s: %s"
"Invalid Table Rate code type: %s","Ugyldig tabel sats kode type: %s"
"Invalid Table Rates File Format","Ugyldig Tabel Satser Filformat"
"Invalid Table Rates format in the Row #%s","Ugyldig tabelrate format i rækken #%s"
"Local Time","Lokal Tid"
"Location","Placering"
"Method Name","Metode Navn"
"Minimum Order Amount","Minimum Ordre Beløb"
"N/A","N/A"
"None","Ingen"
"Options","Indstillinger"
"Order Subtotal (and above)","Ordre Subtotal (og ovenfor)"
"Origin","Oprindelse"
"Percent","Procent"
"Per Order","Pr. Ordre"
"Per Package","Pr. Pakke"
"Price","Pris"
"Price vs. Destination","Pris vs. destination"
"Region/State","Region/stat"
"Service Type:","Service Type:"
"Shipment #","Forsendelse #"
"Shipment Tracking Popup","Pakke Sporing Popup"
"Shipped or billed on:","Afsendt eller faktureret den:"
"Shipping Methods","Leveringsmetoder"
"Shipping Settings","Leveringsindstillinger"
"Ship to Applicable Countries","Send til gældende lande"
"Ship to Specific Countries","Send til bestemte lande"
"Show Method if Not Applicable","Vis metode, hvis ikke relevant"
"Signed by:","Signeret af:"
"Sort Order","Sortér Ordre"
"Status:","Status:"
"Street Address","Gade Adresse"
"Street Address Line 2","Gadenavn Linje 2"
"Table Rates","Tabel Priser"
"There is no tracking available.","Der er ingen sporing tilgængelig."
"There is no tracking available for this shipment.","Der er ingen sporing tilgængelig for denne forsendelse."
"The shipping module is not available.","Leveringsmodulet er ikke tilgængeligt."
"The shipping module is not available for selected delivery country.","Leveringsmodulet er ikke tilgængeligt for det valgte leveringsland."
"This shipping method is currently unavailable.","Denne forsendelsesmetode er i øjeblikket ikke tilgængelig."
"This shipping method is not available, please specify ZIP-code","Denne forsendelsesmetode er ikke tilgængelig, angiv venligst postnummer"
"Title","Titel"
"Track:","Spor:"
"Tracking Information","Sporingsoplysninger"
"Tracking information is currently not available. Please ","Sporingsinformation er i øjeblikket ikke tilgængelig. "
"Tracking information is currently unavailable.","Sporingsoplysninger er i øjeblikket ikke tilgængelige."
"Tracking Number:","Tracking Nummer:"
"Type","Type"
"Use origin weight (few requests)","Brug oprindelsesvægt (få anmodninger)"
"Weight (and above)","Vægt (og derover)"
"Weight:","Vægt:"
"Weight vs. Destination","Vægt vs. destination"
"ZIP/Postal Code","Postnummer"
