"--Please Select--","--Vælg Venligst"
"Accepted Currency","Accepteret Valuta"
"API Login ID","API Login ID"
"Card Verification Number","Kort Verifikationsnummer"
"Card Verification Number Visual Reference","Kort Verifikationsnummer Visuel Reference"
"Close","Luk"
"Credit Card Number","Kreditkort Nummer"
"Credit Card Type","Kreditkort Type"
"Credit Card Types","Kreditkort Typer"
"Credit Card Verification","Kreditkort Verifikation"
"Debug","Debug"
"Email Customer","Email Kunde"
"Enabled","Aktiveret"
"Expiration Date","Udløbsdato"
"Gateway URL","Gateway URL"
"Maximum Order Total","Maksimal Ordre I Alt"
"Merchant's Email","Købmands E-Mail"
"Minimum Order Total","Minimum Ordre Total"
"New Order Status","Ny Ordrestatus"
"Order saving error: %s","Bestillingslagringsfejl: %s"
"Payment Action","Betalings Handling"
"Payment authorization error.","Fejl i betalingsgodkendelse."
"Payment from Applicable Countries","Betaling fra gældende lande"
"Payment from Specific Countries","Betaling fra specifikke lande"
"Sort Order","Sortér Ordre"
"Test Mode","Testtilstand"
"The order has been created.","Ordren er blevet oprettet."
"There was an error processing your order. Please contact us or try again later.","Der opstod en fejl under behandlingen af din ordre. Kontakt os eller prøv igen senere."
"Title","Titel"
"Transaction Key","Transaktionsnøgle"
"What is this?","Hvad er dette?"
