"3D Secure","3D Sikker"
"Actions","Handlinger"
"Added","Tilføjet"
"Allows logged-in customers to save their payment methods for faster future checkouts. Saved tokens are stored securely by PayPal.","Tillader kunder at gemme deres betalingsmetoder for hurtigere fremtidige udbetalinger. Gemte poletter gemmes sikkert af PayPal."
"Are you sure you want to delete this payment method?","Er du sikker på du vil slette denne betalingsmetode?"
"Authorization ID","Tilladelse ID"
"Authorize and Capture","Godkend og optag"
"Authorize Only","Kun Godkend"
"Automatically populated after clicking ""Register Webhook"". Used to verify the authenticity of incoming PayPal notifications.","Automatisk befolket efter at have klikket på ""Registrer Webhook"". Bruges til at verificere ægtheden af indgående PayPal-meddelelser."
"AVS Code","AVS Kode"
"Bancontact","Bancontact"
"BLIK","BLIK"
"Capture ID","Optag ID"
"Cart is empty.","Indkøbskurven er tom."
"Client ID","Klient ID"
"Client Secret","Klient Hemmelighed"
"Confirm your payment with PayPal, then click ""Place Order"".","Bekræft din betaling med PayPal, og klik derefter på ""Placer ordre""."
"Connection failed. Please check your credentials.","Forbindelsen mislykkedes. Tjek venligst dine legitimationsoplysninger."
"Connection failed: %s","Forbindelse fejlede: %s"
"Connection successful.","Forbindelsen lykkedes."
"Could not acquire order lock.","Kunne ikke erhverve ordrelås."
"CVV Code","CVV Kode"
"Debug Mode","Fejlfindingstilstand"
"Delete","Slet"
"Display on Product Page","Vis på produktside"
"Display on Shopping Cart","Vis på indkøbskurv"
"Displays inline credit/debit card fields directly on your checkout page. Customers enter their card details without being redirected to PayPal. Requires PayPal Advanced Checkout eligibility.","Viser inline kredit- og betalingskortfelter direkte på din betalingsside. Kunder indtaster deres kortoplysninger uden at blive omdirigeret til PayPal. Kræver PayPal Avanceret Checkout berettigelse."
"Displays PayPal buttons at checkout. Customers pay with their PayPal account, Pay Later, or other PayPal-supported methods without leaving your site.","Viser PayPal-knapper ved kassen. Kunder betaler med deres PayPal-konto, Betal senere eller andre PayPal-understøttede metoder uden at forlade dit websted."
"Enabled","Aktiveret"
"eps","eps"
"Failed to create PayPal order.","Mislykkedes at oprette PayPal ordre."
"Failed to create PayPal order: %s","Mislykkedes at oprette PayPal ordre: %s"
"Failed to register webhook.","Kunne ikke registrere webhook."
"giropay","giropay"
"iDEAL","iDEAL"
"Invalid form key.","Ugyldig formularnøgle."
"Invalid payment method.","Ugyldig betalingsmetode."
"Log API requests and responses to var/log/paypal.log","Log API-anmodninger og svar på var/log/paypal.log"
"Missing PayPal order ID.","Mangler PayPal ordre ID."
"MyBank","MyBank"
"No PayPal authorization ID found for void.","Intet PayPal autorisations-id fundet for ugyldig."
"No PayPal authorization or order ID found for capture.","Ingen PayPal godkendelse eller ordre ID fundet til capture."
"No PayPal capture ID found for refund.","Intet PayPal capture ID fundet til tilbagebetaling."
"No saved payment methods available.","Ingen gemte betalingsmetoder til rådighed."
"No saved payment methods available for this customer.","Ingen gemte betalingsmetoder tilgængelige for denne kunde."
"Payer Email","Betaler E-Mail"
"Payer ID","Payer ID"
"Pay Later","Betal Senere"
"Pay Later Messaging","Betal Senere Beskeder"
"Payment Action","Betalings Handling"
"Payment Method","Betalingsmetode"
"Payment method has been deleted.","Betalingsmetode er blevet slettet."
"PayPal","PayPal"
"PayPal - Advanced Checkout (Card Fields)","PayPal - Avanceret Checkout (Kortfelter)"
"PayPal - General Settings","PayPal - Generelle Indstillinger"
"PayPal - Standard Checkout (PayPal Buttons)","PayPal - Standard Checkout (PayPal Knapper)"
"PayPal - Vault (Saved Payment Methods)","PayPal - Boks (Saved Betalingsmetoder)"
"PayPal capture failed: no capture ID returned.","PayPal capture fejlede: intet capture ID returneret."
"PayPal Client ID and Client Secret are required when a PayPal payment method is enabled.","PayPal Klient ID og klient Hemmelighed er påkrævet, når en PayPal betalingsmetode er aktiveret."
"PayPal Credit","PayPal Kredit"
"PayPal did not return a payer email address.","PayPal returnerede ikke en betalers e-mailadresse."
"PayPal order amount does not match this cart.","PayPal ordrebeløb matcher ikke denne kurv."
"PayPal order could not be approved. Status: %s","PayPal ordre kunne ikke godkendes. Status: %s"
"PayPal order currency does not match this cart.","PayPal ordre valuta matcher ikke denne kurv."
"PayPal order does not belong to this cart.","Paypal ordre hører ikke til denne kurv."
"PayPal Order ID","Paypal Ordre ID"
"PayPal order ID not found.","PayPal ordre ID ikke fundet."
"Please complete the PayPal payment before placing the order.","Udfyld venligst PayPal-betalingen, før du afgiver ordren."
"Processor Response","Processor Respons"
"Przelewy24","Przelewy24"
"Quote is no longer active and no matching order was found.","Tilbud er ikke længere aktivt og ingen matchende ordre blev fundet."
"Registers a webhook with PayPal to receive real-time notifications for payments, refunds, and disputes. Requires a publicly accessible HTTPS URL.","Registrerer en webhook med PayPal for at modtage meddelelser i realtid om betalinger, tilbagebetalinger og tvister. Kræver en offentligt tilgængelig HTTPS-URL."
"Register Webhook","Registrer Webhook"
"Review your order on the next step to confirm your payment with PayPal.","Gennemgå din ordre på næste trin for at bekræfte din betaling med PayPal."
"Sandbox Mode","Sandkasse Tilstand"
"Saved Payment","Gemt Betaling"
"Saved Payment Method","Gemt Betalingsmetode"
"Saved Payment Methods","Gemte Betalingsmetoder"
"Save this payment method for future purchases","Gem denne betalingsmetode til fremtidige køb"
