"%s message(s) discarded.","%s viesti(t) hylättiin."
"%s message(s) re-queued.","%s viestiä jonossa uudelleen."
"%s message(s) were skipped: only failed or stuck messages without a newer copy of their dedupe key can be retried.","%s viestiä ohitettiin: vain epäonnistuneet tai jumiutuneet viestit ilman uudempaa kopiota niiden dedupe avaimesta voidaan hakea."
"%s queue message(s) were claimed by a worker that never finished. They are not re-queued automatically: <a href=""%s"">retry or discard them</a>.","Työntekijä, joka ei koskaan valmis, väitti %s -viestin olevan valmis. Niitä ei ole jonossa automaattisesti: <a href=""%s"">yritä uudelleen tai hylkää ne</a>."
"0 keeps failed messages forever.","0 pitää epäonnistuneet viestit ikuisesti."
"0 removes messages immediately on success; a positive value keeps them visible in the grid for this many days.","0 poistaa viestit heti onnistumisen yhteydessä; positiivinen arvo pitää ne näkyvissä ruudukossa monta päivää."
"Action","Toiminto"
"Available","Saatavilla"
"Available (UTC)","Saatavilla (Utc)"
"Back","Takaisin"
"Background message processing. Maho cron keeps one detached ""queue:work"" worker running per pool: a resident ""fast"" worker so short jobs never queue behind long ones, plus a ""slow"" catch-all started only while it has work. Both are respawned within a minute if they die. Pools are declared in config.xml under global/queue/pools.","Taustaviestien käsittely. Maho cron pitää yhden irrallisen ""jono:työ"" työntekijän juoksemassa altaaa kohti: asuva ""nopea"" työntekijä, joten lyhyitä työpaikkoja ei koskaan jonota pitkien työpaikkojen taakse, plus ""hidas"" catch-all alkoi vasta kun se on toiminut. Molemmat palautetaan minuutin kuluessa, jos ne kuolevat. Poolit ilmoitetaan config.xml alle globaali / jono / altaat."
"Body (serialized)","Runko (serialized)"
"Claimed (UTC)","Claimed (UTC)"
"Completed","Valmis"
"Discard","Hylkää"
"Discard Messages","Hylkää Viestit"
"Each retry waits this many times longer than the previous one.","Jokainen uudelleen odottaa tätä monta kertaa pidempi kuin edellinen."
"Error","Virhe"
"Failed","Epäonnistui"
"Failed messages are retried this many times with exponential backoff, then marked failed.","Epäonnistuneita viestejä kokeiltiin uudelleen monta kertaa eksponentiaalisella backoffilla, minkä jälkeen ne merkittiin epäonnistui."
"ID","ID"
"Initial Retry Delay (seconds)","Ensimmäinen Uudelleen Viive (Sekuntia)"
"Keep Completed Messages (days)","Pidä Valmiit Viestit (Päivää)"
"Keep Failed Messages (days)","Pidä Epäonnistuneet Viestit (Päivää)"
"Max Retries","Maksimi Uudelleen"
"Max Retry Delay (seconds)","Max Uudelleen Viive (Sekuntia)"
"Message","Viesti"
"Message #%s","Viesti #%s"
"Message Class","Message Class"
"Message Details","Viestin Tiedot"
"Message discarded.","Viesti hylätty."
"Message not found.","Viestiä ei löytynyt."
"Message Queue","Viestin Jono"
"Message re-queued.","Viesti jonossa uudelleen."
"Pending","Odottaa"
"Permanently delete the selected messages?","Poistetaanko valitut viestit pysyvästi?"
"Permanently delete this message?","Poistetaanko tämä viesti pysyvästi?"
"Processed (UTC)","Käsitelty (UTC)"
"Processing","Käsitellään"
"Queue","Jono"
"Queued","Jonossa"
"Queued (UTC)","Queued (UTC)"
"Re-queue the selected messages?","Jonottaa valitut viestit?"
"Re-queue this message?","Jonotaanko tämä viesti uudelleen?"
"Retries","Uudelleen"
"Retry","Yritä Uudelleen"
"Retry Delay Multiplier","Yritä Viive Kerroin"
"Retry Messages","Yritä Viestejä Uudelleen"
"Status","Tila"
"The message was not retried: only failed or stuck messages without a newer copy of their dedupe key can be retried.","Viestiä ei haettu: vain epäonnistuneet tai jumiutuneet viestit ilman uudempaa kopiota niiden dedupe avain voidaan hakea."
"Upper bound for the backoff. 0 means no bound.","Ylemmät takakoff. 0 tarkoittaa ei sidottu."
"View","Näytä"
"View Messages","Näytä Viestit"
