"%d Review(s)","%d Arvostelu(t)"
"1 star","1 tähti"
"2 stars","2 tähteä"
"3 stars","3 tähteä"
"4 stars","4 tähteä"
"5 stars","5 tähteä"
"<a href=""%1$s"" onclick=""this.target='blank'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>","<a href=""%1$s"" onclick=""this.target='blank'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>"
"Add New Review","Lisää Uusi Arvostelu"
"Administrator","Ylläpitäjä"
"Allow Guests to Write Reviews","Salli asiakkaiden kirjoittaa arvioita"
"All Reviews","Kaikki Arvostelut"
"All Reviews of Customer `%s`","Kaikki Asiakasarviot `%s`"
"All Reviews of Product `%s`","Kaikki Tuotearvostelut `%s`"
"Approved","Hyväksytty"
"Are you sure?","Oletko varma?"
"Are you sure you want to do this?","Oletko varma, että haluat tehdä tämän?"
"Average Customer Rating:","Keskimääräinen Asiakasarvio:"
"Back","Takaisin"
"Back to My Reviews","Takaisin minun arvosteluihini"
"Be the First to Review","Ole ensimmäinen arvioitavana"
"Be the first to review this product","Kirjoita ensimmäinen arvio tästä tuotteesta"
"Cancel","Peruuta"
"Close","Sulje"
"Created On","Luotu Päälle"
"Customer","Asiakas"
"Customer My Account Product Reviews","Asiakkaan Omat Tuotearvostelut"
"Customer My Account Review Details","Asiakkaan Tilini Arvostelutiedot"
"Customer Reviews","Asiakkaiden Arvostelut"
"Customers Reviews","Asiakkaiden Arvostelut"
"Delete","Poista"
"Delete Review","Poista Arvostelu"
"Detailed Rating","Yksityiskohtainen Arvostelu"
"Edit Review '%s'","Muokkaa Arvostelua '%s'"
"Guest","Vieras"
"ID","ID"
"Manage Ratings","Hallitse Arvostelut"
"My Product Reviews","Omat Tuotearvostelut"
"My Recent Reviews","Viimeisimmät Arvostelut"
"Name","Nimi"
"Name in Store","Kaupan nimi"
"New Review","Uusi Arvostelu"
"Nickname","Lempinimi"
"Nickname can't be empty","Nimimerkki ei voi olla tyhjä"
"Not Approved","Ei Hyväksytty"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>"
"Pending","Odottaa"
"Pending Reviews","Odottavat Arvostelut"
"Pending Reviews of Customer `%s`","Asiakkaan `%s odottavia arvioita `"
"Per IP address. Default 5 per hour. 0 to disable.","Per IP-osoite. Oletus 5 tunnissa. 0 poistaa käytöstä."
"Please select a rating for each category","Ole hyvä ja valitse luokitus jokaiselle kategorialle"
"Posted By","Lähettäjä"
"Price","Hinta"
"Product","Tuote"
"Product Name","Tuotteen Nimi"
"Product Rating","Tuotteen Luokitus"
"Product Reviews","Tuotteiden Arvostelut"
"Product SKU","Tuotteen Tuotenro"
"Products Reviews","Tuotteiden Arvostelut"
"Qty","Määrä"
"Rating:","Arvostelu:"
"Review","Arvostelu"
"Review (submitted on %s):","Arvostelu (lähetetty %s):"
"Review can't be empty","Arvostelu ei voi olla tyhjä"
"Review Details","Tarkista Yksityiskohdat"
"Review Form Fields Before","Tarkista Lomakekentät Ennen"
"Reviews","Arvostelut"
"Reviews and Ratings","Arvostelut ja arvostelut"
"Review submit","Tarkista lähetys"
"Review summary can't be empty","Katsauksen yhteenveto ei voi olla tyhjä"
"Save Review","Tallenna Arvostelu"
"SKU","Tuotenro"
"Status","Tila"
"Submit Review","Lähetä Arvostelu"
"Summary","Summary"
"Summary of Review","Tiivistelmä tarkastelusta"
"Summary Rating","Yhteenveto Arvostelu"
"This product has no reviews yet","Tällä tuotteella ei ole vielä arvosteluja"
"Title","Otsikko"
"Type","Tyyppi"
"Unable to post the review.","Arvostelua ei voitu lähettää."
"Update Status","Päivitä Tila"
"View All Reviews","Näytä Kaikki Arvostelut"
"View Details","Näytä Yksityiskohdat"
"Visible In","Näkyvä Sisään"
"Websites","Sivustot"
"Write a Review","Kirjoita arvostelu"
"You're reviewing:","Arvostelet sitä:"
"You have submitted no reviews.","Et ole lähettänyt arvosteluja."
"Your Rating:","Sinun Arvostelu:"
"Your Review (submitted on %s):","Arvostelusi (lähetetty %s):"
"Your review has been accepted for moderation.","Arvostelusi on hyväksytty kohtuulliseksi."
