"-- None --","-- Ei Mitään --"
"Adds aggregateRating (rating value and review count) and individual review nodes (reviewer name and review text) to the product schema when reviews are enabled.","Lisää aggregateRating (luottoluokitusarvo ja arvostelumäärä) ja yksittäiset arvostelut solmut (arvostelijan nimi ja arvosteluteksti) tuoteohjelmaan, kun arvostelut on käytössä."
"Automatic (from Right of Withdrawal settings)","Automaattinen (poistamisen oikealta puolelta)"
"Automatic emits a finite return window from the Right of Withdrawal settings when that feature is enabled, and nothing otherwise. Never advertise a policy the store does not honor.","Automaattisesti lähettää rajallisen palautusikkunan Oikealta peruutusasetuksista, kun tämä ominaisuus on käytössä, eikä mitään muuta. Älä koskaan mainosta politiikkaa, jota kauppa ei kunniaa."
"Brand Attribute","Tuotemerkin Attribuutti"
"Condition Attribute","Ehto Attribuutti"
"Countries the return policy applies to. Leave empty to use the merchant country, or the shipping origin country when the merchant country is not set.","Maat, joita palautuskäytäntö koskee. Jätä tyhjäksi käyttääksesi kauppiasmaata tai toimitusalkuperämaata, kun kauppiasmaata ei ole asetettu."
"Customer Pays Return Shipping","Asiakas Maksaa Palautuksen Toimituksen"
"Days between order and shipment. Both minimum and maximum are needed to emit handlingTime.","Päiviä tilauksen ja lähetyksen välillä. Sekä pienin että suurin tarvitaan lähettämään käsittelyaika."
"Days between shipment and delivery. Both minimum and maximum are needed to emit transitTime.","Lähetyksen ja toimituksen välillä tarvitaan sekä pienin että suurin sallittu kuljetusaika."
"Do Not Emit","Älä Syötä"
"Enable Structured Data","Ota Rakenteelliset Tiedot Käyttöön"
"Finite Return Window","Finite Palautusikkuna"
"Flat shipping rate in base currency for the schema.org shippingDetails node. Leave empty to derive the rate from the active Flat Rate and Free Shipping carriers. Destination countries come from the carrier and store shipping country settings.","Kiinteä toimitushinta perusvaluutta varten schema.org toimitusYksityiskohdat solmu. Jätä tyhjäksi saadaksesi hinnan aktiivisesta kiinteästä hinnasta ja ilmaisista kuljetusliikkeistä. Kohdemaat tulevat kuljetusliikkeestä ja varastoivat varustamon asetuksia."
"Free Return","Vapaa Palautus"
"GTIN Attribute","GTIN Attribuutti"
"Handling Time Maximum (days)","Käsittelyaika Maksimi (Päivää)"
"Handling Time Minimum (days)","Käsittelyaika Minimi (Päivää)"
"Include Ratings & Reviews","Sisällytä Arvostelut Ja Arvostelut"
"Local Business","Paikallinen Yritys"
"MPN Attribute","MPN Attribuutti"
"Online Store","Verkkokauppa"
"Organization","Organisaatio"
"Organization Type","Organisaation Tyyppi"
"Outputs <strong>JSON-LD structured data</strong> following schema.org and Google's requirements, enabling rich results for products, breadcrumbs, organization info and site search. Validate your pages with the <a href=""https://search.google.com/test/rich-results"" target=""_blank"">Google Rich Results Test</a>.","Tuotokset <strong>JSON-LD jäsennelty data</strong> seuraamalla schema.org ja Googlen vaatimuksia, mahdollistaen monipuoliset tulokset tuotteille, muruille, organisaation tiedot ja sivuston hakuun. Vahvista sivut <a href=""https://search.google.com/test/rich-results"" target=""_blank"">Google Rich Tulokset Test</a>."
"Product attribute holding the Global Trade Item Number (UPC/EAN/ISBN).","Tuotteen attribuutti, jolla on Global Trade Item Number (UPC/EAN/ISBN)."
"Product attribute holding the item condition (new, refurbished, used, damaged). Products without a value are emitted as new.","Tuoteattribuutti, jolla on tuotteen kunto (uusia, kunnostettuja, käytettyjä vahingoittuneita). Tuotteet, joilla ei ole arvoa, vapautetaan uutena."
"Product attribute holding the Manufacturer Part Number.","Tuotteen attribuutti, jolla on valmistajan osan numero."
"Product attribute used for the schema.org ""brand"" property.","Tuotteen attribuutti käytetään schema.org ""brand"" omaisuutta."
"Product Schema","Tuotteen Teema"
"Return at Kiosk","Palaa Kioskiin"
"Return by Mail","Palautus postitse"
"Return Countries","Palautuksen Maat"
"Return Fees","Palautukset Maksut"
"Return in Store","Palauta myymälässä"
"Return Method","Palautus Menetelmä"
"Return Policy","Palautusoikeus"
"Return Policy Type","Palautuskäytännön Tyyppi"
"Returns Not Permitted","Palautukset Ei Sallittu"
"Return Window (days)","Palautusikkuna (Päivää)"
"Shipping Details","Toimituksen Tiedot"
"Shipping Rate","Toimituskulut"
"Structured Data (schema.org)","Strukturoitu data (schema.org)"
"Transit Time Maximum (days)","Kauttakulkuaika Enintään (Päivää)"
"Transit Time Minimum (days)","Kauttakulkuaika Vähintään (Päivää)"
"Unlimited Return Window","Rajoittamaton Paluuikkuna"
