"%s-%s of %s","%s-%s %s"
"%s - Go to Home Page","%s - Siirry aloitussivulle"
"%s Item(s)","%s Kohde(t)"
"-- Please Select --","-- Valitse --"
"-- Use Default --","-- Käytä Oletusta --"
"1 column","1 sarake"
"2 columns with left bar","2 saraketta vasemmalla palkkilla"
"2 columns with right bar","2 saraketta oikealla palkkilla"
"3 columns","3 saraketta"
"Account","Tili"
"All Empty Layout Pages","Kaikki Tyhjät Asettelusivut"
"All Minimal Layout Pages","Kaikki Minimaaliset Asettelusivut"
"All One-Column Layout Pages","Kaikki Yhden Sarakkeen Sivut"
"Allow","Salli"
"All Pages","Kaikki Sivut"
"All Pages (Print Version)","Kaikki Sivut (Print Versio)"
"All Rights Reserved.","Kaikki Oikeudet Pidätetään."
"All Three-Column Layout Pages","Kaikki Kolmen Sarakkeen Sivut"
"All Two-Column Layout Pages (Left Column)","Kaikki Kahden Sarakkeen Sivut (Vasen Sarake)"
"All Two-Column Layout Pages (Right Column)","Kaikki Kahden Sarakkeen Sivut (Oikean Sarakkeen)"
"Breadcrumbs","Murupolku"
"Click <a href=""%s"">here</a> if nothing has happened","Click <a href=""%s"">here</a> if nothing has happened"
"Close","Sulje"
"Close Window","Sulje Ikkuna"
"CMS Block","CMS-lohko"
"Custom Text","Mukautettu Teksti"
"Default Description","Oletus Kuvaus"
"Demo Store Notice CMS Block","Demo Store Ilmoitus CMS Block"
"Demo Store Notice Text","Demo Store -ilmoitus Teksti"
"Deprecated: Use SVG or srcset","Vanhentunut: Käytä SVG tai srcset"
"Disabled","Pois Käytöstä"
"Empty","Tyhjä"
"Interface Language","Käyttöliittymän Kieli"
"Leave empty to use the default text.","Jätä tyhjäksi käyttääksesi oletustekstiä."
"Left Column","Vasen Sarake"
"Left Column First (shows above main column on smaller screens)","Vasen sarake Ensimmäinen (näyttää pääsarakkeen yläpuolella pienemmillä ruuduilla)"
"Logo Height (in px)","Logon korkeus (px)"
"Logo Width (in px)","Logon leveys (px)"
"Main Content Area","Pääsisältöalue"
"Main Navigation","Tärkein Navigointi"
"Menu","Valikko"
"Minimal","Minimaali"
"Navigation Bar","Navigointipalkki"
"Next","Seuraava"
"Page:","Sivu:"
"Page Bottom","Sivu Alhaalla"
"Page Footer","Sivun Alatunniste"
"Page Header","Sivun Otsikko"
"Page Top","Sivun Yläosa"
"per page","per sivu"
"Previous","Edellinen"
"Primary sidebar","Ensisijainen sivupalkki"
"Redirecting...","Uudelleenohjataan..."
"Results per page","Tuloksia per sivu"
"Right Column","Oikea Sarake"
"Right sidebar","Oikea sivupalkki"
"Search","Etsi"
"Secondary sidebar","Toissijainen sivupalkki"
"Select Store","Valitse Kauppa"
"Select Store:","Valitse Kauppa:"
"Show","Näytä"
"Skip to main content","Siirry pääsisältöön"
"Store Notice","Myymälän Ilmoitus"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Tämä on esittelykauppa. Kaikki tämän kaupan kautta tehdyt tilaukset eivät ole kunnioitettuja tai täytettyjä."
"View All","Näytä Kaikki"
"Welcome!","Tervetuloa!"
"Welcome, %s!","Tervetuloa, %s!"
"Your Language","Sinun Kieli"
"Your Language:","Sinun Kieli:"
