"1 star","1 tähti"
"2 stars","2 tähteä"
"3 stars","3 tähteä"
"4 stars","4 tähteä"
"5 stars","5 tähteä"
"Add New Rating","Lisää Uusi Arvostelu"
"Assigned Options","Kohdennetut Asetukset"
"Be the first to review this product","Kirjoita ensimmäinen arvio tästä tuotteesta"
"Default Value","Oletus Arvo"
"Delete Rating","Poista Arvostelu"
"Edit Rating","Muokkaa Arvostelua"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Jos et määritä luokituksen otsikkoa kaupalle, käytetään oletusarvoa, jos se on saatavilla."
"Manage Ratings","Hallitse Arvostelut"
"New Rating","Uusi Arvostelu"
"Option Label","Valinnan Nimike"
"Option Title","Valinnan Otsikko"
"Option Title:","Valinnan Otsikko:"
"Please select one of each ratings above","Valitse yksi jokaisesta ylläolevasta luokituksesta"
"Rating Information","Luokituksen Tiedot"
"Rating isn't Available","Arvostelu ei ole käytettävissä"
"Rating Name","Luokituksen Nimi"
"Rating Title","Arvion Otsikko"
"Rating Visibility","Arvion Näkyvyys"
"Rating with the same title","Arvostelu samalla otsikolla"
"Save Rating","Tallenna Arvostelu"
"Sort Order","Järjestä Järjestys"
"Visible In","Näkyvä Sisään"
