"%s %s cycle.","%s %s sykli."
"%s (unavailable)","%s (Ei saatavilla)"
"* Required Fields","* Vaaditut Kentät"
"--Please Select--","--Please Select--"
"3D Secure Card Validation","3D Turvallinen Kortin Vahvistus"
"<label>Make Check payable to:</label> %s","<label>Tee shekki maksettavaksi:</label> %s"
"Action","Toiminto"
"Add New Restriction","Lisää Uusi Rajoitus"
"Allow Initial Fee Failure","Salli Alkumaksun Epäonnistuminen"
"An internal reference ID is required to save the payment profile.","Maksuprofiilin tallentaminen edellyttää sisäistä viitenumeroa (reference ID)."
"Apply the restriction only if the following conditions are met (leave blank for all)","Sovelletaan rajoitusta vain, jos seuraavat edellytykset täyttyvät (jätä tyhjäksi kaikille)"
"Are you sure?","Oletko varma?"
"Authorize action is not available.","Valtuutus toiminto ei ole käytettävissä."
"Auto Bill on Next Cycle","Automaattinen lasku seuraavassa syklissä"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Lasketaan automaattisesti jäljellä oleva saldo seuraavan laskutusjakson aikana (jos ei ollut maksuja)."
"Automatically Invoice All Items","Laske Kaikki Kohteet Automaattisesti"
"Bank Transfer Payment","Pankkisiirron Maksu"
"Billing Agreement status is not set.","Laskutussopimuksen asemaa ei ole asetettu."
"Billing Amount","Laskutussumma"
"Billing Frequency","Laskutustiheys"
"Billing Period","Laskutusaika"
"Billing Period Unit","Laskutusjakso Yksikkö"
"Billing period unit is not defined or wrong.","Laskutusaikayksikköä ei ole määritelty tai väärin."
"Cannot retrieve the payment info model object.","Maksun tietomallin objektia ei voi noutaa."
"Cannot retrieve the payment information object instance.","Ei voida hakea maksutietojen objektin instanssia."
"Cannot retrieve the payment method code.","Maksutavan koodia ei voi noutaa."
"Cannot retrieve the payment method model object.","Maksutavan mallin objektia ei voi noutaa."
"Capture action is not available.","Kaappaustoiminto ei ole käytettävissä."
"Card Verification Number","Kortin Tarkistusnumero"
"Cart Attribute","Ostoskorin Ominaisuus"
"Cash On Delivery Payment","Käteinen Toimituksen Maksussa"
"Change status","Muuta tila"
"Check / Money Order","Tarkista / Rahamääräys"
"Conditions","Ehdot"
"Conditions Combination","Ehtojen Yhdistäminen"
"Countries","Maat"
"Created At","Luotu Klo"
"Credit Card Number","Luottokortin Numero"
"Credit card number mismatch with credit card type.","Luottokortin numero ei täsmää luottokortin tyyppiin."
"Credit Card Type","Luottokortin Tyyppi"
"Credit card type is not allowed for this payment method.","Luottokortin tyyppi ei ole sallittu tällä maksutavalla."
"Credit Card Types","Luottokortin Tyypit"
"Currency","Valuutta"
"Currency code is undefined.","Valuuttakoodi on määrittelemätön."
"Customer Groups","Asiakasryhmät"
"Customer ID is not set.","Asiakkaan tunnusta ei ole asetettu."
"Day","Päivä"
"Debug Mode","Vianetsintä Tila"
"Delete Restriction","Poista Rajoitus"
"Description","Kuvaus"
"Edit","Muokkaa"
"Edit Restriction","Muokkaa Rajoitusta"
"Edit Restriction '%s'","Muokkaa Rajoitusta%s'"
"Enabled","Käytössä"
"equals or greater than","yhtä suuri tai suurempi kuin"
"equals or less than","on yhtä suuri tai pienempi kuin"
"Expiration Date","Viimeinen Käyttöpäivä"
"FOUND","LÖYTYNYT"
