"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Linkki</a>"
"Actions XML is not valid.","Toiminnot XML ei kelpaa."
"An error occurred while opening file: ""%s"".","Tiedoston avaamisessa tapahtui virhe: ""%s""."
"Could not load file: ""%s"".","Tiedostoa ei voitu ladata: ""%s""."
"Could not save file: %s.","Tiedostoa ei voitu tallentaa: %s."
"Declared adapter %s was not found.","Ilmoitettua adapteria %s ei löytynyt."
"Destination folder ""%s"" is not a directory.","Kohdekansio ""%s"" ei ole hakemisto."
"Destination folder ""%s"" is not writable.","Kohdekansio ""%s"" ei ole kirjoitettavissa."
"Done","Valmis"
"Dry run set, stopping execution.","Kuiva-aika asetettu, lopetetaan suorittaminen."
"Error in field mapping: field list for mapping is not defined.","Virhe kentän kartoituksessa: kartoituksen kenttien luetteloa ei ole määritelty."
"ETA: %s","ETA: %s"
"File ""%s"" does not exist.","Tiedostoa ""%s"" ei ole olemassa."
"Found %d rows.","Löytyi %d riviä."
"hour","tunti"
"hours","tuntia"
"Invalid file path.","Virheellinen tiedostopolku."
"Invalid node.","Virheellinen solmu."
"Less than a minute","Alle minuutti"
"Loaded successfully: ""%s"".","Ladattu onnistuneesti: ""%s""."
"Memory Used: %s","Muistin Käytetty: %s"
"Method ""%s"" not defined in adapter %s.","Menetelmää ""%s"" ei ole määritelty adapterissa %s."
"Method ""%s"" was not defined in adapter %s.","Menetelmää ""%s"" ei määritelty adapterissa %s."
"minute","minuutti"
"minutes","minuuttia"
"Path ""%s"" is not allowed. Files must be in var/export or var/import.","Polku ""%s"" ei ole sallittua. Tiedostot täytyy olla var/vienti tai var/tuonti."
"Please declare ""adapter"" and ""method"" nodes first.","Ilmoittakaa ensin ""adapteri"" ja ""method"" solmut."
"Processed records: %s","Käsitellyt tietueet: %s"
"Profile with the same name already exists.","Samanniminen profiili on jo olemassa."
"Saved successfully: ""%s"" [%d byte(s)].","Saved successfully: ""%s"" [%d byte(s)]."
"Sheet 1","Arkki 1"
"Skip undefined row.","Ohita määrittelemätön rivi."
"Starting %s :: %s","Käynnistetään %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","Kohdekansio ""%s"" ei ole olemassa tai sitä ei voi luoda."
"Total records: %s","Tietueita yhteensä: %s"
"Upload failed. Can not find required columns: %s in file %s.","Lataaminen epäonnistui. Vaadittuja sarakkeita ei löytynyt: %s tiedostossa %s."
"Upload failed. Wrong data format in file: %s.","Lataaminen epäonnistui. Väärä tiedostomuoto: %s."
