"3D Secure","3D Turvallinen"
"3D Secure Card Validation","3D Turvallinen Kortin Vahvistus"
"Accepted Currency","Hyväksytty Valuutta"
"Allow Partial Authorization","Salli Osittainen Valtuutus"
"amount %s","määrä %s"
"API Login ID","Api Kirjautumistunnus"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Oletko varma, että haluat perua maksun? Klikkaa OK peruuttaaksesi maksusi ja vapauttaaksesi maksun pidennettynä. Klikkaa Peruuta syöttääksesi toisen luottokortin ja jatka maksuasi."
"authorize","valtuuta"
"Authorize.net (Deprecated)","Authorize.net (hyväksytty)"
"Authorize.Net Transaction ID %s","Authorize.Net Tapahtumatunnus %s"
"Authorize and Capture","Valtuuta ja talteenota"
"authorize and capture","valtuuta ja kaappaa"
"Authorize Only","Vain Valtuutus"
"Cancel","Peruuta"
"capture","kaappaa"
"Credit Card: xxxx-%s","Luottokortti: xxxx-%s"
"Credit Card Types","Luottokortin Tyypit"
"Credit Card Verification","Luottokortin Vahvistus"
"Debug","Debug"
"Email Customer","Lähetä Asiakas Sähköpostilla"
"Enabled","Käytössä"
"Error in payment gateway.","Virhe maksupalvelussa."
"failed","epäonnistui"
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","Yhdyskäytävän toiminnot on lukittu, koska yhdyskäytävä ei voi suorittaa yhtä tai useampaa tapahtumaa. Kirjaudu sisään Authorize.Net-tilillesi, jotta ongelma (ongelmat) voidaan ratkaista manuaalisesti."
"Gateway error: %s","Gateway error: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Jos tyhjä, oletusarvo käytetään. Mukautettu URL-osoite voidaan antaa CardinalCommerce sopimuksella."
"Invalid amount for authorization.","Virheellinen summa valtuutukselle."
"Invalid amount for capture.","Virheellinen määrä kaappaukselle."
"Invalid amount for partial authorization.","Virheellinen summa osittaiselle valtuutukselle."
"Invalid amount for refund.","Virheellinen summa palautukseen."
"Invalid split tenderId ID.","Virheellinen split tenderId ID."
"Maximum Order Total","Tilauksen Enimmäismäärä Yhteensä"
"Merchant's Email","Myyjän Sähköposti"
"Minimum Order Total","Minimitilaus Yhteensä"
"New Order Status","Uuden Tilauksen Tila"
"Parent Authorize.Net transaction (ID %s) expired","Parent Authorize.Net tapahtuma (ID %s) päättyi"
"Payment Action","Maksun Toiminto"
"Payment authorization error.","Virhe maksun varmenteessa."
"Payment canceling error.","Maksun peruutus virhe."
"Payment capturing error.","Virhe maksun tallennuksessa."
"Payment from Applicable Countries","Maksu soveltuvista maista"
"Payment from Specific Countries","Maksu tietyistä maista"
"Payment partial authorization error.","Maksun osittainen valtuutusvirhe."
"Payment refunding error.","Virhe maksun palautuksessa."
"Payment updating error.","Maksun päivitysvirhe."
"Payment voiding error.","Payment voiding error."
"Processed Amount","Käsitelty Summa"
"refund","hyvitä"
"Remaining Balance","Jäljellä Oleva Saldo"
"Severe 3D Secure Card Validation","Vaikea 3D Turvallinen Kortin Validointi"
"Severe Validation Removes Chargeback Liability on Merchant","Vakava validointi Poistaa takaisinmaksuvastuun kauppiailla"
"Shopping cart contents and/or address has been changed.","Ostoskorin sisältöä ja/tai osoitetta on muutettu."
"Sort Order","Järjestä Järjestys"
"successful","onnistui"
"Test Mode","Testaa Tila"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","Maksu luottokortillasi on riittämätön, jotta voit suorittaa ostoksesi loppuun. Käytettävissä oleva summa on otettu käyttöön. Saadaksesi ostoksesi valmiiksi klikkaa OK ja määritä ylimääräinen luottokortin numero. Peruutaksesi ostoksen ja vapauttaaksesi summan pidätyksessä, napsauta Peruuta."
"There was an error canceling transactions. Please contact us or try again later.","Tapahtumien peruuttamisessa tapahtui virhe. Ota meihin yhteyttä tai yritä myöhemmin uudelleen."
"Title","Otsikko"
"Transaction Key","Tapahtuman Avain"
"void","mitätön"
"You have reached the maximum number of credit card allowed to be used for the payment.","Olet saavuttanut enimmäismäärän luottokorttia, joka on sallittua käyttää maksuun."
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","Olet saavuttanut enimmäismäärän luottokortteja, joita voidaan käyttää yksi maksu. Käytettävissä olevat summat kaikista käytetyistä korteista eivät olleet riittäviä maksun suorittamiseen. Maksu on peruttu ja pidätetyt summat on vapautettu."
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","Luottokorttisi on hylätty. Klikkaa OK määrittääksesi toisen luottokortin suorittaaksesi ostoksesi loppuun. Napsauta Peruuta vapauttaaksesi summan pitämällä pohjassa ja valitse toinen maksutapa."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","Tilaustasi ei ole tehty, koska ostoskorin sisältöä ja/tai osoitetta on muutettu. Valtuutetut summat aiemmasta maksustasi, joka jäi odottamatta, on nyt julkaistu. Ole hyvä ja käy viimeaikaisten ostoskorien sisällön kassaprosessin läpi."
"Your payment has been cancelled. All authorized amounts have been released.","Maksusi on peruutettu. Kaikki valtuutetut summat on vapautettu."
