"Action","Toiminto"
"Activities","Toiminnot"
"Activity Information","Toiminnan Tiedot"
"Activity Log","Aktiviteetin Loki"
"Activity log entry not found","Aktiviteettilokimerkintää ei löytynyt"
"Admin Activity Log","Ylläpitäjän Aktiviteettiloki"
"Back","Takaisin"
"Configuration","Asetukset"
"Create","Luo"
"CSV","CSV"
"Date/Time","Päivämäärä/aika"
"Days to Keep Logs","Päivää jolloin lokit pidetään"
"Delete","Poista"
"Enable Admin Activity Log","Ota Käyttöön Järjestelmänvalvojan Aktiivisuusloki"
"Entity","Entiteetti"
"Entity Type","Entiteetin Tyyppi"
"Excel XML","Excel XML"
"Failed","Epäonnistui"
"Failure Reason","Epäonnistumisen Syy"
"General Settings","Yleiset Asetukset"
"ID","ID"
"IP Address","Ip Osoite"
"Log Delete Actions","Lokin Poisto Toiminnot"
"Log Failed Login Attempts","Epäonnistuneen Kirjautumisen Yritykset"
"Login","Kirjaudu"
"Login Activity","Kirjautumisen Toiminta"
"Log Login/Logout Activity","Kirjaudu Sisään/Kirjaudu Ulos"
"Log Mass Actions","Loki Massatoiminnot"
"Logout","Kirjaudu Ulos"
"Log Page Visits","Lokisivun Vierailut"
"Log Save Actions","Loki Tallenna Toiminnot"
"Number of days to keep activity logs. Set to 0 to keep forever.","Niiden päivien lukumäärä, joina toimintalokeja pidetään. Aseta arvoon 0 pysyäksesi ikuisesti."
"Request URL","Pyydä URL-osoite"
"Status","Tila"
"Success","Onnistui"
"System","Järjestelmä"
"Type","Tyyppi"
"Update","Päivitä"
"URL","URL-osoite"
"Username","Käyttäjätunnus"
"View","Näytä"
"View Activity Log","Näytä Aktiviteettiloki"
"View Activity Log Entry #%s","Näytä Aktiviteettilokimerkintä #%s"
"View Login Activity","Näytä Kirjautumisen Toiminta"
