"Add","Lisää"
"ALL","KAIKKI"
"ANY","VUOSI"
"Apply","Käytä"
"by","mennessä"
"Conditions Combination","Ehtojen Yhdistäminen"
"contains","sisältää"
"Customer Groups must be specified.","Asiakasryhmät on määritettävä."
"does not contain","ei sisällä"
"End Date must be greater than Start Date.","Päättymispäivän on oltava suurempi kuin aloituspäivämäärä."
"equals or greater than","yhtä suuri tai suurempi kuin"
"equals or less than","on yhtä suuri tai pienempi kuin"
"FALSE","FALSE"
"from","alkaen"
"greater than","suurempi kuin"
"If %s of these conditions are %s:","Jos %s näistä ehdoista on %s:"
"Invalid discount amount.","Virheellinen alennuksen määrä."
"is","on"
"is not","ei ole"
"is not one of","ei ole yksi"
"is one of","on yksi"
"less than","pienempi kuin"
"Open Chooser","Avaa Valitsin"
"Perform following actions","Suorita seuraavat toiminnot"
"Please choose a condition to add...","Valitse ehto johon lisätään..."
"Please choose an action to add...","Valitse toiminto, johon lisätään..."
"Remove","Poista"
"There is no information about associated entity type ""%s"".","Ei ole tietoja liitetystä entiteettityypistä ""%s""."
"to","päättyen"
"TRUE","TRUE"
"Websites must be specified.","Sivustot on määriteltävä."
