"(not processed yet)","(ei käsitelty vielä)"
"0 disables the limit.","0 poistaa rajan käytöstä."
"<strong>Enabling this alone does not display the button.</strong> The law requires the revocation button to stay permanently visible during the withdrawal period, but only your theme knows where that is. After enabling, you must place the <strong>Revocation Button</strong> widget in a block shown on every storefront page (typically the footer). Until you do, the form exists at <em>/revocation</em> but nothing links to it.","<strong>Yksin tämän ottaminen käyttöön ei näytä nappia.</strong> Laki edellyttää, että peruutuspainike pysyy pysyvästi näkyvissä peruutusajan aikana, mutta vain teemasi tietää missä se on. Kun käytön, sinun täytyy asettaa <strong>Peruutuspainike</strong> lohkon joka myymälän etusivulla (tyypillisesti alatunniste). Ennen kuin teet, lomake on olemassa <em>/ kumoaminen</em> , mutta mitään linkkejä siihen."
"Abuse Protection","Väärinkäytön Suojaus"
"Accepted","Hyväksytty"
"Accepting or rejecting only records the decision and adds a note to this order. The order status, state, and any refund are left unchanged.","Hyväksytään tai hylätään vain päätös ja lisätään merkintä tähän järjestykseen. Tilauksen tila, tila ja mahdolliset palautukset jätetään ennalleen."
"Accept Revocation","Hyväksy Peruutus"
"Accept this revocation? This records the decision and adds a note to the matched order. No order status or refund changes automatically.","Hyväksy tämä kumoaminen? Tämä tallentaa päätöksen ja lisää merkinnän sovitettuun tilaan. Ei tilauksen tilaa tai hyvitystä automaattisesti"
"A confirmation email is on its way to you.","Vahvistus sähköposti on matkalla sinulle."
"Adds an invisible trap field. Submissions that fill it are silently dropped as bot traffic.","Lisää näkymättömän ansakentän. Lähetykset, jotka täyttävät sen, pudotetaan hiljaisesti bottiliikenteessä."
"Back","Takaisin"
"Button Label","Painikkeen Nimike"
"Cooling-Off Period (Days)","Jäähdytysaika (päivää)"
"create a credit memo","luo luotto muistio"
"CSV","CSV"
"Customer Name","Asiakkaan Nimi"
"Customer Receipt Template","Asiakas Kuitti Malli"
"Customer submitted revocation request #%s via their account.","Asiakas lähetti peruutuspyynnön nro%s tilinsä kautta."
"Custom Label","Mukautettu Tunniste"
"Declaration (read-only legal record)","Ilmoitus (vain luku -luku)"
"Email","Sähköposti"
"Email Sender","Sähköpostin Lähettäjä"
"Email Settings","Sähköpostin Asetukset"
"Email Suppressed","Sähköposti Rajoitettu"
"Enabled","Käytössä"
"EU Directive 2023/2673 (in Germany: &sect;356a BGB) requires B2C shops selling into the EU to provide a revocation button from 19 June 2026. This module provides that channel.","EU:n direktiivissä 2023/2673 (Saksassa: &sect;356a BGB) edellytetään, että EU:hun myyvät B2C-kaupat antavat kumoamispainikkeen 19. kesäkuuta 2026 alkaen. Tämä moduuli tarjoaa tuon kanavan."
