"Average Duration","Kesto Kesto"
"Average Pages","Keskimääräiset Sivut"
"Bounce Rate","Ponnahdusnopeus"
"Browsers","Browsers"
"Devices","Laitteet"
"Devices & Browsers","Laitteet Ja Selaimet"
"Direct / No referrer","Suora / Ei viittaaja"
"Enable Log","Ota Loki Käyttöön"
"Enable Log Cleaning","Ota Lokin Puhdistus Käyttöön"
"Error Email Recipient","Virhe Sähköpostin Vastaanottaja"
"Error Email Sender","Error Email Sender"
"Error Email Template","Virhe Sähköpostin Malli"
"Exit Pages","Poistu Sivuista"
"Exits","Poistu"
"Frequency","Taajuus"
"Landing Pages","Puretut Sivut"
"Log","Loki"
"Log cleanup Warnings","Kirjan puhdistusvaroitukset"
"Logged in","Kirjautunut sisään"
"Login Conversion","Kirjautumisen Muunnos"
"New vs Returning","Uusi vs Palautus"
"No data","Ei tietoja"
"No language data available","Kielitietoja ei ole saatavilla"
"No page view data available","Sivunäkymän tietoja ei ole saatavilla"
"No traffic source data available","Liikennelähdetietoja ei ole saatavilla"
"of visitors logged in","kävijöitä kirjautunut sisään"
"Online","Paikalla"
"Page","Sivu"
"Returning","Palautetaan"
"Save Log, Days","Tallenna Loki, Päivät"
"Session Metrics","Istunnon Mittarit"
"Sessions","Istunnot"
"Start Time","Aloitus Aika"
"Today","Tänään"
"Top Pages","Parhaat Sivut"
"Total visitors","Vierailijoita yhteensä"
"Traffic Sources","Liikenteen Lähteet"
"Views","Näkymät"
"Visitors","Vierailijat"
"Visitors only","Vain vierailijat"
"Visits","Vierailut"
"Week","Viikko"
