"-- Please Select --","-- Valitse --"
"Account Created In Store","Kaupassa Luotu Tili"
"Action","Toiminto"
"Active","Aktiivinen"
"Added to Cart Date","Lisätty ostoskorin päivämäärään"
"Added to Wishlist Date","Lisätty toivelistan päivämäärään"
"Add Email Step","Lisää Sähköpostivaihe"
"Add New Segment","Lisää Uusi Segmentti"
"Address","Osoite"
"Address Information","Osoitteen Tiedot"
"Add Segment","Lisää Segmentti"
"Allow Overlapping Sequences","Salli Sekvenssien Päällekkäisyys"
"Allow starting new sequences while existing ones are still active for the same customer","Salli uusien sekvenssien aloittaminen, kun taas olemassa olevat ovat yhä aktiivisia samalle asiakkaalle"
"Applied Promotion Rules","Käytetyt Menekinedistämissäännöt"
"Are you sure?","Oletko varma?"
"Are you sure you want to delete this sequence step?","Oletko varma, että haluat poistaa tämän sekvenssivaiheen?"
"Are you sure you want to refresh this segment?","Oletko varma, että haluat päivittää tämän segmentin?"
"Assign to Website","Määritä sivulle"
"At least one email sequence is required when automation is enabled.","Tarvitaan vähintään yksi sähköpostijärjestys, kun automaatio on käytössä."
"Automatic","Automaattinen"
"Automatic: Refreshed daily via cron. Manual: Must be refreshed manually.","Automaattinen: Päivitetään päivittäin cron. Manuaali: On päivitettävä manuaalisesti."
"Average Days Between Orders","Keskimääräiset Päivät Tilausten Välillä"
"Average Order Value","Tilauksen Keskimääräinen Arvo"
"Back to Segment","Takaisin segmenttiin"
"Base Row Total","Base Rivi Yhteensä"
"Base Sales Rule","Base Myyntisääntö"
"Bundle Product","Paketti Tuote"
"Cart","Ostoskori"
"Cart Created Date","Ostoskori Luotu Päivämäärä"
"Cart Items","Ostoskorin Kohteet"
"Cart Status","Ostoskorin Tila"
"Cart Updated Date","Ostoskori Päivitetty Päivämäärä"
"Change status","Muuta tila"
"Completed","Valmis"
"Conditions (leave blank for all customers)","Ehdot (jätä tyhjäksi kaikille asiakkaille)"
"Configurable Product","Muokattavissa Oleva Tuote"
"Coupon expiration days","Kupongin vanhentumispäivät"
"Coupon expiration days cannot be negative.","Kupongin voimassaoloaika ei voi olla negatiivinen."
"Coupon Generation Settings","Kupongin Luonti Asetukset"
"Coupon Prefix","Kupongin Etuliite"
"Customer","Asiakas"
"Customer ID is required.","Asiakkaan tunnus vaaditaan."
"Customer Lifetime Value","Asiakkaan Elinikäinen Arvo"
"Customer Personal Information","Asiakkaan Henkilökohtaiset Tiedot"
"Customer Segment","Asiakkaan Segmentti"
"Customer Since","Asiakas Alkaen"
"Customers in Segment","Asiakkaat segmentissä"
"Customer Time-based","Asiakkaan Aikaperusteinen"
"days","päivää"
"Days Inactive (No Login or Order)","Päivää passiivinen (ei kirjautumista tai tilausta)"
"Days Since Added to Wishlist","Päivää alkaen Lisätty toiveluetteloon"
"Days Since First Order","Päivää Ensimmäisen Tilauksen Jälkeen"
"Days Since Last Login","Päivää Viimeisen Kirjautumisen Jälkeen"
"Days Since Last Order","Päivää Viimeisen Tilauksen Jälkeen"
"Days Since Last View","Päivää Viimeisen Näkymän Jälkeen"
"Days Since Registration","Päivää Rekisteröitymisen Jälkeen"
"Days Until Birthday","Päivää Syntymäpäivään asti"
"Days Without Purchase","Päivää Ilman Ostoa"
"Delay","Viive"
"Delay (Minutes)","Viive (minuuttia)"
"Delay before sending","Viive ennen lähetystä"
"Delay minutes cannot be negative.","Viivästymisminuutit eivät voi olla negatiivisia."
"Delete","Poista"
"Delete Email Sequences","Poista Sähköpostin Sarjat"
"Delete Segment","Poista Segmentti"
"Delete Segments","Poista Segmentit"
"Delete Step","Poista Vaihe"
"Disabled","Pois Käytöstä"
"Downloadable Product","Ladattava Tuote"
"E-mails on Enter","Sähköpostit Enter"
"E-mails on Exit","Sähköpostit poistuessa"
"Edit","Muokkaa"
"Edit Email Sequence Step %d for ""%s""","Edit Email Sequence Step %d for ""%s"""
"Edit Segment","Muokkaa Segmenttiä"
"Edit Segment '%s'","Muokkaa Segmenttiä%s'"
"Edit Sequence","Muokkaa Sarjaa"
"Email Automation","Email Automation"
"Email Automation Settings","Sähköpostin Automaation Asetukset"
"Email Sequences","Sähköpostin Sekvenssit"
"Email Template","Sähköpostin Malli"
"Enable/disable this sequence step","Ota käyttöön/poista käytöstä tämä järjestysvaihe"
"Enable Email Automation","Ota Sähköpostiautomaatio Käyttöön"
"Enter Segment","Syötä Segmentti"
"Error","Virhe"
"Exit Segment","Poistu Segmentistä"
"Expires After (Days)","Vanhenee (Päivää)"
"Failed","Epäonnistui"
"General Properties","Yleiset Ominaisuudet"
"Generate a unique coupon code for each customer","Luo yksilöllinen kuponkikoodi jokaiselle asiakkaalle"
"Generate Coupon","Luo Alennuskoodi"
"Generate unique coupon","Luo ainutlaatuinen kuponki"
"Grouped Product","Ryhmitelty Tuote"
"hours","tuntia"
"If %s %s %s","Jos %s %s %s"
"Immediate","Välitön"
"Invalid newsletter template selected.","Valittu uutiskirjeen pohja ei kelpaa."
"Invalid request.","Virheellinen pyyntö."
"Invalid sales rule selected for coupon generation.","Virheellinen myyntisääntö valittu kuponkisukupolvelle."
"Invalid segment.","Virheellinen segmentti."
"Invalid status.","Virheellinen tila."
"Invalid trigger type.","Virheellinen käynnistimen tyyppi."
"Is Active","On Aktiivinen"
"Items Count","Kohteiden Määrä"
"Items Quantity","Kohteiden Määrä"
"Last Refreshed","Viimeksi Päivitetty"
"Last Updated Date","Viimeksi Päivitetty Päivämäärä"
"Last Viewed Date","Viimeksi Katsottu Päivämäärä"
"Last Viewed Date","Viimeksi Katsottu Päivämäärä"
"Leave empty to apply to all customer groups","Jätä tyhjäksi, jos haluat hakea kaikkiin asiakasryhmiin"
"Lifetime Profit (Sales - Refunds)","Elinikäinen Voitto (alamomentti – Palautukset)"
"Lifetime Refunds Amount","Elinikäisten Tukien Määrä"
"Lifetime Sales Amount","Elinikäisen Myynti Määrä"
"Manage Email Sequences","Hallitse Sähköpostijakoja"
"Manage Segments","Hallitse Segmentejä"
"Manual","Manuaalinen"
"Master switch to enable/disable all email automation for this segment","Pääkytkin ottaa käyttöön/poistaa käytöstä kaikki sähköpostin automaatio tälle segmentille"
"minutes","minuuttia"
"Minutes to wait before sending (0 = immediate, 60 = 1 hour, 1440 = 1 day)","Minuuttia odottaa ennen lähetystä (0 = välitön, 60 = 1 tunti, 1440 = 1 päivä)"
"Mode","Tila"
"New Email Sequence Step for ""%s""","Uusi sähköpostijakovaihe ""%s"""
"New Segment","Uusi Segmentti"
"New Sequence","Uusi Sarja"
"Newsletter","Uutiskirje"
"Newsletter Subscription","Uutiskirjeen Tilaus"
"Newsletter Template","Uutiskirjeen Malli"
"Newsletter template to use for this step","Uutiskirjeen malli, jota käytetään tässä vaiheessa"
"None","Ei Mitään"
"Not Active","Ei Aktiivinen"
"Number of days until coupon expires (default: 30)","Niiden päivien lukumäärä, joina kuponki vanhenee (oletus: 30)"
"Number of Orders","Tilausten määrä"
"Order","Tilaus"
"Order History","Tilauksen Historia"
"Order in the email sequence (1, 2, 3...)","Järjestä sähköpostijärjestys (1, 2, 3...)"
"Pending","Odottaa"
"Personal Information","Henkilökohtaiset Tiedot"
"Please save the segment first.","Tallenna segmentti ensin."
"Please select...","Ole hyvä ja valitse ..."
"Please select at least one website.","Valitse ainakin yksi sivusto."
"Please select segment(s).","Valitse segmentti (segmentit)."
"Prefix for coupon codes","Kupongin koodien etuliite"
"Prefix for generated coupon codes (e.g., CART, WELCOME)","Luottujen kuponkikoodien etuliite (esim. CART, WELCOME)"
"Processing","Käsitellään"
"Product: %s","Tuote: %s"
"Product Type","Tuotteen Tyyppi"
"Progress record already exists for this customer and sequence.","Edistymistietue on jo olemassa tälle asiakkaalle ja järjestykselle."
"Purchase Date","Oston Päivämäärä"
"Quantity in Cart","Määrä ostoskorissa"
"Quantity Ordered","Tilattu Määrä"
"Refresh Mode","Päivitä Tila"
