"Actions","Toiminnot"
"An error occurred while marking notification as read.","Virhe tapahtui merkitseessä ilmoitusta luetuksi."
"An error occurred while marking the messages as read.","Tapahtui virhe merkitsemällä viestit luetuiksi."
"An error occurred while removing messages.","Viestejä poistettaessa tapahtui virhe."
"An error occurred while removing the message.","Viestin poistamisessa tapahtui virhe."
"Are you sure?","Oletko varma?"
"critical","kriittinen"
"Date Added","Päivämäärä Lisätty"
"Last Update","Viimeisin Päivitys"
"major","suuri"
"Mark as Read","Merkitse luetuksi"
"Mark as read","Merkitse luetuksi"
"Message","Viesti"
"Messages Inbox","Viestien Saapuneet-Kansio"
"minor","vähäinen"
"notice","ilmoitus"
"Notifications","Ilmoitukset"
"Please select messages.","Valitse viestit."
"Read Details","Lue Yksityiskohdat"
"Remove","Poista"
"Severity","Vakavuus"
"Show List","Näytä Lista"
"Show Toolbar","Näytä Työkalurivi"
"The message has been marked as read.","Viesti on merkitty luetuksi."
"The message has been removed.","Viesti on poistettu."
"Total of %d record(s) have been marked as read.","Yhteensä %d tietuetta on merkitty luetuksi."
"Total of %d record(s) have been removed.","Yhteensä %d tietuetta on poistettu."
"Unable to proceed. Please, try again.","Ei voida jatkaa. Yritä uudelleen."
"Update Frequency","Päivityksen Taajuus"
"Wrong message type","Väärä viestityyppi"
