"-- Please Select --","-- Valitse --"
"Add to Cart","Lisää ostoskoriin"
"Are you sure to delete this fallback color?","Haluatko varmasti poistaa tämän varmennusvärin?"
"Choose an Option...","Valitse vaihtoehto..."
"Configurable Swatches","Konfiguroitavissa Olevat Vaihteet"
"Dynamic Price Change for Swatches in Product Listing","Dynaaminen hinnanmuutos swatches in Product Listing"
"Enabled","Käytössä"
"General Settings","Yleiset Asetukset"
"Height","Korkeus"
"Innermost dimensions, not including border, in pixels","Sisäisimmät mitat, ei sisällä rajaa, pikseleinä"
"In Stock","Varastossa Olevat"
"Out of Stock","Ei varastossa"
"Previous","Edellinen"
"Product Attributes to Show as Swatches in Product Detail","Tuotteen ominaisuudet, jotka näytetään vinoina tuotteessa"
"Product Attribute to Use for Swatches in Product Listing","Tuotteen attribuutti käytettäväksi swatches tuotteen listauksessa"
"Remove This Item","Poista Tämä Kohde"
"Swatch","Swatch"
"Swatch Dimensions in Layered Navigation","Swatch mitat kerroksisen navigoinnin"
"Swatch Dimensions in Product Listing","Swatch mitat Tuoteluettelon"
"Swatch Dimensions on Product Detail Page","Swatch mitat tuotteen yksityiskohta sivu"
"Width","Width"
