"%s file does not exists or is not readable","%s tiedostoa ei ole olemassa tai se ei ole luettavissa"
"-- Please Select --","-- Valitse --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Laitteen on oltava Mage_ImportExport_Model_Import_Adapter_Abstract instanssi"
"Adapter object must be an instance of %s","Adapter objektin on oltava %s instanssi"
"Adapter type must be a non empty string","Laitteen tyypin on oltava tyhjä merkkijono"
"Append Complex Data","Lisää Monimutkaiset Tiedot"
"Attribute Code","Määritteen Koodi"
"Attribute does not has options, so filtering is impossible","Attribuutilla ei ole vaihtoehtoja, joten suodatus on mahdotonta"
"Attribute Label","Attribuutin Otsikko"
"Auto_increment column not found for table %s","Auto_inosaraketta ei löytynyt taululle %s"
"Begin data validation","Aloita tietojen validointi"
"Begin export of %s","Aloita %s vienti"
"Begin import of ""%s"" with ""%s"" behavior","Aloita tuonti ""%s"" "" kanssa ""%s"" käyttäytyminen"
"Can not determine attribute filter type","Attribuutin suodatintyyppiä ei voi määrittää"
"Can not find required columns: %s","Vaadittuja sarakkeita ei löydy: %s"
"Cannot get table status for %s","Taulun tilaa ei löydy %s"
"Categories","Kategoriat"
"Check Data","Tarkista Tiedot"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Tarkistetut rivit: %d, tarkastetut entiteetit: %d, virheellinen rivit: %d, kokonaisvirheet: %d"
"Column names: ""%s"" are invalid","Sarakkeiden nimet: ""%s"" ovat virheellisiä"
"Column names have duplicates","Sarakkeiden nimissä on kaksoiskappaleet"
"Column names is empty or is not an array","Sarakkeiden nimet ovat tyhjiä tai ne eivät ole taulukkona"
"CSV","CSV"
"Customers","Asiakkaat"
"Data is invalid or file is not uploaded","Tiedot ovat virheellisiä tai tiedostoa ei ole ladattu"
"Delete Entities","Poista Entiteetit"
"Destination directory is not writable","Kohdehakemistoon ei voi kirjoittaa"
"Destination file is not writable","Kohdetiedosto ei ole kirjoitettavissa"
"Destination file path must be a string","Kohdetiedoston polun on oltava merkkijono"
"Done import data validation","Tuontitietojen validointi valmis"
"Duplicate Unique Attribute for '%s'","Monista yksilöllinen attribuutti '%s'"
"Each data row must be an array","Jokaisen tietorivin on oltava taulukko."
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Entiteetin adapteriobjektin on oltava Mage_ImportExport_Model_Import_Entity_Abstract instanssi"
"Entity is unknown","Entiteetti on tuntematon"
"Entity Type","Entiteetin Tyyppi"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Entiteetin tyyppimallin on oltava esimerkiksi Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Entiteetin tyyppimallin on oltava esimerkiksi Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Virhe datan rakenteessa: käyttäytyminen on sekoitettu"
"Error in data structure: entity codes are mixed","Virhe tietorakenteessa: entiteettikoodit ovat sekoittuneet"
"Errors limit (%d) reached. Please fix errors and re-upload file","Virheiden raja (%d) saavutettu. Korjaa virheet ja lataa tiedosto uudelleen"
"Escape CSV fields","Pakota CSV- kentät"
"Export","Vie"
"Exported %s rows.","Exported %s rows."
"Export File Format","Vie Tiedostomuoto"
"Export has been done.","Vienti on tehty."
"Export Settings","Vienti Asetukset"
"File does not contain data.","Tiedosto ei sisällä tietoja."
"File does not contain data. Please upload another one","Tiedosto ei sisällä tietoja. Ole hyvä ja lataa toinen"
"File format is unknown","Tiedostomuoto on tuntematon"
"File is partially valid, but import is not possible","Tiedosto on osittain voimassa, mutta tuonti ei ole mahdollista"
"File is totally invalid. Please fix errors and re-upload file","Tiedosto on täysin virheellinen. Korjaa virheet ja lataa tiedosto uudelleen"
"File is valid! To start import process press ""Import"" button","Tiedosto on kelvollinen! Aloittaaksesi tuonnin painamalla ""Tuo"" painiketta"
"File is valid, but import is not possible","Tiedosto on kelvollinen, mutta tuonti ei ole mahdollista"
"File was not uploaded","Tiedostoa ei ladattu"
"Filter","Suodatin"
"From","Alkaen"
"Header column names already set","Otsikkosarakkeiden nimet on jo asetettu"
"Import","Tuo"
"Import/Export","Tuo/Vie"
"Import Behavior","Tuo Käyttäytyminen"
"Import CSV","Tuo CSV"
"Import has been done successfuly.","Tuonti on suoritettu onnistuneesti."
"Import Settings","Tuo Asetukset"
"Import successfully done.","Tuonti onnistui."
"Incorrect entity type","Virheellinen entiteetin tyyppi"
"Input entity code is not equal to entity adapter code","Syöttöerän koodi ei ole yhtä suuri kuin yhteisösovittimen koodi"
"in rows","riveillä"
"in rows:","rivit:"
"Invalid entity","Virheellinen viitetieto"
"Invalid entity model","Virheellinen viitemalli"
"Invalid file format","Virheellinen tiedostomuoto"
"Invalid parameters","Virheelliset parametrit"
"Invalid seek position","Virheellinen etsintäsijainti"
"Invalid seek position: %d","Virheellinen etsintäsijainti: %d"
"Invalid value for '%s'","Virheellinen arvo '%s'"
"Invalid value for '%s' column","Virheellinen arvo '%s' sarakkeelle"
"No data provided for import","Tuontia koskevia tietoja ei ole toimitettu."
"No data rows found after header processing","Tietorivejä ei löytynyt otsikon käsittelyn jälkeen"
"Node does not has model token tag","Solmulla ei ole mallin tunnusta"
"No filter data provided","Suodatintietoja ei ole annettu"
"No source specified","Lähdekoodia ei ole määritetty"
"Not implemented yet","Ei vielä toteutettu"
"No valid data sent","Voimassa olevia tietoja ei lähetetty"
"No writer specified","Kirjoittajaa ei annettu"
"Please fix errors and re-upload file","Korjaa virheet ja lataa tiedosto uudelleen"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Korjaa virheet ja lataa tiedosto uudelleen tai paina ""Tuo"" -painiketta ohittaaksesi rivit virheillä"
"Products","Tuotteet"
"Replace Existing Complex Data","Korvaa Olemassa Olevat Monimutkaiset Tiedot"
"Row %d is not an array","Rivi %d ei ole taulukko"
"Row %d missing columns: %s","Rivi %d puuttuvaa saraketta: %s"
"Select File to Import","Valitse tuotava tiedosto"
"Skip","Ohita"
"Source data array cannot be empty","Lähdedatan array ei voi olla tyhjä"
"Source data must be an array","Lähdetietojen on oltava taulukkoina"
"Source file moving failed","Lähdetiedoston siirto epäonnistui"
"Source is not set","Lähdettä ei ole asetettu"
"Source must be a string file path or array","Lähteen on oltava merkkijonotiedoston polku tai kaavio"
"Status","Tila"
"There are no product types available for export","Tuoteryhmiä ei ole saatavilla vientiä varten"
"There is no data for export","Tietoja ei ole vientiä varten"
"To","Vastaanottaja"
"Total size of uploadable files must not exceed %s","Ladattavien tiedostojen kokonaismäärä ei saa ylittää %s"
"Unknown attribute filter type","Tuntematon attribuutin suodatintyyppi"
"Uploaded file has no extension","Ladatulla tiedostolla ei ole päätettä"
"Validation finished successfully","Vahvistus suoritettu onnistuneesti"
