"%s Index process is working now. Please try run this process later.","%s Index -prosessi toimii nyt. Yritä suorittaa tämä prosessi myöhemmin."
"'%s' Index Process Information","'%s-indeksin Prosessitiedot"
"Action","Toiminto"
"Already running, skipped.","Jo käynnissä, ohitettu."
"Cannot initialize the indexer process.","Indeksoijan prosessia ei voi alustaa."
"Change Index Mode","Vaihda Indeksitilaa"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Klikkaa tästä mennäksesi <a href=""%s"">välimuistin hallintaan</a> ja päivittääksesi välimuistityypit."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Klikkaa tästä mennäksesi <a href=""%s"">Index Management</a> ja uudelleenrakenna tarvittavat indeksit."
"Close","Sulje"
"Delete","Poista"
"Description","Kuvaus"
"Disable","Poista Käytöstä"
"Enable","Aktivoi"
"General","Yleiset"
"Index","Indeksi"
"Index Description","Indeksin Kuvaus"
"Indexer code is not defined.","Indeksointikoodia ei ole määritelty."
"Indexer model is not defined.","Indeksointimallia ei ole määritelty."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Indeksointimallin pitäisi laajentaa Mage_Index_Model_Indexer_Abstract."
"Index Management","Indeksien Hallinta"
"Index Mode","Indeksitila"
"Index mode","Indeksoi tila"
"Index Name","Indeksin Nimi"
"Invalid reindex token.","Invalid reindex token."
"Manual Update","Manuaalinen Päivitys"
"Mode","Tila"
"Never","Ei Koskaan"
"No","Ei"
"Not started.","Ei aloitettu."
"One or more of the Indexes are not up to date:","Yksi tai useampi indeksit eivät ole ajan tasalla:"
"Please select Index(es)","Valitse Indeksi (indeksit)"
"Please select Indexes","Valitse Indeksit"
"Process Information","Prosessin Tiedot"
"Processing","Käsitellään"
"Process is locked.","Prosessi on lukittu."
"Ready","Valmis"
"Refresh","Päivitä"
"Reindex All","Indeksoi Kaikki Uudelleen"
"Reindex complete","Uudelleenindeksointi valmis"
"Reindex Data","Indeksoi Tiedot Uudelleen"
"Reindex did not complete","Uudelleenindeksointi ei valmis"
"Reindex finished with errors","Indeksointi päättyi virheellisesti"
"Reindex Required","Uudelleenindeksointi Vaaditaan"
"Request failed","Pyyntö epäonnistui"
"Revoke","Revoke"
"Status","Tila"
"System","Järjestelmä"
"The index has been saved.","Indeksi on tallennettu."
"The reindex process was interrupted.","Uudelleenindeksointiprosessi keskeytettiin."
"There was a problem with reindexing process.","Uudelleenindeksointiprosessin yhteydessä tapahtui virhe."
"There was a problem with saving process.","Tapahtui ongelma tallennettaessa prosessia."
"Total of %d index(es) have changed index mode.","Yhteensä %d indeksiä ovat vaihtaneet indeksitilaa."
"Unable to create directory var/%s.","Hakemistoa var/%s ei voitu luoda."
"Unknown reindex run.","Tuntematon uudelleenindeksointi ajettu."
"Updated At","Päivitetty Klo"
"Update on Save","Päivitä tallennettaessa"
"Update Required","Päivitys Vaaditaan"
"Yes","Kyllä"
