"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Tuoteluettelon hintasäännöt perustuvat ""%s"" attribuutti on poistettu käytöstä."
"-- All Active Rules --","-- Kaikki Aktiiviset Säännöt --"
"86400 by default, if not set. Rule prices change with the daily catalog rule reindex.","86400 oletuksena, jos sitä ei ole asetettu. Säännön hinnat muuttuvat päivittäisen katalogisäännön uudelleenindeksoinnin avulla."
"Actions","Toiminnot"
"Active","Aktiivinen"
"Add New Rule","Lisää Uusi Sääntö"
"An error occurred while deleting the rule. Please review the log and try again.","Sääntöä poistettaessa tapahtui virhe. Tarkista loki ja yritä uudelleen."
"An error occurred while saving the rule data. Please review the log and try again.","Sääntöä tallennettaessa tapahtui virhe. Tarkista loki ja yritä uudelleen."
"Apply","Käytä"
"Apply Rules","Ota Säännöt Käyttöön"
"Attribute Set","Attribuuttiryhmä"
"Best Selling","Paras Myynti"
"Biggest Discount","Suurin Alennus"
"By Fixed Amount","Kiinteän Summan Mukaan"
"By Percentage of the Original Price","Alkuperäisen hinnan prosenttiosuuden mukaan"
"Catalog","Katalogi"
"Catalog On Sale Products","Tuotekatalogi Myyntituotteissa"
"Catalog Price Rule","Tuoteluettelon Hintasääntö"
"Catalog Price Rules","Tuoteluettelon Hintasäännöt"
"Category","Kategoria"
"Conditions","Ehdot"
"Conditions (leave blank for all products)","Ehdot (jätä tyhjäksi kaikille tuotteille)"
"Conditions Combination","Ehtojen Yhdistäminen"
"Customer Groups","Asiakasryhmät"
"Date Expire","Pvm Vanhenee"
"Date From","Päivämäärä Alkaen"
"Date Start","Alkamispäivä"
"Date To","Päivämäärä Päättyen"
"Description","Kuvaus"
"Discount Amount","Alennuksen Määrä"
"Edit Rule","Muokkaa Sääntöä"
"Edit Rule '%s'","Muokkaa Sääntöä%s'"
"Enable Discount to Subproducts","Ota alennusalennus käyttöön"
"Expiration Date","Viimeinen Käyttöpäivä"
"From Date","Alkaen Päivämäärä"
"General Information","Yleiset Tiedot"
"ID","ID"
"Inactive","Passiivinen"
"List of Products with an active Catalog Price Rule discount","Luettelo tuotteista, joilla on aktiivinen luettelo Hinta sääntö alennus"
"Newest","Uusin"
"New Rule","Uusi Sääntö"
"No","Ei"
"Only In-Stock Products","Vain Varastossa Olevat Tuotteet"
"On Sale","Myynnissä"
"On Sale Images and Names Template","Myynnissä Kuvien ja nimien malli"
"On Sale Images Only Template","Myyntikuvien Vain Mallipohjassa"
"On Sale Names Only Template","Myynnin Nimissä Vain Mallipohja"
"On Sale Products Grid Template","Myyntikohteet Tuotteet Ruudukkomalli"
"On Sale Products List Template","Myyntituotteiden Luettelon Malli"
"Options","Valinnat"
"Order Products By","Järjestä Tuotteet"
"Priority","Prioriteetti"
"Product Attribute","Tuotteen Attribuutti"
"Promotions","Kampanjat"
"Random","Satunnainen"
"Restrict to a single rule (e.g. ""Offer of the month""). Leave empty for all active rules.","Rajoita yhteen sääntöön (esim. ""kuukauden tarjoaminen""). Jätä tyhjäksi kaikille aktiivisille säännöille."
"Rule Information","Säännön Tiedot"
"Rule Name","Säännön Nimi"
"Save and Apply","Tallenna ja ota käyttöön"
"Save and Continue Edit","Tallenna ja jatka muokkaamista"
"Start Date","Aloitus Päivämäärä"
"Status","Tila"
"Stop Further Rules Processing","Pysäytä Uusien Sääntöjen Käsittely"
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","On sääntöjä, joita on muutettu, mutta joita ei ole sovellettu. Ole hyvä ja napsauta Käytä sääntöjä, jotta näet luettelon välittömän vaikutuksen."
"The rule has been deleted.","Tämä sääntö on poistettu."
"The rule has been saved.","Sääntö on tallennettu."
"The rules have been applied.","Sääntöjä on sovellettu."
"This rule no longer exists.","Tätä sääntöä ei ole enää olemassa."
"To Date","Mihin Päivämäärään"
"To Fixed Amount","Kiinteään Summaan"
"To Percentage of the Original Price","Jotta prosenttiosuus alkuperäisestä hinnasta"
"Type","Tyyppi"
"Unable to apply rules.","Sääntöjä ei voitu ottaa käyttöön."
"Unable to find a rule to delete.","Poistettavaa sääntöä ei löydy."
"Update Prices Using the Following Information","Päivitä hinnat käyttämällä seuraavia tietoja"
"Update product's %s %s: %s","Päivitystuotteen %s %s: %s"
"Website","Sivusto"
"Websites","Sivustot"
"Wrong rule specified","Väärä sääntö määritetty"
"Wrong rule specified.","Väärä sääntö määritetty."
"Yes","Kyllä"
