"%dh","%dh"
"%dh %dm","%dh %dm"
"%dm","%dm"
"%dm %ds","%dm %ds"
"%ds","%ds"
"Are you sure you want to disable the selected cron job(s)?","Oletko varma, että haluat poistaa valitut cron työt käytöstä?"
"At %s","At %s"
"Callback","Callback"
"Clear History","Tyhjennä Historia"
"Close","Sulje"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (aikataulutetut tehtävät) - kaikki ajat ovat minuutteina"
"Cron does not appear to be running. No jobs have been executed in the last hour. Please verify that cron is configured on your server.","Cron ei näytä olevan käynnissä. Viimeisen tunnin aikana ei ole suoritettu tehtäviä. Varmista, että cron on määritetty palvelimellesi."
"Cron history has been cleared. %d record(s) deleted.","Cron historia on tyhjennetty. %d tietuetta poistettu."
"Cron job ""%s"" has been disabled.","Cron työ ""%s"" on poistettu käytöstä."
"Cron job ""%s"" has been enabled.","Cron työ ""%s"" on otettu käyttöön."
"Cron Jobs","Cron Työt"
"Daily","Päivittäin"
"Daily at %s","Päivittäin klo %s"
"day %s","päivä %s"
"Disable","Poista Käytöstä"
"Disabled","Pois Käytöstä"
"Enable","Aktivoi"
"Enabled","Käytössä"
"Every %d hours at minute %d","Every %d hours at minute %d"
"Every %d minutes","Joka %d minuuttia"
"Every cron run","Jokainen cron ajaa"
"Every hour","Joka tunti"
"Every minute","Joka minuutti"
"Execution History","Suorituksen Historia"
"Failure History Lifetime","Epäonnistumisen Historian Elinikä"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Varmista, että Web > Secure ja Unsecure Base URL-osoitteet on erikseen asetettu oikeille URL-osoitteille."
"Generate Schedules Every","Luo Aikataulut Joka"
"History","Historia"
"History Cleanup Every","Historian Siivoaminen Joka"
"hour %s","tunti %s"
"Hourly","Tunneittain"
"Invalid callback: %s::%s does not exist","Virheellinen soitto: %s::%s ei ole olemassa"
"Invalid model/method definition, expecting ""model/class::method"".","Virheellinen malli/metodin määritelmä, odottaa ""malli/luokka::method""."
"Job Code","Työn Koodi"
"Job did not complete: the process died or exceeded the maximum running time (%s minutes).","Työ ei valmistunut: prosessi kuoli tai ylitti maksimiajoajan (%s minuuttia)."
"Last Run","Viimeinen Suoritus"
"Last Status","Viimeisin Tila"
"Manually reset via cron:unlock: job never completed.","Nollaa manuaalisesti cron:unlock: työtä ei ole koskaan suoritettu."
"Mark as Error if Still Running After","Merkitse virhe, jos vielä käynnissä"
"minute %s","minuutti %s"
"Missed","Vastaamaton"
"Missed if Not Run Within","Puuttuu, jos ei suorita sisällä"
"month %s","kuukausi %s"
"Monthly","Kuukausittain"
"Monthly on day %d at %s","Kuukausittain päivänä %d klo %s"
"Next Run","Seuraava Suoritus"
"No callbacks found","Takaisinsoittoja ei löytynyt"
"No execution history found.","Suoritushistoriaa ei löytynyt."
"No job code specified.","Tehtäväkoodia ei ole määritelty."
"No schedule ID specified.","Aikataulutunnistetta ei ole määritelty."
"Not run","Ei ajettu"
"Not scheduled","Ei ajoitettu"
"Pending","Odottaa"
"Please select cron job(s).","Ole hyvä ja valitse opastetyöt."
"Request failed","Pyyntö epäonnistui"
"Run Cron Job","Suorita Cron Työ"
"Running","Käynnissä"
"Running...","Käynnissä..."
"Run Now","Suorita Nyt"
"Schedule","Aikataulu"
"Schedule Ahead for","Aikatauluta eteenpäin"
"Schedule not found.","Aikataulua ei löytynyt."
"Stale jobs whose worker died (OOM, timeout, SIGKILL) are flipped from ""running"" to ""error"" after this many minutes. Keep this above the runtime of your slowest job, as any job still running past this threshold is marked as an error. Set to 0 to disable.","Stale työpaikkoja, joiden työntekijä kuoli (OOM, aikakatkaisu, SIGKILL) käännetään ""käynnissä"" ""virhe"" jälkeen tämän monta minuuttia. Pidä tämä yläpuolella runtime hitain työtä, kuten kaikki työt vielä käynnissä ohi tämän kynnyksen on merkitty virhe. Aseta arvoon 0 poistaaksesi käytöstä."
"Success","Onnistui"
"Success History Lifetime","Onnistumishistorian Elinikä"
"Timed out","Aikakatkaisu"
"Too late for the schedule.","Liian myöhään aikataulussa."
"Total of %d cron job(s) were disabled.","Yhteensä %d cron työpaikkaa ei otettu käyttöön."
"Total of %d cron job(s) were enabled.","Yhteensä %d cron työpaikka(t) otettiin käyttöön."
"Unable to save the cron expression.","Ei voitu tallentaa cron-lauseketta."
"Unknown cron job: %s","Tuntematon cron työ: %s"
"weekday %s","arkipäivä %s"
"Weekly","Viikoittain"
"Weekly on %s at %s","Viikottain %s klo %s"
