"-- Please Select --","-- Valitse --"
"Actions","Toiminnot"
"Add Layout Update","Lisää Asettelun Päivitys"
"Add New Widget Instance","Lisää Uusi Widgetin Paketti"
"All","Kaikki"
"All Pages","Kaikki Sivut"
"All Product Types","Kaikki Tuotetyypit"
"Anchor Categories","Ankkuri Kategoriat"
"An error occurred during POST data validation: %s","POST-tietojen validoinnin aikana tapahtui virhe: %s"
"An error occurred during saving a widget: %s","Widgetin tallentamisen aikana tapahtui virhe: %s"
"Apply","Käytä"
"Assign to Store Views","Liitä kaupan näkymiin"
"Big Image","Iso Kuva"
"Block Reference","Lohkon Viite"
"Categories","Kategoriat"
"Choose...","Valitse..."
"Close","Sulje"
"CMS","CMS"
"Continue","Jatka"
"Default Template","Oletusmalli"
"Delete","Poista"
"Design Package/Theme","Suunnittele Paketti/Teema"
"Error occurs during loading chooser.","Valintaa ladattaessa tapahtui virhe."
"Export to:","Vie kohteeseen:"
"Frontend Properties","Julkisivun Ominaisuudet"
"Generic Pages","Tavalliset Sivut"
"Go to Next page","Siirry seuraavalle sivulle"
"Go to Previous page","Siirry edelliselle sivulle"
"Images","Kuvat"
"Insert Widget...","Insert Widget..."
"items selected","kohdetta valittu"
"Layout Updates","Asettelun Päivitykset"
"Manage Widget Instances","Hallitse Widgetin Instansseja"
"New Instance","Uusi Paketti"
"New Widget Instance","Uusi Widgetin Paketti"
"Next page","Seuraava sivu"
"Non-Anchor Categories","Ei-Ankkuroidut Kategoriat"
"Not Selected","Ei Valittu"
"of %s pages","/ %s sivua"
"Open Chooser","Avaa Valitsin"
"Page","Sivu"
"per page","per sivu"
"Please Select Block Reference First","Valitse Alueen Viite Ensin"
"Previous page","Edellinen sivu"
"Products","Tuotteet"
"Remove Layout Update","Poista Asettelun Päivitys"
"Save and Continue Edit","Tallenna ja jatka muokkaamista"
"Select All","Valitse Kaikki"
"Select Visible","Valitse Näkyvä"
"Settings","Asetukset"
"Sort Order","Järjestä Järjestys"
"Sort Order of widget instances in the same block reference","Järjestä widgettien instanssien järjestys samassa lohkosviitteessä"
"Specific %s","Tietty %s"
"Specified Page","Määritelty Sivu"
"Template","Malli"
"The information in this tab has been changed.","Tämän välilehden tiedot on muutettu."
"The widget instance has been deleted.","Widgetin instanssi on poistettu."
"The widget instance has been saved.","Widgetin instanssi on tallennettu."
"This tab contains invalid data. Please solve the problem before saving.","Tämä välilehti sisältää virheellisiä tietoja. Ratkaise ongelma ennen tallentamista."
"Thumbnail","Thumbnail"
"Total %d records found","Yhteensä %d tietuetta löydetty"
"Type","Tyyppi"
"Unselect All","Poista Valinta Kaikista"
"Unselect Visible","Poista Näkyvä Valinta"
"View","Näytä"
"Widget","Pienoisohjelma"
"Widget ""%s""","Widget ""%s"""
"Widget ID","Widgetin ID"
"Widget Instance","Widgetin Paketti"
"Widget instance is not full complete to create.","Widgetin instanssi ei ole täydellinen luodakseen."
"Widget Instance Title","Widgetin Otsikko"
"Widget Options","Widgetin Asetukset"
"Widgets","Widgetit"
"Widget Type","Widgetin Tyyppi"
"Widget Type is not specified","Widgetin tyyppiä ei ole määritetty"
"Wrong widget instance specified.","Väärä widgetin instanssi määritetty."
