"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Ostoskorin hintasäännöt perustuvat ""%s"" attribuutti on poistettu käytöstä."
"%s Coupon(s) have been generated","%s kuponki(t) on luotu"
"Actions","Toiminnot"
"Active","Aktiivinen"
"Add New Rule","Lisää Uusi Sääntö"
"Alphabetical","Aakkosjärjestyksessä"
"Alphanumeric","Alphanumeric"
"An error occurred while generating coupons. Please review the log and try again.","Tapahtui virhe luotaessa kuponkeja. Tarkista loki ja yritä uudelleen."
"Apply","Käytä"
"Apply the rule only if the following conditions are met (leave blank for all products)","Sovelletaan sääntöä vain, jos seuraavat ehdot täyttyvät (jätä tyhjäksi kaikille tuotteille)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Sovella sääntöä vain ostoskorin kohteisiin, jotka vastaavat seuraavia ehtoja (jätä tyhjäksi kaikille kohteille)"
"Apply To","Käytä Kohteeseen"
"Apply to Shipping Amount","Sovella toimituksen määrään"
"Are you sure you want to delete the selected coupon(s)?","Oletko varma, että haluat poistaa valitut kuponkit?"
"Attribute ""%s"" %s %s %s","Attribuutti ""%s"" %s %s %s"
"Auto","Automaattinen"
"Auto Generated Specific Coupon Codes","Automaattisesti Luotu Erityisiä Kuponkikoodeja"
"Buy X get Y free (discount amount is Y)","Osta X saat Y ilmaiseksi (alennuksen määrä on Y)"
"By Fixed value","Kiinteän arvon mukaan"
"By Percentage","Prosenttiosuuden Mukaan"
"Can't acquire coupon.","Ei voi hankkia kuponkia."
"Cart Attribute","Ostoskorin Ominaisuus"
"Catalog","Katalogi"
"Code Format","Koodin Muoto"
"Code Length","Koodin Pituus"
"Code Prefix","Koodin Etuliite"
"Code Suffix","Code Suffix"
"Conditions","Ehdot"
"Conditions combination","Ehtojen yhdistelmä"
"Coupon","Alennuskoodi"
"Coupon Code","Alennuskoodi"
"Coupon Qty","Kupongin Määrä"
"Coupons Information","Kupongin Tiedot"
"Coupon with the same code","Alennuskoodi, jolla on sama koodi"
"Created On","Luotu Päälle"
"Customer Groups","Asiakasryhmät"
"Dash Every X Characters","Poista Jokainen X Merkki"
"Date Expire","Pvm Vanhenee"
"Date Start","Alkamispäivä"
"Default Label","Oletus Tunniste"
"Default Rule Label for All Store Views","Kaikkien kauppojen näkymien oletussääntötunnus"
"Description","Kuvaus"
"Discount Amount","Alennuksen Määrä"
"Discount Qty Step (Buy X)","Alennus Määrä Askel (Ostaa X)"
"Edit Rule","Muokkaa Sääntöä"
"Edit Rule '%s'","Muokkaa Sääntöä%s'"
"Excluding prefix, suffix and separators.","Lukuun ottamatta etuliitettä, jälkiliitettä ja erottimia."
"Fixed amount discount","Kiinteä alennus"
"Fixed amount discount for whole cart","Kiinteä alennus koko ostoskorille"
"For matching items only","Vain vastaavat kohteet"
"For shipment with matching items","Lähetystä varten vastaavat tuotteet"
"FOUND","LÖYTYNYT"
"Free Shipping","Ilmainen Toimitus"
"From Date","Alkaen Päivämäärä"
"General Information","Yleiset Tiedot"
"Generate","Luo"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Jos %s %s %s alivalinta ostoskorissa olevia kohteita, jotka vastaavat %s :a näistä ehdoista:"
"If an item is %s in the cart with %s of these conditions true:","Jos kohde on %s ostoskorissa jossa on %s näistä ehdoista totta:"
"If empty no separation.","Jos ei ole eroa."
"If you select and save the rule you will be able to generate multiple coupon codes.","Jos valitset ja tallennat säännön, voit luoda useita kuponkikoodeja."
"Inactive","Passiivinen"
"is assigned","on määritetty"
"is not assigned","ei ole määritetty"
"Item totals are not set for rule.","Tavaran loppusummia ei ole asetettu sääntöön."
"Labels","Tunnisteet"
"Manage Coupon Codes","Hallitse Alennuskoodeja"
"Maximum Qty Discount is Applied To","Suurin määrä alennus on voimassa"
"New Rule","Uusi Sääntö"
"No","Ei"
"No Coupon","Ei Kuponkia"
"NOT FOUND","EI LÖYTTÄ"
"NOT LOGGED IN","EI KIRJOITETTU SISÄÄN"
"Not valid data provided","Toimitetut tiedot eivät kelpaa"
"Number of Uses","Käyttöjen määrä"
"Numeric","Numeric"
"Payment Method","Maksutapa"
"Percent of product price discount","Prosentti tuotteen hinnanalennuksesta"
"Period","Aikaväli"
"Price in cart","Hinta ostoskorissa"
"Priority","Prioriteetti"
"Product attribute combination","Tuotteen attribuuttien yhdistelmä"
"Products subselection","Tuotteiden alavalinta"
"Promotions","Kampanjat"
"Public In RSS Feed","Julkinen RSS-syötteessä"
"Quantity in cart","Määrä ostoskorissa"
"Row total in cart","Rivin kokonaismäärä ostoskorissa"
"Rule Information","Säännön Tiedot"
"Rule is not defined","Sääntöä ei ole määritelty"
"Rule Name","Säännön Nimi"
"Sales Discount Amount","Myynnin Alennuksen Määrä"
"Sales Subtotal Amount","Myynnin Kokonaismäärä"
"Sales Total Amount","Myynti Yhteensä"
"Save and Continue Edit","Tallenna ja jatka muokkaamista"
"Shipping Country","Toimitus Maa"
"Shipping Method","Toimitustapa"
"Shipping Postcode","Toimituksen Postinumero"
"Shipping Region","Toimituksen Alue"
"Shipping State/Province","Toimitusosavaltio/maakunta"
"Shopping Cart Price Rule","Ostoskorin Hintasääntö"
"Shopping Cart Price Rules","Ostoskorin Hintasäännöt"
"Special Price","Erityinen Hinta"
"Specific Coupon","Erityinen Kuponki"
"Status","Tila"
"Stop Further Rules Processing","Pysäytä Uusien Sääntöjen Käsittely"
"Store View Specific Labels","Kauppanäkymän Erityiset Merkinnät"
"Subtotal","Välisumma"
"Subtotal Amount","Välisumman Määrä"
"The rule has been deleted.","Tämä sääntö on poistettu."
"The rule has been saved.","Sääntö on tallennettu."
"This rule no longer exists.","Tätä sääntöä ei ole enää olemassa."
"Times Used","Käytetyt Kerrat"
"To Date","Mihin Päivämäärään"
"To Fixed Value","Kiinteään Arvoon"
"To Percentage","Saavutettu Prosenttiosuus"
"Total","Yhteensä"
"Total Amount","Määrä Yhteensä"
"total amount","summa yhteensä"
"Total Items Quantity","Kohteiden Määrä Yhteensä"
"total quantity","kokonaismäärä"
"Total Weight","Paino Yhteensä"
"Unable to create requested Coupon Qty. Please check settings and try again.","Pyydettyä kuponkimäärää ei voitu luoda. Tarkista asetukset ja yritä uudelleen."
"Unable to find a rule to delete.","Poistettavaa sääntöä ei löydy."
"Update prices using the following information","Päivitä hinnat käyttämällä seuraavia tietoja"
"Update product's %s %s: %s","Päivitystuotteen %s %s: %s"
"Update the Product","Päivitä tuote"
"Usage limit enforced for logged in customers only","Käytön rajoitus vain kirjautuneille asiakkaille"
"Use Auto Generation","Käytä Automaattista Luontia"
"Used","Käytetty"
"Uses per Coupon","Käyttää per kuponki"
"Uses per Customer","Käyttömäärä per asiakas"
"Website","Sivusto"
"Websites","Sivustot"
"Wrong rule specified.","Väärä sääntö määritetty."
"Yes","Kyllä"
