"-- Please Select --","-- Valitse --"
"0 = never expires. Can be overridden per product.","0 = ei vanhene. Voidaan ohittaa tuotetta kohden."
"Action","Toiminto"
"Active","Aktiivinen"
"Add a message...","Lisää viesti..."
"Add New Gift Card","Lisää Uusi Lahjakortti"
"Admin Comment","Ylläpitäjän Kommentti"
"Allow Gift Message","Salli Lahjaviesti"
"Allow Message","Salli Viesti"
"All Websites","Kaikki Sivustot"
"Amount","Määrä"
"Amount Range","Summan Alue"
"An error occurred. Please try again.","Tapahtui virhe. Yritä uudelleen."
"Applied Gift Cards:","Sovellettavat Lahjakortit:"
"Apply","Käytä"
"Apply Gift Card","Käytä Lahjakorttia"
"Applying...","Otetaan..."
"Balance","Saldo"
"Balance: %s","Saldo: %s"
"Balance After","Saldo Jälkeen"
"Balance Before","Saldo Ennen"
"Can be overridden per product.","Voidaan ohittaa tuotetta kohden."
"Cannot apply gift card.","Lahjakorttia ei voi käyttää."
"Cannot remove gift card.","Lahjakorttia ei voi poistaa."
"Card Type","Kortin Tyyppi"
"Check","Tarkista"
"Check Balance","Tarkista Saldo"
"Checking...","Tarkistetaan..."
"Code","Koodi"
"Code Length","Koodin Pituus"
"Code Prefix (e.g., GC)","Koodin Etuliite (esim. GC)"
"Comma-separated values (e.g., 25,50,100)","Pilkulla erotetut arvot (esim. 25,50,100)"
"Created","Luotu"
"Created %d gift card product(s): %s","Luotu %d lahjakorttituotetta: %s"
"Created At","Luotu Klo"
"Create Gift Card Products","Luo Lahjakorttien Tuotteet"
"Current Balance","Nykyinen Saldo"
"Custom Amount","Oma Summa"
"Date","Päivämäärä"
"Default: %s","Oletus: %s"
"Default Expiry (days)","Oletus Vanheneminen (Päivää)"
"Delete","Poista"
"Delete Gift Card","Poista Lahjakortti"
"Disabled","Pois Käytöstä"
"Edit","Muokkaa"
"Edit Gift Card '%s'","Muokkaa Lahjakorttia '%s'"
"Edit this to manually adjust the balance. Use ""Admin Comment"" to explain the adjustment.","Muokkaa tätä säätääksesi saldoa manuaalisesti. Käytä ""Admin Comment"" selittääksesi korjauksen."
"Email Sender","Sähköpostin Lähettäjä"
"Email Settings","Sähköpostin Asetukset"
"Email Template","Sähköpostin Malli"
"Enable Gift Cards","Ota Lahjakortit Käyttöön"
"Enter gift card code","Syötä lahjakortin koodi"
"Error generating gift card PDF: %s","Virhe luotaessa lahjakorttia PDF: %s"
"Expired","Vanhentunut"
"Expires","Vanhenee"
"Expires At","Vanhenee"
"Fixed + Range","Kiinteä + Alue"
"Fixed Amount(s)","Kiinteät Summat"
"Fixed Amounts","Kiinteät Summat"
"From","Alkaen"
"From:","Lähettäjä:"
"Gift Card","Lahjakortti"
"Gift card ""%s"" has been fully used.","Lahjakortti ""%s"" on täysin käytetty."
"Gift card ""%s"" has expired.","Lahjakortti ""%s"" on vanhentunut."
"Gift card ""%s"" is already applied.","Lahjakortti ""%s"" on jo käytössä."
"Gift card ""%s"" is not active.","Lahjakortti ""%s"" ei ole aktiivinen."
"Gift card ""%s"" is not valid.","Lahjakortti ""%s"" ei ole kelvollinen."
"Gift card ""%s"" is not valid for this website.","Lahjakortti ""%s"" ei ole voimassa tällä sivustolla."
"Gift card ""%s"" was applied.","Lahjakortti ""%s"" oli käytössä."
"Gift card amount cannot be less than %s","Lahjakortin määrä ei voi olla pienempi kuin %s"
"Gift card amount cannot be more than %s","Lahjakortin määrä ei voi olla suurempi kuin %s"
"Gift Card Code","Lahjakortin Koodi"
"Gift Card History","Lahjakortin Historia"
"Gift Card Information","Lahjakortin Tiedot"
"Gift card not found.","Lahjakorttia ei löytynyt."
"Gift Card Notification Email","Lahjakortin Ilmoitus Sähköposti"
"Gift Card Options","Lahjakortin Asetukset"
"Gift card products cannot be added when a gift card code is applied. Please remove the gift card code first.","Lahjakorttituotteita ei voi lisätä, kun käytetään lahjakorttikoodia. Poista lahjakortin koodi ensin."
"Gift Cards","Lahjakortit"
"Gift cards cannot be used to purchase gift card products.","Lahjakortteja ei voi käyttää lahjakortin tuotteiden ostamiseen."
"Gift Cards Configuration","Lahjakorttien Asetukset"
"Gift Card Transaction History","Lahjakortin Tapahtuman Historia"
"Gift card was removed.","Lahjakortti poistettiin."
"Gift Certificates","Lahjakortit"
"Inactive","Passiivinen"
"Initial Balance","Alkuperäinen Saldo"
"Invalid form key. Please refresh the page and try again.","Virheellinen lomakkeen avain. Päivitä sivu ja yritä uudelleen."
"Invalid gift card code.","Virheellinen lahjakortin koodi."
"Invalid request.","Virheellinen pyyntö."
"Leave blank for immediate delivery","Jätä tyhjäksi välitöntä toimitusta varten"
"Leave empty to use system default. 0 = never expires.","Jätä tyhjäksi käyttääksesi järjestelmän oletusarvoa. 0 = ei vanhene."
"Lifetime (days)","Elinikä (päivää)"
"Lost cards not replaced","Kadonnutta korttia ei korvattu"
"Manage Gift Cards","Hallitse Lahjakortteja"
"Maximum Amount","Enimmäismäärä"
"Message:","Viesti:"
"Minimum Amount","Vähimmäismäärä"
"New Gift Card","Uusi Lahjakortti"
"Not redeemable for cash","Ei lunastettavissa käteisellä"
"Optional","Valinnainen"
"Order #","Tilaus #"
"Order History","Tilauksen Historia"
"Other Amount","Muu Summa"
"Personal Message","Henkilökohtainen Viesti"
"Please enter a gift card code.","Ole hyvä ja syötä lahjakorttikoodi."
"Please select a valid gift card amount","Ole hyvä ja valitse kelvollinen lahjakortin määrä"
"Please select gift card(s).","Ole hyvä ja valitse lahjakortti(t)."
"Price varies","Hinta vaihtelee"
"Print PDF","Print PDF"
"QR Code & Barcode","QR Code & Barcode"
"Recipient Email","Vastaanottajan Sähköposti"
"Recipient Name","Vastaanottajan Nimi"
"Refund Expiration Extension (days)","Palautuksen Voimassaoloaika (Pv)"
"Refund to Gift Card","Hyvitys lahjakortille"
"Remove","Poista"
"Save And Continue Edit","Tallenna Ja Jatka Muokkaamista"
"Save Gift Card","Tallenna Lahjakortti"
"Schedule Delivery","Ajasta Toimitus"
"Select Amount","Valitse Summa"
"Send Email","Lähetä Sähköposti"
"Send gift card email to %s?","Lähetä lahjakortin sähköposti %s?"
"Show Barcode (Code128)","Show Barcode (Code128)"
"Show QR Code","Show QR Code"
"Status","Tila"
"The gift card has been deleted.","Lahjakortti on poistettu."
"The gift card has been saved.","Lahjakortti on tallennettu."
"This gift card no longer exists.","Tätä lahjakorttia ei ole enää olemassa."
"This is a required field.","Tämä on pakollinen kenttä."
"To","Vastaanottaja"
"Too many attempts. Please wait a moment and try again.","Liian monta yritystä. Odota hetki ja yritä uudelleen."
"Total: %s","Yhteensä: %s"
"Unable to check balance.","Saldoa ei voitu tarkistaa."
"Unable to find a gift card to delete.","Poistettavaa lahjakorttia ei löydy."
"Unknown","Tuntematon"
"Updated At","Päivitetty Klo"
"Used","Käytetty"
"Use Default (%s)","Käytä Oletusta (%s)"
"View","Näytä"
"Website","Sivusto"
"When refunding to an expired gift card, extend expiration by this many days. 0 = no extension (card stays expired but balance is restored).","Kun palautus on vanhentunut lahjakortti, pidentää voimassaoloaikaa monta päivää. 0 = ei laajennusta (kortti pysyy vanhentuneena, mutta tasapaino palautetaan)."
"Your Email","Sinun Sähköpostiosoitteesi"
"Your Name","Sinun Nimi"
