"# of Uses","# käyttökerrat"
"%s tag(s) have been accepted for moderation.","%s tagia/tageja on hyväksytty moderointiin."
"<strong>Tag Name:</strong> %s","<strong>Tunnistenimi:</strong> %s"
"Action","Toiminto"
"Add","Lisää"
"Add New Tag","Lisää Uusi Tagi"
"Add tag(s) to product","Lisää tunnisteita tuotteeseen"
"Add Tags","Lisää Tagit"
"Add to Cart","Lisää ostoskoriin"
"Add to Wishlist","Lisää toivelistalle"
"Add Your Tags:","Lisää Tagisi"
"All Tags","Kaikki Tunnisteet"
"Approved","Hyväksytty"
"Are you sure?","Oletko varma?"
"Are you sure you want to delete this tag?","Oletko varma, että haluat poistaa tämän tagin?"
"Are you sure you want to do this?","Oletko varma, että haluat tehdä tämän?"
"Back","Takaisin"
"Back to Tags List","Takaisin Tagien listaan"
"Base Popularity","Base Suosio"
"Block Information","Lohkon Tiedot"
"Catalog Product View","Tuoteluettelon Tuotenäkymä"
"Change status","Muuta tila"
"Click on a tag to view your corresponding products.","Klikkaa tagia nähdäksesi vastaavat tuotteet."
"Country","Maa"
"CSV","CSV"
"Customer My Account My Tags List","Asiakas Oma Tilini Tunnisteet Lista"
"Customer My Account Tag View","Asiakkaan Oma Tilini Taginäkymä"
"Customers","Asiakkaat"
"Customer Since","Asiakas Alkaen"
"Customers Submitted this Tag","Asiakkaat lähettivät tämän tunnisteen"
"Customers Tagged '%s'","Asiakkaat Tunnisteet '%s'"
"Delete","Poista"
"Delete Tag","Poista Tagi"
"Disabled","Pois Käytöstä"
"Edit Tag '%s'","Muokkaa Tagin '%s'"
"Email","Sähköposti"
"Enable Adding Tags in Frontend","Ota käyttöön Tagien lisääminen julkisivustoon"
"First Name","Etunimi"
"General Information","Yleiset Tiedot"
"Grid","Ruudukko"
"ID","ID"
"Info","Tiedot"
"Last Name","Sukunimi"
"List","Lista"
"Manage Tags","Hallinnoi Tunnisteita"
"Middle Name","Toinen Nimi"
"My Recent Tags","Minun Viimeisimmät Tunnisteeni"
"My Tags","Omat Tunnisteet"
"Name","Nimi"
"New Tag","Uusi Tagi"
"No matches found.","Vastaavuuksia ei löytynyt."
"Pending","Odottaa"
"Pending Tags","Odottavat Tunnisteet"
"Popular","Suosittu"
"Popular Tags","Suositut Tunnisteet"
"Price","Hinta"
"Product Name","Tuotteen Nimi"
"Products","Tuotteet"
"Product SKU","Tuotteen Tuotenro"
"Products Tagged by Administrators","Ylläpitäjät merkitsevät tuotteita"
"Products Tagged by Customers","Asiakkaiden merkitsemät tuotteet"
"Products Tagged with '%s'","Tuotteet, joihin on merkitty '%s'"
"Products tagged with '%s'","Tuotteet, joilla on tunniste '%s'"
"Product Tag API","Tuotetunnisteen API"
"Product Tags","Tuotteen Tunnisteet"
"Rebuild Tag aggregation data","Rakenna tunnisteen yhdistämistiedot uudelleen"
"Remove","Poista"
"Remove product tag","Poista tuotetunniste"
"Retrieve list of tags by product","Nouda luettelo tunnisteista tuotteen mukaan"
"Retrieve product tag info","Hae tuotetagin tiedot"
"Save and Continue Edit","Tallenna ja jatka muokkaamista"
"Save Tag","Tallenna Tagi"
"SKU","Tuotenro"
"Status","Tila"
"Store View","Kaupan Näkymä"
"Tag","Tunniste"
"Tag ""%s"" has already been added to the product.","Tag ""%s"" on jo lisätty tuotteeseen."
"Tag ""%s"" has been added to the product.","Tag ""%s"" on lisätty tuotteeseen."
"Tag ""%s"" has been rejected by administrator.","Tag ""%s"" on hylätty järjestelmänvalvoja."
"Tag Aggregation Data","Tagin Kooste Tiedot"
"Tagged Products List","Tagillisten Tuotteiden Luettelo"
"Tag Name","Tagin Nimi"
"Tags","Tunnisteet"
"Tags:","Tunnisteet:"
"Tags List (All Available)","Tagit Lista (Kaikki Saatavissa)"
"Tags List Before","Tunnisteet Lista Ennen"
"Telephone","Puhelin"
"There are no tags available.","Tunnisteita ei ole saatavilla."
"The tag has been deleted.","Tunniste on poistettu."
"Unable to find any products tagged with '%s' in the current store","Tuotteita, joilla on '%s' -merkintä, ei löydy nykyisestä kaupasta"
"Unable to remove tag. Please, try again later.","Tunnistetta ei voitu poistaa. Yritä myöhemmin uudelleen."
"Unable to save tag(s).","Tunnisteita ei voitu tallentaa."
"Update","Päivitä"
"Update product tag","Päivitä tuotetunniste"
"Use spaces to separate tags. Use single quotes (') for phrases.","Käytä välilyöntejä erottamaan tageja. Käytä yksittäisiä lainausmerkkejä (') lauseita varten."
"View All Tags","Näytä Kaikki Tagit"
"View Customers","Näytä Asiakkaat"
"View Products","Näytä Tuotteet"
"XML","XML"
"You have not tagged any products yet.","Et ole vielä tagannut yhtään tuotetta."
"ZIP/Post Code","Postinumero"
"[STORE VIEW]","[LÄHETÄ NÄYTTEET]"
