"Account Number","Tilin Numero"
"Container ID","Kontin Tunnus"
"Enable","Aktivoi"
"Enable GA4 Debug Real Time view for Development IP.","Ota käyttöön GA4 Debug Real Time view for Development IP."
"Enable GA4 User_id tracking for logged in customers.","Ota käyttöön GA4 Käyttäjän _id seuranta kirjautuneille asiakkaille."
"Facebook Meta Pixel","Facebook Meta Pixel"
"Google Analytics","Google Analytics"
"Google Analytics 4","Google Analytics 4"
"Google API","Google API"
"Google Tag Manager","Google Tag Manager"
"Meta Pixel ID","Meta Pixel ID"
"Type","Tyyppi"
"User ID tracking","Käyttäjän ID:n seuranta"
