"Action","Toiminto"
"Add New Template","Lisää Uusi Malli"
"Add to Queue","Lisää jonoon"
"Allow Guest Subscription","Salli Uutiskirjeen Tilaus"
"An error occurred while saving your subscription.","Tapahtui virhe tallennettaessa tilaustasi."
"Back","Takaisin"
"Be the first to know about new arrivals, special offers, and insider news.","Ole ensimmäinen tietää uusista tuloista, erikoistarjouksia, ja sisäpiirin uutisia."
"Cancel","Peruuta"
"Cancelled","Peruutettu"
"Cannot delete this template. It is currently used by %d email automation sequence(s). Please reassign or delete those sequences first.","Sivupohjaa ei voi poistaa. Sitä käyttää tällä hetkellä %d sähköpostiautomaatiojärjestys. Ole hyvä ja kirjoita tai poista nämä sekvenssit ensin."
"Cannot mark as received subscriber.","Ei voida merkitä vastaanotetuksi tilaajaksi."
"Confirmation Email Sender","Vahvistussähköpostin Lähettäjä"
"Confirmation Email Template","Vahvistus Sähköpostimalli"
"Confirmation request has been sent.","Vahvistuspyyntö on lähetetty."
"Convert to Plain Text","Muunna pelkäksi tekstiksi"
"Coupon Code","Alennuskoodi"
"Coupon Expiration Date (Formatted)","Kupongin Päättymispäivä (Muotoillut)"
"Coupon Expiration Date (Raw)","Kupongin Viimeinen Voimassaolo (Raw)"
"Coupon Rule Description","Kupongisäännön Kuvaus"
"Create Newsletter Template","Luo Uutiskirjemalli"
"Customer","Asiakas"
"Customer Email","Asiakkaan Sähköposti"
"Customer First Name","Asiakkaan Etunimi"
"Customer Last Name","Asiakkaan Sukunimi"
"Customer Middle Name","Asiakkaan Toinen Nimi"
"Customer My Account Newsletter Subscriptions","Asiakastilin Uutiskirjeen Tilaukset"
"Customer Name","Asiakkaan Nimi"
"Customer Name (Object)","Asiakkaan Nimi (kohde)"
"Customer Segments","Asiakkaan Segmentit"
"Customer Variables","Asiakkaan Muuttujat"
"Date Added","Päivämäärä Lisätty"
"Date Updated","Päivämäärä Päivitetty"
"Default Template","Oletusmalli"
"Delete","Poista"
"Delete Selected Problems","Poista Valitut Ongelmat"
"Delete Template","Poista Malli"
"Do you really want to cancel the queue?","Haluatko todella peruuttaa jonon?"
"Duplicate template code.","Duplicate template code."
"Edit Newsletter","Muokkaa Uutiskirjettä"
"Edit Newsletter Template","Muokkaa Uutiskirjeen Mallia"
"Edit Queue","Muokkaa Jonoa"
"Edit Template","Muokkaa Mallia"
"Email","Sähköposti"
"Email Automation Variables","Sähköpostin Automaation Muuttujat"
"Error Code","Virhe Koodissa"
"Error Text","Virhe Teksti"
"Follow this link to unsubscribe:","Seuraa tätä linkkiä tilauksen peruuttamiseen:"
"Guest","Vieras"
"ID","ID"
"Insert Variable...","Lisää Muuttuja..."
"Invalid queue selected.","Valittu jono ei kelpaa."
"Invalid sender email address","Virheellinen lähettäjän sähköpostiosoite"
"Invalid subscription confirmation code.","Virheellinen tilauksen vahvistuskoodi."
"Invalid subscription ID.","Virheellinen tilaustunnus."
"Message","Viesti"
"Need to Confirm","Täytyy vahvistaa"
"New Newsletter Template","Uusi Uutiskirjemalli"
"Newsletter","Uutiskirje"
"Newsletter Message Preview","Uutiskirjeen Viestin Esikatselu"
"Newsletter Problem Reports","Uutiskirjeen Ongelmailmoitukset"
"Newsletter Queue","Uutiskirjeen Jono"
"Newsletter Styles","Uutiskirjeen Tyylit"
"Newsletter Subscribers","Uutiskirjeen Tilaajat"
"Newsletter Subscription","Uutiskirjeen Tilaus"
"Newsletter subscription confirmation","Uutiskirjeen tilauksen vahvistus"
"Newsletter Subscription Form","Uutiskirjeen Tilaus Lomake"
"Newsletter Subscription Form Before","Uutiskirjeen Tilaus Ennen"
"Newsletter subscription success","Uutiskirjeen tilaus onnistui"
"Newsletter Templates","Uutiskirjeen Mallit"
"Newsletter unsubscription success","Uutiskirjeen peruutus onnistui"
