"%s and greater","%s ja suurempi"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d kohdetta</strong> löytyi käyttämällä seuraavia hakukriteerejä"
"Advanced Search","Tarkennettu Haku"
"Advanced Search Form","Tarkennettu Hakulomake"
"Advanced Search Result","Tarkennettu Hakutulos"
"All","Kaikki"
"Applies for ""Like"" search type only.","Koskee vain ""Tykkää"" hakutyyppiä."
"Apply Layered Navigation if Search Results are Less Than","Käytä tasoitettua navigaatiota, jos hakutulokset ovat vähemmän kuin"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Attribuuttiasetuksen muutos liittyen Hakuindeksiin. Ole hyvä ja suorita <a href=""%s"">Rebuild Search Index</a> -prosessi."
"Autogenerated Site Map","Automaattisesti Luotu Sivukartta"
"Boost SKU Matches in Search Results","Tehosta SKU vastaavuuksia hakutuloksissa"
"Catalog Advanced Search","Katalogin Tarkennettu Haku"
"Catalog Search","Luettelon Haku"
"Catalog Search Index","Tuoteluettelon Hakuindeksi"
"Categories","Kategoriat"
"Don't see what you're looking for?","Etkö näe mitä etsit?"
"Enable Category Search in Autosuggest","Ota kategorian haku käyttöön automaattisesti"
"Enter ""0"" to enable layered navigation for any number of results.","Kirjoita ""0"" ottaaksesi käyttöön kerroksisen navigoinnin millä tahansa lukumäärällä."
"Fulltext Separator","Fulltext Separator"
"Go to Home Page","Siirry etusivulle"
"Grid","Ruudukko"
"Home","Koti"
"List","Lista"
"Maximum Categories in Autosuggest","Kategorioiden enimmäismäärä AutoProsessilla"
"Maximum Query Length","Kyselyn Enimmäispituus"
"Maximum Query Words Count","Kyselyn Sanojen Enimmäismäärä"
"Maximum Search query length is %s. Your query was cut.","Hakukyselyn enimmäispituus on %s. Kyselysi leikattiin."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Sanojen enimmäismäärä on %1$s. Hakussasi leikattiin seuraava osa: %2$s."
"Minimal Query Length","Minimaalisen Kyselyn Pituus"
"Minimum Search query length is %s","Hakukyselyn vähimmäispituus on %s"
"Modify your search","Muokkaa hakuasi"
"No","Ei"
"No items were found using the following search criteria.","Yhtään kohdetta ei löytynyt käyttämällä seuraavia hakuehtoja."
"Please specify at least one search term.","Määritä vähintään yksi hakutermi."
"Popular Search Terms","Suositut Hakutermit"
"Products","Tuotteet"
"Quick Search Form","Pikahakulomake"
"Rebuild Catalog product fulltext search index","Rakenna uudelleen Luettelon tuotteen fulltext-hakuindeksi"
"Redirect to product page if search generates one result","Uudelleenohjaa tuotesivulle, jos haku luo yhden tuloksen"
"Relevance","Merkitys"
"Results","Tulokset"
"Search","Etsi"
"Search:","Etsi:"
"Search entire store here...","Etsi koko kaupasta täältä..."
"Search results for '%s'","Hakutulokset kohteelle '%s'"
"Search results for: '%s'","Search results for: '%s'"
"Search Settings","Hae Asetukset"
"Search Terms","Hae Termejä"
"Search Type","Hae Tyyppi"
"Show Autocomplete Results Count","Näytä Automaattitäydennyksen Tulosten Määrä"
"Specified date is invalid.","Määritetty päivämäärä on virheellinen."
"Subscribe to Feed","Tilaa syöte"
"up to %s","jopa %s"
"View all %s results","Näytä kaikki %s tulokset"
"When enabled and SKU is searchable, products matching by SKU are boosted to the top of search results.","Kun käytössä ja SKU on haettavissa, SKU:n kanssa sopivat tuotteet tehostetaan hakutulosten huipulle."
"Yes","Kyllä"
"Your search returns no results.","Hakusi ei palauta tuloksia."
