"Abandoned Carts","Hylätyt Ostoskorit"
"Abandoned carts","Hylätyt ostoskorit"
"Action","Toiminto"
"Add to Cart","Lisää ostoskoriin"
"Add to Compare","Lisää vertailuun"
"Add to Wishlist","Lisää toivelistalle"
"All Time","Koko Aika"
"Any","Kaikki"
"Applied Coupon","Sovellettu Alennuskoodi"
"Applies to Any of the Specified Order Statuses","Sovelletaan mihin tahansa määrättyyn tilaan"
"Are you sure?","Oletko varma?"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Oletko varma, että haluat päivittää elinikäisiä tilastoja? Toiminnan aikana voi olla vaikutusta suorituskykyyn."
"Avg. Approved Rating","Keskim. Hyväksytty Arvostelu"
"Avg. Rating","Keskim. Luokitus"
"Bestsellers","Bestsellers"
"Bestsellers Grid Template","Myydyimmät Ruudukkomalli"
"Bestsellers Images and Names Template","Myydyimmät Kuvat ja nimet"
"Bestsellers Images Only Template","Myydyimmät Kuvat Vain Malli"
"Bestsellers List Template","Myydyimmät Listamalli"
"Bestsellers Names Only Template","Myydyimmät Nimet Vain Malli"
"Carts","Ostoskorit"
"Catalog Category (Without Subcategories)","Tuoteluettelon Kategoria (ilman Alaluokkaa)"
"Compared Product Images Only Template","Vertailevat Tuotekuvat Vain Malli"
"Compared Product Names Only Template","Vertailevat Tuotenimet Vain Malli"
"Compared Products Grid Template","Vertailevat Tuotteet Ruudukkomalli"
"Compared Products Images and Names Template","Vertailutuotteet Kuvat ja nimet malli"
"Compared Products List Template","Vertaileva Tuoteluettelon Malli"
"Coupons","Kupongit"
"Coupons Usage Report","Kupongien Käyttö Raportti"
"Created At","Luotu Klo"
"CSV","CSV"
"Current Month Starts","Nykyinen Kuukausi Aloittaa"
"Customer","Asiakas"
"Customer Name","Asiakkaan Nimi"
"Customers","Asiakkaat"
"Customers by Number of Orders","Asiakkaat tilausten määrän mukaan"
"Customers by number of orders","Asiakkaat tilausten lukumäärän mukaan"
"Customers by Orders Total","Asiakkaat tilausten yhteensä"
"Customers by orders total","Asiakkaat tilausten yhteensä"
"Customers Report","Asiakkaat Raportoi"
"Customers Reviews","Asiakkaiden Arvostelut"
"Customers Tags","Asiakkaan Tunnisteet"
"Customer Tags","Asiakkaan Tunnisteet"
"Dashboard","Hallintapaneeli"
"Day","Päivä"
"Default Recently Compared Products Count","Äskettäin Verrattujen Tuotteiden Oletusmäärä"
"Default Recently Viewed Products Count","Äskettäin Katsottujen Tuotteiden Oletusmäärä"
"Description","Kuvaus"
"Detail","Yksityiskohta"
"Downloads","Lataukset"
"Email","Sähköposti"
"Empty Rows","Tyhjät Rivit"
"Enable Product Compare","Ota Käyttöön Tuotevertailu"
"Enable Recently Viewed Products","Ota Äskettäin Katsotut Tuotteet Käyttöön"
"Enable Reports","Ota Raportit Käyttöön"
"Excel XML","Excel XML"
"Filter","Suodatin"
"First Name","Etunimi"
"From","Alkaen"
"General","Yleiset"
"Guest","Vieras"
"Hits","Osumat"
"ID","ID"
"Index model name must be defined","Indeksimallin nimi on määriteltävä"
"Invalid date specified.","Virheellinen päivämäärä määritetty."
"Invoiced","Laskutettu"
"IP Address","Ip Osoite"
"Items in Cart","Tuotteet ostoskorissa"
"Last 7 Days","Viimeiset 7 Päivää"
"Last 30 Days","Viimeiset 30 Päivää"
"Last Name","Sukunimi"
"Last Review","Viimeisin Arvostelu"
"Link","Linkki"
"List of best selling products for a given period","Luettelo myydyimmistä tuotteista tiettynä ajanjaksona"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Luettelo tuotteista vastikään vertailtu ja poistettu vertailulistalta vierailijan mukaan"
"List of Products Recently Viewed by Visitor","Luettelo tuotteista, joita vierailija on äskettäin katsonut"
"Low Stock","Matala Varasto"
"Low stock","Matala varastossa"
"Match Period To","Osuman Aikaväli"
"Month","Kuukausi"
"Most Viewed","Eniten Katsotut"
"Name","Nimi"
"New Accounts","Uudet Tilit"
"No","Ei"
"Number Added","Numero Lisätty"
"Number Fulfilled","Numero Täytetty"
"Number of Items","Kohteiden määrä"
"Number of New Accounts","Uusien tilien määrä"
"Number of Products to display","Näytettävien tuotteiden määrä"
"Number Of Reviews","Arvioiden Määrä"
"Number of Reviews","Arvioiden määrä"
"Number of Total Tags","Tagien määrä yhteensä"
"Number of Unique Tags","Ainutlaatuisten tagien määrä"
"Number of Views","Näyttöjen määrä"
"Number Purchased","Ostettu Numero"
"Number Viewed","Katsottu Numero"
"Only In-Stock Products","Vain Varastossa Olevat Tuotteet"
"Orders","Tilaukset"
"Order Status","Tilauksen Tila"
"Order Taxes Report Grouped by Tax Rate","Tilausverot Raportti Ryhmitelty verokannan mukaan"
"Out of stock","Ei varastossa"
"Period","Aikaväli"
"Poducts Report","Poductsin Raportti"
"Popularity","Suosio"
"Popular Tags","Suositut Tunnisteet"
"Price","Hinta"
"Product Name","Tuotteen Nimi"
"Product Reviews","Tuotteiden Arvostelut"
"Products","Tuotteet"
"Products in carts","Tuotteet ostoskorissa"
"Product SKU","Tuotteen Tuotenro"
"Products Ordered","Tilatut Tuotteet"
"Products Report","Tuotteiden Raportti"
"Products Reviews","Tuotteiden Arvostelut"
"Products Tags","Tuotteiden Tagit"
"Product Tags","Tuotteen Tunnisteet"
"Purchases","Ostot"
"Quantity of Items","Tavaroiden määrä"
"Quantity Ordered","Tilattu Määrä"
"Recently Compared","Äskettäin Vertaillut"
"Recently Compared Products","Äskettäin Vertaillut Tuotteet"
"Recently Viewed","Viimeksi Katsottu"
"Recently Viewed/Compared Products","Äskettäin Katsotut/Vertaillut Tuotteet"
"Recently Viewed Products","Äskettäin Katsotut Tuotteet"
"Refresh Lifetime Statistics","Päivitä Elinikätilastot"
"Refresh Statistics","Päivitä Tilastot"
"Refresh Statistics for the Last Day","Päivitä viimeisen päivän tilastot"
"Refunds","Hyvitykset"
"Report","Raportoi"
"Reports","Raportit"
"Results","Tulokset"
"Revenue","Tulot"
"Review","Arvostelu"
"Reviews","Arvostelut"
"Reviews for %s","%s arviot"
"Sales","Myynti"
"Sales Report","Myynti Raportti"
"Search Query","Hae Kyselystä"
"Search Terms","Hae Termejä"
"Select day of the month.","Valitse kuukauden päivä."
"Shipping","Toimitus"
"Shopping Cart","Ostoskori"
"Shopping Cart Price Rule","Ostoskorin Hintasääntö"
"Show Actual Values","Näytä Todelliset Arvot"
"Show for Current","Näytä nykyiselle"
"Show Report","Näytä Raportti"
"Specified","Määritelty"
"Statistics","Tilastot"
"Stock Qty","Varaston Määrä"
"Submitted In","Lähetetty Sisään"
"Submitted On","Lähetetty Päälle"
"Subtotal","Välisumma"
"Tag","Tunniste"
"Tag ""%s"" details","Tagin ""%s"" tiedot"
"Tag Detail","Tagin Tiedot"
"Tag Name","Tagin Nimi"
"Tags Submitted by %s","Tunnisteet Lähettäjä %s"
"Tags submitted to %s","Tunnisteet lähetetty %s"
"Tag Use","Tagin Käyttö"
"Tax","Vero"
"This Month","Tässä Kuussa"
"This Year","Tänä Vuonna"
"Title","Otsikko"
"To","Vastaanottaja"
"Total","Yhteensä"
"Total invoiced","Laskutettu yhteensä"
"Total Invoiced vs. Paid Report","Yhteensä laskutettu vs. maksettu raportti"
"Total Ordered Report","Tilattu Raportti Yhteensä"
"Total refunded","Hyvitetty yhteensä"
"Total Refunded Report","Hyvitetty Raportti Yhteensä"
"Total Shipped Report","Toimitettu Raportti Yhteensä"
"Total Tags","Tagit Yhteensä"
"undefined","määrittelemätön"
"Updated At","Päivitetty Klo"
"Viewed Products Grid Template","Katsotut Tuotteet Ruudukkomalli"
"Viewed Products Images and Names Template","Katsotut tuotteet Kuvat ja nimet malli"
"Viewed Products Images Only Template","Katsotut Tuotteet Kuvat Vain Malli"
"Viewed Products List Template","Katsotut Tuotteet Listamalli"
"Viewed Products Names Only Template","Katsotut Tuotteet Nimet Vain Malli"
"Visible In","Näkyvä Sisään"
"Year","Vuosi"
"Year-To-Date Starts","Vuosi-Päivämäärä Alkaa"
"Yes","Kyllä"
"Your Recently Compared","Äskettäin Vertaillut"
"Your Recently Viewed","Äskettäin Katsotut"
