"Action","Toiminto"
"Active","Aktiivinen"
"Add New Rule","Lisää Uusi Sääntö"
"Apply rule to source products matching the following conditions (leave blank for all products)","Käytä sääntöä lähteen tuotteille, jotka vastaavat seuraavia ehtoja (jätä tyhjäksi kaikille tuotteille)"
"Are you sure?","Oletko varma?"
"Catalog","Katalogi"
"Change status","Muuta tila"
"Conditions","Ehdot"
"Conditions Combination","Ehtojen Yhdistäminen"
"Cron expression for rule processing. Default: <strong>0 3 * * *</strong> (daily at 3am).","Cron lauseke sääntökäsittelyä varten. Oletus: <strong>0 3 * *</strong> (päivittäin klo 3am)."
"Cron Schedule","Cron Aikataulu"
"Cross-sell Products","Cross-sell Tuotteet"
"Delete","Poista"
"Delete Rule","Poista Sääntö"
"Description","Kuvaus"
"Disabled","Pois Käytöstä"
"does not match source","ei vastaa lähdettä"
"Edit","Muokkaa"
"Edit Rule '%s'","Muokkaa Sääntöä%s'"
"Enabled","Käytössä"
"From Date","Alkaen Päivämäärä"
"How rule-generated links combine with existing product links.<br/><strong>Replace</strong>: delete existing links, then insert rule results (default).<br/><strong>Merge</strong>: keep existing links and append rule results, with no duplicates.","Miten sääntöjen luomat linkit yhdistyvät olemassa oleviin tuotelinkkeihin.<br/><strong>Korvaa</strong>: Poista olemassa olevat linkit ja lisää säännön tulokset (oletus).<br/><strong>Yhdistä</strong>: Säilytä olemassa olevat linkit ja lisää sääntöjen tulokset, ilman kaksoiskappaleita."
"ID","ID"
"Inactive","Passiivinen"
"Link to target products matching the following conditions (leave blank for all products)","Linkki kohdetuotteisiin, jotka vastaavat seuraavia ehtoja (jätä tyhjäksi kaikille tuotteille)"
"Link Type","Link Type"
"Lower number = higher priority","Alempi määrä = suurempi prioriteetti"
"matches source","vastaa lähdettä"
"Maximum Links","Linkkien Enimmäismäärä"
"Maximum number of linked products per source product (leave empty for unlimited)","Enimmäismäärä linkitettyjä tuotteita lähdetuotetta kohden (jätä tyhjäksi rajoittamattomaksi)"
"Merge (keep existing links, append rule results)","Yhdistä (säilytä olemassa olevat linkit, lisää sääntö)"
"Merge Behaviour","Yhdistä Käyttäytyminen"
"Name: A-Z","Nimi: A-Z"
"Name: Z-A","Nimi: Z-A"
"Newest First","Uusin Ensin"
"New Rule","Uusi Sääntö"
"Oldest First","Vanhin Ensin"
"Please select rule(s).","Valitse sääntö(t)."
"Price: High to Low","Hinta: ylhäältä alimmalle"
"Price: Low to High","Hinta: Matala - Korkea"
"Priority","Prioriteetti"
"Product Attribute","Tuotteen Attribuutti"
"Product Link Rules","Tuotteen Linkin Säännöt"
"Product Relationship Rules","Tuotesuhteiden Säännöt"
"Random (Default)","Satunnainen (Oletus)"
"Related Products","Liittyvät Tuotteet"
"Replace (delete existing links, insert rule results)","Korvaa (poista olemassa olevat linkit, lisää säännön tulokset)"
"Rule Information","Säännön Tiedot"
"Rule Name","Säännön Nimi"
"Save and Continue Edit","Tallenna ja jatka muokkaamista"
"Save Rule","Tallenna Sääntö"
"Sort Order","Järjestä Järjestys"
"Source Product Conditions","Lähdetuotteiden Ehdot"
"Source products matching %s of these conditions are %s:","Lähdetuotteet, jotka vastaavat %s näistä ehdoista ovat %s:"
"Status","Tila"
"Target Conditions","Kohteen Ehdot"
"Target product attribute will be compared to source product","Kohdetuotteen attribuuttia verrataan lähdetuotteen attribuuttiin"
"Target Product Conditions","Kohdetuotteiden Ehdot"
"Target products matching %s of these conditions are %s:","Kohdetuotteet, jotka vastaavat %s näistä ehdoista ovat %s:"
"The rule has been deleted.","Tämä sääntö on poistettu."
"The rule has been saved.","Sääntö on tallennettu."
"This rule no longer exists.","Tätä sääntöä ei ole enää olemassa."
"To Date","Mihin Päivämäärään"
"Total of %d record(s) were deleted.","Yhteensä %d tietuetta poistettiin."
"Total of %d record(s) were updated.","Yhteensä %d tietuetta päivitettiin."
"Up-sell Products","Myynnissä Olevat Tuotteet"
