"%s Screenshot","%s Kuvakaappaus"
"%s violation(s)","%s rikkomusta"
"Accessibility Scan","Esteettömyyden Skannaus"
"Accessibility Scan Report","Esteettömyyden Skannaa Raportti"
"Accessibility Violations","Esteettömyysrikkomukset"
"Advanced","Lisäasetukset"
"Are you sure you want to delete this scan?","Oletko varma, että haluat poistaa tämän kuvan?"
"axe-core could not automatically evaluate %s check(s) (for example, color contrast over an image). Review them manually.","axe-core ei pystynyt automaattisesti arvioimaan %s -valintaa (esimerkiksi värikontrastia kuvan päälle). Tarkista ne manuaalisesti."
"Back","Takaisin"
"CLI","CLI"
"Command failed (exit code %s): %s","Komento epäonnistui (poistumiskoodi %s): %s"
"Command timed out after %s seconds: %s","Komento aikakatkaistiin %s sekunnin jälkeen: %s"
"Complete","Complete"
"Completed","Valmis"
"Conformance level used when starting a scan without an explicit level.","Skannauksen käynnistämisessä käytetty vaatimustenmukaisuustaso ilman nimenomaista tasoa."
"Critical","Kriittinen"
"Cron expression. Default: <strong>0 3 * * *</strong> (daily at 3am).","Oletus: <strong>0 3 * * *</strong> (päivittäin klo 3am)."
"Cron Schedule","Cron Aikataulu"
"Date","Päivämäärä"
"Default WCAG Level","WCAG- Oletustaso"
"Delete","Poista"
"Delete Scans After","Poista Skanat Jälkeen"
"Desktop","Työpöytä"
"Desktop Viewport","Työpöydän Näyttöportti"
"Enabled","Käytössä"
"Export PDF","Vie PDF"
"Failed","Epäonnistui"
"Fix all of the following","Korjaa kaikki seuraavat"
"Fix any of the following","Korjaa mikä tahansa seuraavista"
"General Settings","Yleiset Asetukset"
"How to fix","Kuinka korjata"
"HTML","HTML"
"ID","ID"
"Invalid scan URL ""%s"": every URL must belong to one of the configured store base URLs","Virheellinen skannauksen URL-osoite ""%s"": jokaisen URL:n on kuuluttava johonkin kaupan määritetyistä URL-osoitteista"
"Learn more","Lue lisää"
"Manual","Manuaalinen"
"Maximum time in seconds to wait for a single page scan.","Enimmäisaika sekunneissa, jotta voidaan odottaa yhden sivun skannausta."
"Minor","Vähäinen"
"Mobile","Mobiili"
"Mobile Viewport","Mobiilinäkymä"
"Moderate","Kohtalainen"
"Needs Review","Tarvitsee Arvostelun"
"No automatically detectable violations were found. Automated checks cover only part of WCAG, so manual testing with a keyboard and a screen reader is still recommended.","Automaattisesti havaittavia rikkomuksia ei löytynyt. Automaattiset tarkastukset kattavat vain osan WCAG:stä, joten manuaalinen testaus näppäimistöllä ja näyttölukija on edelleen suositeltavaa."
"Node.js %s is installed, but the scanner requires version %s or newer.","Node.js %s on asennettu, mutta skanneri vaatii version %s tai uudemman."
"Node.js Binary Path","Node.js Binary Polku"
"Node.js was not found (looking for ""%s""). Install Node.js %s or newer, or set its full path in System > Configuration > Accessibility Scan.","Node.js ei löytynyt (etsitään ""%s""). Asenna Node. s %s tai uudempi, tai aseta koko polku kohdassa System > Asetukset > Esteettömyysasteikko"
"npm Binary Path","npm Binary polku"
"npm was not found (looking for ""%s""). Install it together with Node.js, or set its full path in System > Configuration > Accessibility Scan.","npm ei löytynyt (etsitään ""%s""). Asenna se yhdessä Node-sovelluksen kanssa. s, tai aseta koko polku kohdassa System > Configuration > Accessibility Scan."
"One URL per line. Every URL must belong to one of the configured store base URLs.","Yksi URL-osoite riviä kohti. Jokaisen URL-osoitteen on kuuluttava johonkin kaupan määritettyyn perusosoitteeseen."
"Page Title","Sivun Otsikko"
"Path to the node executable. Default: node","Polku suoritettavaan palvelimeen. Oletus: node"
"Path to the npm executable. Default: npm","Polku suoritettavaan tiedostoon. Oletus: npm"
"Pending","Odottaa"
"Periodically scan the URLs below via cron, using the default WCAG level.","Skannaa alla olevat URL-osoitteet määräajoin cronin kautta, käyttäen WCAG:n oletustasoa."
"Please provide a valid URL to scan","Ole hyvä ja anna kelvollinen URL skannataksesi"
"Run a New Scan","Suorita uusi skannaus"
"Running","Käynnissä"
"Scan #%s","Skannaa #%s"
"Scan failed","Skannaus epäonnistui"
"Scan failed: %s","Skannaus epäonnistui: %s"
"Scan History","Skannaa Historia"
"Scan ID","Skannaa Tunniste"
"Scanning... this can take a couple of minutes.","Etsitään... tämä voi kestää pari minuuttia."
"Scan not found","Skannaa ei löydy"
"Scan Results","Skannaa Tulokset"
"Scans older than this many days are deleted automatically. 0 keeps everything.","Yli tämän monta päivää vanhat Scanit poistetaan automaattisesti. 0 pitää kaiken."
"Scan Timeout","Skannauksen Aikakatkaisu"
"Scheduled","Ajoitettu"
