"""Remember Me"" Default Value","""Muista Minut"" Oletusarvo"
"* Required Fields","* Vaaditut Kentät"
"Accept Format-valid VAT When VIES Unavailable","Hyväksy Alv Muotoilussa Kun Käännös Ei Käytettävissä"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Tilin vahvistus vaaditaan. Ole hyvä ja tarkista sähköpostiosoitteesi vahvistuslinkistä. Lähetä vahvistussähköposti uudelleen klikkaamalla <a href=""%s"">tästä</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>."
"Account Dashboard","Tilin Hallintapaneeli"
"Account Information","Tilin Tiedot"
"Account Options","Tilin Asetukset"
"Account Sharing Options","Tilin Jakamisen Asetukset"
"Action","Toiminto"
"Added From","Lisätty Alkaen"
"Additional Address Entries","Ylimääräiset Osoitemerkinnät"
"Add New Address","Lisää Uusi Osoite"
"Add New Customer","Lisää Uusi Asiakas"
"Add New Customer Group","Lisää Uusi Asiakasryhmä"
"Address","Osoite"
"Address Book","Osoitekirja"
"Addresses","Osoitteet"
"Address Information","Osoitteen Tiedot"
"Address Templates","Osoitemallit"
"Admin","Ylläpitäjä"
"All","Kaikki"
"All countries","Kaikki maat"
"ALL GROUPS","KAIKKI RYHMÄT"
"Allow customers to login via a secure link sent to their email instead of using a password.","Salli asiakkaiden kirjautua sisään turvallisen linkin kautta, joka lähetetään heidän sähköpostiinsa salasanan sijaan."
"All Store Views","Kaikki Kauppanäkymät"
"Always optional.","Aina valinnainen."
"Amount","Määrä"
"An error occurred during validation. Please try again.","Vahvistuksen aikana tapahtui virhe. Yritä uudelleen."
"An error occurred while deleting the address.","Osoitteen poistamisessa tapahtui virhe."
"An error occurred while retrieving the option value: %s.","Virhe tapahtui noudettaessa valitsimen arvoa: %s."
"An error occurred while saving the collection, aborting. Error: %s","Tapahtui virhe tallennettaessa kokoelmaa, keskeytettiin. Virhe: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Epäkelpo vaihtoehto ID on määritetty %s (%s), ohitetaan tietue."
"Approved","Hyväksytty"
"Are you sure?","Oletko varma?"
"Are you sure that you want to remove this item?","Oletko varma, että haluat poistaa tämän kohteen?"
"Are you sure you want to cancel adding of this address?","Oletko varma, että haluat peruuttaa tämän osoitteen lisäämisen?"
"Are you sure you want to delete this address?","Oletko varma, että haluat poistaa tämän osoitteen?"
"Assign a Customer Group","Määritä asiakasryhmä"
"Average Sale","Keskimääräinen Myynti"
"Back","Takaisin"
"Bad request.","Virheellinen pyyntö."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Alv-tunnuksen perusteella asiakas kuuluisi asiakasryhmään %s."
"Bill to Name","Laskun nimi"
"Bought From","Ostettu Alkaen"
"By Email","Sähköpostin Mukaan"
"By IP","IP"
"By IP and Email","IP-osoitteen ja sähköpostin mukaan"
"Cache Lifetime (hours)","Välimuistin Kesto (Tuntia)"
"Cancel","Peruuta"
"Cannot save address.","Osoitetta ei voi tallentaa."
"Cannot save a new password.","Uutta salasanaa ei voi tallentaa."
"Cannot save the customer.","Asiakasta ei voi tallentaa."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Ei voida jakaa asiakastilejä maailmanlaajuisesti, koska jotkin asiakastilit samoilla sähköpostiviesteillä ovat useilla sivustoilla eikä niitä voi yhdistää."
"Change Account Data","Vaihda Tilin Tietoja"
"Change Billing Address","Vaihda Laskutusosoite"
"Changed Email or Password Email Template","Muutettu sähköpostin tai salasanan sähköpostimalli"
"Changed Password or Email","Muutettu salasana tai sähköposti"
"Change Password","Vaihda Salasana"
"Change Shipping Address","Vaihda Toimitusosoite"
"City","Kaupunki"
"Close","Sulje"
"Company","Yritys"
"Configure","Määritä"
"Confirmation Link Email","Vahvistuslinkki Sähköposti"
"Confirmed","Vahvistettu"
"Confirm New Password","Vahvista Uusi Salasana"
"Confirm Password","Vahvista Salasana"
"Contact Information","Yhteystiedot"
"Continue","Jatka"
"Continue Shopping","Jatka Ostoksia"
"Controls whether password is required during registration when Magic Link is enabled.","Määrittää, tarvitaanko salasanaa rekisteröinnin aikana, kun Magic Link on käytössä."
"Country","Maa"
"Country is required.","Maa vaaditaan."
"Create","Luo"
"Create an account","Luo tili"
"Create customer","Luo asiakas"
"Create customer address","Luo asiakasosoite"
"Create New Account Options","Luo Uusi Tili Valinnat"
"Create New Customer Account","Luo Uusi Asiakastili"
"Create Order","Luo Tilaus"
"CSV","CSV"
"Current Admin Password","Nykyinen Ylläpitäjän Salasana"
"Current Password","Nykyinen Salasana"
"Customer","Asiakas"
"Customer Account Edit Form","Asiakastilin Muokkauslomake"
"Customer Account Login Form","Asiakastilin Kirjautumislomake"
"Customer Account Logout Success","Asiakastili Uloskirjautuminen Onnistui"
"Customer Account Registration Form","Asiakastilin Rekisteröintilomake"
"Customer accounts cannot be disabled because guest checkout is not allowed. Please enable guest checkout first.","Asiakastilejä ei voi poistaa käytöstä, koska vieraskirjautuminen ei ole sallittua. Ota ensin käyttöön vieraskirjautuminen käyttöön."
"Customer Addresses","Asiakkaan Osoitteet"
"Customer API","Asiakkaan API"
"Customer collection expected.","Asiakkaan keräys odotettiin."
"Customer Configuration","Asiakkaan Asetukset"
"Customer email is required","Asiakkaan sähköpostiosoite vaaditaan"
"Customer Forgot Password Form","Asiakas Unohtunut Salasana Lomake"
"Customer Group","Asiakasryhmä"
"Customer Groups","Asiakasryhmät"
"Customer Information","Asiakkaan Tiedot"
"Customer Login","Asiakkaan Kirjautuminen"
"Customer My Account (All Pages)","Asiakas Oma Tilini (Kaikki Sivut)"
"Customer My Account Address Book","Asiakkaan Omat Osoitekirja"
"Customer My Account Address Edit Form","Asiakastilin Osoitteen Muokkauslomake"
"Customer My Account Dashboard","Asiakkaan Tilini Hallintapaneeli"
"Customers","Asiakkaat"
"Customer Since","Asiakas Alkaen"
"Customers Only","Vain Asiakkaat"
"Customer View","Asiakkaan Näkymä"
"Customer website ID must be specified when using the website scope","Asiakkaan verkkosivuston tunnus on määriteltävä, kun käytetään sivuston laajuutta"
"Customer will stay on the current page if ""No"" is selected.","Asiakas pysyy tällä sivulla jos ""Ei"" on valittu."
"Date","Päivämäärä"
"Date Added","Päivämäärä Lisätty"
"Date of Birth","Syntymäaika ja -päivä"
