"# of Items (and above)","# Kohteita (ja edellä)"
"# of Items vs. Destination","# Kohteita vs. määränpää"
"An error occurred while import table rates.","Tapahtui virhe tuotaessa taulujen hintoja."
"Calculate Handling Fee","Laske Käsittelymaksu"
"Carrier:","Operaattori:"
"City","Kaupunki"
"Close Window","Sulje Ikkuna"
"Condition","Ehto"
"contact us","ota yhteyttä"
"Country","Maa"
"Custom Value","Mukautettu Arvo"
"Date","Päivämäärä"
"Delivered on:","Toimitettu osoitteessa:"
"Delivered to:","Toimitettu osoitteeseen:"
"Description","Kuvaus"
"Displayed Error Message","Näytetty Virheviesti"
"Divide to equal weight (one request)","Jakaa yhtä painoon (yksi pyyntö)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Kaksoisrivi #%s (Maa ""%s"", Alue/Osavaltio ""%s"", Zip ""%s"" ja arvo ""%s"")."
"email us at ","lähetä sähköpostia osoitteeseen "
"Enabled","Käytössä"
"Error:","Virhe:"
"Export","Vie"
"File has not been imported. See the following list of errors: %s","Tiedostoa ei ole tuotu. Katso seuraava virheiden luettelo: %s"
"Fixed","Kiinteä"
"Flat Rate","Kiinteä Hinta"
" for more information or "," lisätietoja varten tai "
"Free Shipping","Ilmainen Toimitus"
"Handling Fee","Käsittelymaksu"
"Import","Tuo"
"Include Virtual Products in Price Calculation","Sisällytä virtuaalituotteet hinnan laskentaan"
"Info:","Tiedot:"
"Invalid %s ""%s"" in the Row #%s.","Virheellinen %s ""%s"" rivillä #%s."
"Invalid Country ""%s"" in the Row #%s.","Virheellinen maa ""%s"" rivillä #%s."
"Invalid Region/State ""%s"" in the Row #%s.","Virheellinen alue/osavaltio ""%s"" rivillä #%s."
"Invalid Shipping Price ""%s"" in the Row #%s.","Virheellinen toimitushinta ""%s"" rivillä #%s."
"Invalid Table Rate code for type %s: %s","Virheellinen taulukon hintakoodi tyypille %s: %s"
"Invalid Table Rate code type: %s","Virheellinen taulukkokoodin tyyppi: %s"
"Invalid Table Rates File Format","Virheellinen Taulun Hintatiedoston Muoto"
"Invalid Table Rates format in the Row #%s","Virheellinen taulukon kantamuoto rivillä #%s"
"Local Time","Paikallinen Aika"
"Location","Sijainti"
"Method Name","Menetelmän Nimi"
"Minimum Order Amount","Tilauksen Minimimäärä"
"N/A","E/A"
"None","Ei Mitään"
"Options","Valinnat"
"Order Subtotal (and above)","Tilauksen välisumma (ja yli)"
"Origin","Alkuperä"
"Percent","Prosenttia"
"Per Order","Per Tilaus"
"Per Package","Pakettia Kohti"
"Price","Hinta"
"Price vs. Destination","Hinta vs. määräpaikka"
"Region/State","Alue/osavaltio"
"Service Type:","Palvelun Tyyppi:"
"Shipment #","Lähetys #"
"Shipment Tracking Popup","Lähetyksen Seurantaponnahdusikkuna"
"Shipped or billed on:","Lähetetty tai laskutettu:"
"Shipping Methods","Toimitustavat"
"Shipping Settings","Toimitus Asetukset"
"Ship to Applicable Countries","Toimitus sovellettaviin maihin"
"Ship to Specific Countries","Lähetys tiettyihin maihin"
"Show Method if Not Applicable","Näytä menetelmä, jos sitä ei sovelleta"
"Signed by:","Allekirjoittaja:"
"Sort Order","Järjestä Järjestys"
"Status:","Tila:"
"Street Address","Katuosoite"
"Street Address Line 2","Katuosoitteen Rivi 2"
"Table Rates","Taulukoiden Hinnat"
"There is no tracking available.","Seurantaa ei ole saatavilla."
"There is no tracking available for this shipment.","Tälle siirrolle ei ole saatavilla seurantaa."
"The shipping module is not available.","Toimitusmoduuli ei ole käytettävissä."
"The shipping module is not available for selected delivery country.","Toimitusmoduuli ei ole käytettävissä valitulle toimitusmaalle."
"This shipping method is currently unavailable.","Tämä toimitustapa ei ole käytettävissä."
"This shipping method is not available, please specify ZIP-code","Tämä toimitustapa ei ole käytettävissä, määritä ZIP-koodi"
"Title","Otsikko"
"Track:","Kappale"
"Tracking Information","Seurantatiedot"
"Tracking information is currently not available. Please ","Seurantatiedot eivät ole tällä hetkellä saatavilla. Ole hyvä "
"Tracking information is currently unavailable.","Seurantatietoja ei ole tällä hetkellä saatavilla."
"Tracking Number:","Seurantanumero:"
"Type","Tyyppi"
"Use origin weight (few requests)","Käytä alkuperäpainoa (muutamia pyyntöjä)"
"Weight (and above)","Paino (ja yli)"
"Weight:","Paino:"
"Weight vs. Destination","Paino vs. määränpää"
"ZIP/Postal Code","Postinumero"
