"All Websites","Kaikki Sivustot"
"Apply Discounts To FPT","Käytä Alennuksia Fpt:ään"
"Display Prices In Emails","Näytä Hinnat Sähköposteissa"
"Display Prices In Product Lists","Näytä Hinnat Tuoteluetteloissa"
"Display Prices In Sales Modules","Näytä Hinnat Myyntimoduuleissa"
"Display Prices On Product View Page","Näytä Hinnat Tuotenäkymän Sivulla"
"Enable FPT","Ota FPT Käyttöön"
"Excluding FPT","Ei FPT"
"Excluding FPT, FPT description, final price","FPT, FPT kuvaus, lopullinen hinta pois lukien"
"Fixed Product Tax","Kiinteä Tuotevero"
"Fixed Product Taxes","Kiinteät Tuoteverot"
"FPT Tax Configuration","Fp:N Veronmääritys"
"Include FPT In Subtotal","Sisällytä FPT Välisumma"
"Including FPT and FPT description","Sisältää FPT:n ja FPT:n kuvauksen"
"Including FPT and FPT description [incl. FPT VAT]","Sisältää FPT:n ja FPT:n kuvauksen [sis. FPT:n alv]"
"Including FPT only","Mukaan lukien vain FPT"
"Loaded and Displayed with Tax","Ladattu ja näytetty verolla"
"Not Taxed","Ei Korjattu"
"Taxed","Korjattu"
"Total","Yhteensä"
"Total Incl. Tax","Verollinen Yhteensä"
"Total incl. tax","Yhteensä sis. vero"
