"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s on lisätty toivelistallesi. Klikkaa <a href=""%2$s"">tästä</a> jatkaaksesi ostoksia."
"%1$s has been updated in your wishlist.","%1$s on päivitetty toivelistallasi."
"%d product(s) have been added to shopping cart: %s.","%d tuotetta on lisätty ostoskoriin: %s."
"%s's Wishlist","%sToivelista"
"%s for ""%s"".","%s ""%s""."
"%s has been moved to wishlist %s","%s on siirretty toivelistalle %s"
"%s has been moved to wishlist %s. Please note that uploaded files will need to be re-uploaded when adding to cart.","%s on siirretty toivelistalle %s. Huomaa, että ladatut tiedostot on ladattava uudelleen lisättäessä ostoskoriin."
"%s was added to your shopping cart.","%s lisättiin ostoskoriisi."
"* Required Fields","* Vaaditut Kentät"
"Add All to Cart","Lisää kaikki ostoskoriin"
"Added From","Lisätty Alkaen"
"Add to Cart","Lisää ostoskoriin"
"Add to Compare","Lisää vertailuun"
"Add to Wishlist","Lisää toivelistalle"
"An error occurred while adding item to wishlist.","An error occurred while adding item to wishlist. (Automatic Copy)"
"An error occurred while adding item to wishlist: %s","An error occurred while adding item to wishlist: %s"
"An error occurred while deleting the item from wishlist.","An error occurred while deleting the item from wishlist. (Automatic Copy)"
"An error occurred while deleting the item from wishlist: %s","An error occurred while deleting the item from wishlist: %s"
"An error occurred while updating wishlist.","Toiveluetteloa päivitettäessä tapahtui virhe."
"Are you sure you want to remove this product from your wishlist?","Oletko varma, että haluat poistaa tämän tuotteen toivelistastasi?"
"Are you sure you would like to remove this item from the wishlist?","Oletko varma, että haluat poistaa tämän kohteen toivelistalta?"
"Back","Takaisin"
"Can't delete item from wishlist","Tuotetta ei voi poistaa toivelistalta"
"Can't save description %s","Kuvausta %s ei voi tallentaa"
"Can't update wishlist","Toiveluetteloa ei voi päivittää"
"Cannot add item to shopping cart","Kohdetta ei voi lisätä ostoskoriin"
"Cannot add the item to shopping cart.","Kohdetta ei voi lisätä ostoskoriin."
"Cannot add the selected product to shopping cart because the product was removed from the wishlist","Valittua tuotetta ei voi lisätä ostoskoriin, koska tuote on poistettu toivelistalta"
"Cannot configure product","Tuotetta ei voi määrittää"
"Cannot load wishlist item","Toiveluettelon kohdetta ei voi ladata"
"Cannot move item to wishlist","Kohdetta ei voi siirtää toiveluetteloon"
"Cannot specify product.","Tuotetta ei voi määrittää."
"Cannot specify wishlist.","Toiveluetteloa ei voi määrittää."
"Cannot specify wishlist item.","Toiveluettelon kohdetta ei voi määrittää."
"Cannot update wishlist","Toiveluetteloa ei voi päivittää"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Valitse tämä valintaruutu, jos haluat lisätä linkin RSS-syötteeseen toivelistallesi. @ info: whatsthis"
"Click for price","Klikkaa saadaksesi hinnan"
"Comment","Kommentti"
"Comment:","Kommentti:"
"Configured Price:","Määritetty Hinta:"
"Configure Wishlist Item","Muokkaa Toivelista Kohdetta"
"Could not find wishlist","Toiveluetteloa ei löytynyt"
"Customer My Account My Wishlist","Asiakas Oma Tilini Toivelistani"
"Customer My Account Wishlist Sharing Form","Asiakas Oma Tilini Toivelista Jakamislomake"
"Customer Shared Wishlist View","Asiakas Jaettu Toivelista Näkymä"
"Date Added","Päivämäärä Lisätty"
"Days in Wishlist","Päivää toivelistalla"
"Display Wishlist Summary","Näytä Toivelista Yhteenveto"
"Edit","Muokkaa"
"Email address can't be empty.","Sähköpostiosoite ei voi olla tyhjä."
"Email Sender","Sähköpostin Lähettäjä"
"Email Template","Sähköpostin Malli"
"Enabled","Käytössä"
"General Options","Yleiset Asetukset"
"Go to Wishlist","Siirry toiveluetteloon"
"Helper for wishlist options rendering doesn't implement required interface.","Helper toiveluettelon valintojen renderöinti ei toteuta vaadittua käyttöliittymää."
"In stock","Varastossa olevat"
"Last Added Items","Viimeksi Lisätyt Kohteet"
"Message","Viesti"
"My Wishlist","Oma Toivelista"
"My Wishlist (%d item)","Toivelista (%d tuote)"
"My Wishlist (%d items)","Toivelista (%d tuotetta)"
"My Wishlist <small>(%d)</small>","Toivelista <small>(%d)</small>"
"My Wishlist Link","Oma Toivelista Linkki"
"Options Details","Valintojen Tiedot"
"Out of stock","Ei varastossa"
"Please, enter your comments...","Ole hyvä ja syötä kommenttisi..."
"Please add product to wishlist again.","Lisää tuote toiveluetteloon uudelleen."
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Syötä voimassa oleva sähköpostiosoite, erotettuna pilkulla. Esimerkiksi johndoe@domain.com, johnsmith@domain.com."
"Please enter no more than 5 email addresses.","Ole hyvä ja anna enintään 5 sähköpostiosoitetta."
"Please input a valid email address.","Ole hyvä ja anna voimassa oleva sähköpostiosoite."
"Price","Hinta"
"Product","Tuote"
"Product(s) %s have required options. Each of them can be added to cart separately only.","Tuotteella %s on vaadittu vaihtoehtoja. Jokainen niistä voidaan lisätä ostoskoriin erikseen."
"Qty","Määrä"
"Remove Item","Poista Kohde"
"Remove item","Poista kohde"
"Remove This Item","Poista Tämä Kohde"
"Requested cart item doesn't exist","Pyydettyä ostoskorituotetta ei ole olemassa"
"Requested wishlist doesn't exist","Pyydettyä toivelistaa ei ole olemassa"
"RSS Feed","RSS-syöte"
"RSS link to %s's wishlist","RSS-linkki %sn toiveluetteloon"
"Share Options","Jaa Asetukset"
"Share Wishlist","Jaa Toivelista"
"Share Your Wishlist","Jaa Toivelistasi"
"Sharing Information","Tietojen Jakaminen"
"SKU","Tuotenro"
"This product(s) is currently out of stock","Tämä tuote (tuotteet) on tällä hetkellä loppu varastosta"
"This Wishlist has no Items","Tällä toivelistalla ei ole tuotteita"
"Unable to add the following product(s) to shopping cart: %s.","Seuraavia tuotteita ei voitu lisätä ostoskoriin: %s."
"Update Wishlist","Päivitä Toivelista"
"Up to 5 email addresses, separated by commas","Enintään 5 sähköpostiosoitetta pilkulla erotettuna"
"User Description","Käyttäjän Kuvaus"
"View Details","Näytä Yksityiskohdat"
"View Product","Näytä Tuote"
"What's this?","Mikä tämä on?"
"Wishlist","Toivelista"
"Wishlist could not be created.","Toivelista ei voitu luoda."
"Wishlist is empty now.","Toivelista on nyt tyhjä."
"Wishlist Sharing","Toivelista Jakaminen"
"You have no items in your wishlist.","Sinulla ei ole kohteita toivelistallasi."
"Your Wishlist has been shared.","Toivelistasi on jaettu."
