"%s was added to your shopping cart.","%s lisättiin ostoskoriisi."
"%s was updated in your shopping cart.","%s päivitettiin ostoskorissasi."
"(Excl. Tax)","(Veroton)"
"(Incl. Tax)","(sis. Verot)"
"* Required Fields","* Vaaditut Kentät"
"Add coupon code for shopping cart","Lisää kuponkikoodi ostoskoriin"
"Add gift messages to shopping cart","Lisää lahjaviestejä ostoskoriin"
"Additional Product Info","Tuotteen Lisätiedot"
"Add New Address","Lisää Uusi Osoite"
"Add New Condition","Lisää Uusi Ehto"
"Add product(s) to shopping cart","Lisää tuotteita ostoskoriin"
"Add product to shopping cart","Lisää tuote ostoskoriin"
"Address","Osoite"
"Add to Cart","Lisää ostoskoriin"
"Add to Compare","Lisää vertailuun"
"Add to Wishlist","Lisää toivelistalle"
"After Adding a Product Redirect to Shopping Cart","Kun olet lisännyt tuotteen uudelleenohjaus ostoskoriin"
"Allow Guest Checkout","Salli Kassalle Vieras"
"An error occurred. Please try again.","Tapahtui virhe. Yritä uudelleen."
"An error occurred in the process of payment","On tapahtunut virhe maksuprosessin aikana"
"An error occurred while deleting this condition.","Tämän ehdon poistamisessa tapahtui virhe."
"An error occurred while placing your order. Please try again.","Tilauksen tessä tapahtui virhe. Ole hyvä ja yritä uudelleen."
"An error occurred while saving this condition.","Tapahtui virhe tallennettaessa tätä ehtoa."
"Apply","Käytä"
"Applying...","Otetaan..."
"Are you sure you would like to remove this item from the shopping cart?","Oletko varma, että haluat poistaa tämän kohteen ostoskorista?"
"Back","Takaisin"
"Billing Address","Laskutusosoite"
"Billing Information","Laskutustiedot"
"Cancel","Peruuta"
"Cannot add item to the shopping cart.","Kohdetta ei voi lisätä ostoskoriin."
"Cannot add the item to shopping cart","Kohdetta ei voi lisätä ostoskoriin"
"Cannot add the item to shopping cart.","Kohdetta ei voi lisätä ostoskoriin."
"Cannot configure product.","Tuotetta ei voi määrittää."
"Cannot process the item.","Kohdetta ei voida käsitellä."
"Can not remove the item.","Kohdetta ei voi poistaa."
"Cannot remove the item.","Kohdetta ei voi poistaa."
"Can not save item.","Kohdetta ei voi tallentaa."
"Cannot update shopping cart.","Ostoskoria ei voi päivittää."
"Cannot update the item.","Kohdetta ei voi päivittää."
"Card Verification Number Visual Reference","Kortin Tarkistusnumero Visuaalinen Viite"
"Cart","Ostoskori"
"Cart Item Counter","Ostoskorin Tavaroiden Laskuri"
"Cart Product API","Ostoskorin Tuotteen API"
"Cart Subtotal:","Ostoskori Välisumma:"
"Change","Muuta"
"Change Billing Address","Vaihda Laskutusosoite"
"Checkbox Text","Valintaruutu Teksti"
"Checkout","Kassa"
"Checkout Conditions","Kassalle Ehdot"
"Checkout Forms Extra","Checkout Lomakkeet Extra"
"Checkout Options","Kassalle Valinnat"
"Checkout Progress Wrapper","Checkout Progress Wrapper"
"Checkout Terms and Conditions","Kassalle Ehdot ja ehdot"
"City","Kaupunki"
"Clear Shopping Cart","Tyhjennä Ostoskori"
"Click <a href=""%s"">here</a> to continue shopping.","Klikkaa <a href=""%s"">tässä</a> jatkaaksesi ostosten tekemistä."
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Klikkaa <a href=""%s"" onclick=""this.target='_blank'"">tästä tulostaaksesi</a> kopion tilausvahvistuksestasi."
"Close","Sulje"
"Company","Yritys"
"Condition Name","Ehto Nimi"
"Configurable Product Image","Muokattava Tuotekuva"
"Configure Cart Item","Määritä Ostoskorin Nimike"
