"Access denied.","Pääsy estetty."
"Anti-scraping throttle on /api/rest/v2/auth/token. Default 20 per minute. 0 to disable.","Anti-scraping kaasu päälle /api/rest/v2/auth/token. Oletus 20 minuutissa. 0 poistaa käytöstä."
"API","API"
"Api Key confirmation must be same as Api Key.","API-avaimen tulee olla sama kuin API-avain."
"Api Key must be at least of %d characters.","API-avaimen on oltava vähintään %d merkkiä."
"Api Key must include both numeric and alphabetic characters.","API-avaimen tulee sisältää sekä numeerisia että aakkosellisia merkkejä."
"A user with the same user name or email already exists.","Käyttäjä, jolla on sama käyttäjänimi tai sähköpostiosoite, on jo olemassa."
"Auth-token endpoint (per IP)","Auth-token päätepiste (IP:tä kohti)"
"Can not find webservice adapter.","Verkkopalvelun adapteria ei löydy."
"Client Session Timeout (sec.)","Asiakkaan Istunnon Aikakatkaisu (Sek.)"
"Customer login","Asiakkaan kirjautuminen"
"Default Response Charset","Vastauskaavio Oletuksena"
"Email","Sähköposti"
"Enable WSDL Cache","Ota WSDL Välimuisti Käyttöön"
"First Name is required field.","Etunimi on pakollinen kenttä."
"General Settings","Yleiset Asetukset"
"Invalid webservice adapter specified.","Virheellinen verkkopalvelun adapteri määritetty."
"Invalid webservice handler specified.","Virheellinen webservice handler määritetty."
"Last Name is required field.","Sukunimi on pakollinen kenttä."
"Maho Core API","Maho Core API"
"Orphaned API Resources","Orvot API-resurssit"
"Per credential. Covers /auth/token (customer + api_user grants) and the GraphQL customerLogin mutation. Default 5 per minute. 0 to disable.","Per käyttäjätunnus. Kattaa /auth/token (customer + api_user grants) ja GraphQL asiakaskirjautumisen mutaatio. Oletus 5 per minuutti. 0 poistaa käytöstä."
"Please enter a valid email.","Syötä voimassa oleva sähköpostiosoite."
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Roolit"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Käyttäjät"
"Unable to login.","Kirjautuminen epäonnistui."
"User Name","Käyttäjän Nimi"
"User Name is required field.","Käyttäjänimi on pakollinen kenttä."
"WS-I Compliance","Ws–I Vaatimustenmukaisuus"
"Your account has been deactivated.","Tilisi on poistettu käytöstä."
