"%1$s incl tax.","%1$s sis. veron."
"* Required Fields","* Vaaditut Kentät"
"-- Select --","-- Valitse --"
"Add New Option","Lisää Uusi Valinta"
"Add Selection","Lisää Valinta"
"and","ja"
"Bundle","Paketti"
"Bundle Items","Yhdistä Kohteet"
"Bundle Product","Paketti Tuote"
"Buy %1$s","Osta %1$s"
"Buy %1$s for","Osta %1$s"
"Buy %1$s for %2$s","Osta %1$s %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Osta %1$s %2$s (%3$s sis. vero) kukin"
"Buy %1$s for %2$s each","Osta %1$s %2$s :lle jokaisesta"
"Buy %1$s with %2$s discount each","Osta %1$s %2$s alennuksella kullakin"
"Catalog Product View (Bundle)","Tuoteluettelon Näkymä (Punainen)"
"Checkbox","Valintaruutu"
"Choose a selection...","Valitse valinta..."
"Click for price","Klikkaa saadaksesi hinnan"
"Close","Sulje"
"Default","Oletus"
"Default Qty","Default Qty"
"Default Title","Default Title"
"Drop-down","Pudotusalas"
"Dynamic","Dynaaminen"
"each","kukin"
"Excl. Tax","Ilman Veroa"
"Excl. Tax:","Veroton Vero:"
"Fixed","Kiinteä"
"From","Alkaen"
"From:","Lähettäjä:"
"Gift Message","Lahjan Viesti"
"Incl. Tax","Sis. Verollinen"
"Incl. Tax:","Sis. Vero:"
"Input Type","Input Type"
"Is Required","On Pakollinen"
"Message:","Viesti:"
"Multiple Select","Useita Valintoja"
"N/A","E/A"
"None","Ei Mitään"
"No options of this product are available.","Tämän tuotteen vaihtoehtoja ei ole saatavilla."
"Percent","Prosenttia"
"Percent Discount","Alennus Prosenttia"
"Please enter a number greater 0 in this field.","Syötä numero, joka on suurempi 0 tähän kenttään."
"Please enter search conditions to view products.","Ole hyvä ja kirjoita hakuehdot nähdäksesi tuotteet."
"Please select options for product.","Valitse tuotteen valinnat."
"Please Select Products to Add","Valitse Lisää tuotteet"
"Please specify product option(s).","Määritä tuotevaihtoehdot tai -vaihtoehdot."
"Position","Sijainti"
"Price as configured","Hinta sellaisena kuin se on määritetty"
"Price Range","Hinnan Vaihteluväli"
"Price Type","Hinta Tyyppi"
"Qty:","Määrä:"
"Radio Buttons","Radion Painikkeet"
"Required options are not selected.","Vaadittuja valintoja ei ole valittu."
"save","tallenna"
"Selected required options are not available.","Valitut vaaditut asetukset eivät ole käytettävissä."
"Separately","Erikseen"
"Ship Bundle Items","Ship Nippu Esineet"
"Shipment","Lähetys"
"SKU","Tuotenro"
"Store View Title","Kaupan Näkymän Otsikko"
"There is no defined renderer for ""%s"" option type.","Määriteltyä renderöijää ei ole kohteelle ""%s"" valintatyypille."
"This product is also part of bundle(s)","Tämä tuote on myös osa nippua"
"To","Vastaanottaja"
"To:","Vastaanottaja:"
"Together","Yhdessä"
"Total incl. Tax: %1$s","Yhteensä sis. veron: %1$s"
"Use Default Value","Käytä Oletusarvoa"
"User Defined Qty","Käyttäjän Määrittämä Määrä"
