"and %s more posts","ja %s lisää viestejä"
"and %s more products, listed in the XML sitemap","ja %s lisää tuotteita, lueteltu XML-sivukartassa"
"Attribute","Ominaisuus"
"Availability","Saatavuus"
"Backorder","Jälkitoimitus"
"Blog","Blogi"
"Brand","Merkki"
"Cache Lifetime (seconds)","Välimuistin Elinikä (Sekuntia)"
"Description","Kuvaus"
"Enabled","Käytössä"
"from %s to %s","levyltä %s kohteeseen %s"
"Image","Kuva"
"Images","Kuvat"
"In stock","Varastossa olevat"
"Limited availability","Rajoitettu saatavuus"
"Markdown for AI agents","tekoälyn agenttien markkinointi"
"Not Found","Ei Löytynyt"
"One route prefix per line, as module/controller/action. Only these pages get a markdown version. A route needs a renderer declared under global/contentnegotiation/renderers in a config.xml.","Yksi reitin etuliite per rivi, moduuli/ohjain/toiminto. Vain näillä sivuilla saat markdown-version. Reitti tarvitsee renderoijan, joka on ilmoitettu config.xml:n globaalisten/sisältöneuvottelujen/renderoijien alla."
"Options","Valinnat"
"Out of stock","Ei varastossa"
"Price","Hinta"
"Product","Tuote"
"Products","Tuotteet"
"Published","Julkaistu"
"regular price %s","säännöllinen hinta %s"
"Routes","Reitit"
"Serves a markdown version of a page when the request sends <code>Accept: text/markdown</code> or when the URL ends with <code>.md</code>. Browsers keep the HTML page. HTML pages announce the markdown version with a <code>Link</code> header.","Palvelee sivun markdown-version, kun pyyntö lähettää <code>Hyväksy: tekstiä / merkintää</code> tai kun URL päättyy <code>. d</code>. Selaimet pitävät HTML-sivun. HTML-sivut ilmoittavat markdown version <code>Link</code> -otsikolla."
"Specifications","Tekniset Tiedot"
"Subcategories","Alakategoriat"
"The markdown is cached with the Blocks HTML output cache. A product, category, page or post save clears its entry. 0 disables the cache.","Merkintä välimuistissa HTML-ulostulon välimuisti. Tuote, luokka, sivu tai viesti tyhjentää sen merkinnän. 0 poistaa välimuistin käytöstä."
"There are no posts yet.","Viestejä ei vielä ole."
"There are no products in this category.","Tässä kategoriassa ei ole tuotteita."
"This page has no markdown version.","Tällä sivulla ei ole markdown-versiota."
"Value","Arvo"
