"Add","Lisää"
"Add gift message for shopping cart","Lisää lahjaviesti ostoskoriin"
"Add gift messages for quote item of shopping cart","Lisää lahjaviestejä ostoskorin lainauskohteelle"
"Add gift messages to products of shopping cart","Lisää lahjaviestejä ostoskorin tuotteisiin"
"Add gift options.","Lisää lahjavaihtoehtoja."
"Add gift options for Individual Items","Lisää yksittäisiä kohteita koskevat lahjavaihtoehdot"
"Add gift options for the Entire Order","Lisää koko tilauksen lahjavaihtoehdot"
"Allow Gift Messages for Order Items","Salli lahjaviestit tilauskohteille"
"Allow Gift Messages on Order Level","Salli lahjaviestit tilaustasolla"
"An error occurred while saving the gift message.","Lahjaviestiä tallennettaessa tapahtui virhe."
"Are you sure?","Oletko varma?"
"Cancel","Peruuta"
"Do you have any gift items in your order?","Onko sinulla mitään lahjaesinettä tilauksessasi?"
"Edit","Muokkaa"
"From","Alkaen"
"Gift Message","Lahjan Viesti"
"Gift Message API","Lahjaviestin API"
"Gift Options","Lahjan Asetukset"
"Gift Options for Individual Items","Lahjan valinnat yksittäisille tuotteille"
"Gift Options for the Entire Order.","Lahjan asetukset koko tilaukselle."
"Item %d of %d","Item %d of %d"
"Message","Viesti"
"No","Ei"
"Save Gift Message","Tallenna Lahjaviesti"
"The gift message has been saved.","Lahjaviesti on tallennettu."
"To","Vastaanottaja"
"Unknown entity type","Tuntematon viitetyyppi"
"Use config","Käytä konfigurointia"
"Yes","Kyllä"
"You can leave this box blank if you do not wish to add a gift message for the item.","Voit jättää tämän kentän tyhjäksi, jos et halua lisätä lahjaviestiä kohteelle."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Voit jättää tämän laatikon tyhjäksi, jos et halua lisätä lahjaviestiä koko tilaukselle."
