"%d product(s) were updated","%d tuotetta päivitettiin"
"%s (Default Template from Locale)","%s (Oletusmalli Locale)"
"%s cache type(s) disabled.","%s välimuistityyppi poistettu käytöstä."
"%s cache type(s) enabled.","%s välimuistityyppi(t) käytössä."
"%s cache type(s) refreshed.","%s välimuistityyppi(t) päivitetty."
"(%s/%s/%s)","(%s/%s/%s)"
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(Jos tyyppi ""Paikallinen palvelin"" on käytettävä suhteellista polkua Magentoon asentaa var/vienti tai var/import, esim. var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(USA:n 2-kirjaimiset nimet)"
"(If left empty will be auto-generated)","(Jos jätetään tyhjäksi, generoidaan automaattisesti)"
"(Leave empty for first spreadsheet)","(Jätä tyhjäksi ensimmäistä laskentataulukkoa varten)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Tuotteet lisätään / päivitetään tähän kauppaan, jos 'kauppa' sarake on tyhjä tai puuttuu tuontitiedostosta.)"
"(Starting with)","(Käynnistetään kanssa)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Kun 'Ei', vain kartoitetut kentät tuodaan. Kun määritys tehdään, käytä saraketta1', 'saraketta2' jne.)"
"(You have to increase php memory_limit before changing this value)","(Sinun täytyy lisätä php memory_limit ennen kuin muutat tätä arvoa)"
"(\\t for tab)","(\\t välilehdellä)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Jos indeksointi on käynnissä, se lopetetaan ja uusi indeksointiprosessi alkaa."
"* Required Fields","* Vaaditut Kentät"
"-- Not Selected --","-- Ei Valittu --"
"-- Please Select --","-- Valitse --"
"-- Please select --","-- Valitse --"
"--Please Select--","--Please Select--"
"-- Please Select a Category --","-- Valitse kategoria --"
"-- Please Select Billing Agreement--","-- Valitse Laskutussopimus--"
"1 Hour","1 Tunti"
"2 Hours","2 Tuntia"
"2FA verification code:","2FA tarkastuskoodi:"
"2FA verification code is invalid.","2FA vahvistuskoodi on virheellinen."
"2YTD","2YTD"
"6 Hours","6 Tuntia"
"12 Hours","12 Tuntia"
"12h AM/PM","12h AM/PM"
"24 Hours","24 Tuntia"
"24h","24h"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 virhe</h1><p>Sivua ei löytynyt.</p>"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> pyytää pääsyä tilillesi"
"Abandoned Carts","Hylätyt Ostoskorit"
"Access Denied","Pääsy Estetty"
"Access denied","Pääsy estetty"
"Access denied.","Pääsy estetty."
"Account Created in:","Tili luotu:"
"Account Created on (%s):","Tili luotu (%s):"
"Account Created on:","Tili luotu:"
"Account Information","Tilin Tiedot"
"Account Status","Tilin Tila"
"Account status","Tilin tila"
"Action","Toiminto"
"Actions","Toiminnot"
"Actions XML","Toiminnot XML"
"Active","Aktiivinen"
"Add","Lisää"
"Add after","Lisää jälkeen"
"Add Exception","Lisää Poikkeus"
"Add Field Mapping","Lisää Kenttäkartoitus"
"Add Field with URL:","Lisää kenttä URL-osoitteella:"
"Additional Cache Management","Muu Välimuistin Hallinta"
"Add New","Lisää Uusi"
"Add New Block","Lisää Uusi Lohko"
"Add New Image","Lisää Uusi Kuva"
"Add New Profile","Lisää Uusi Profiili"
"Add New Role","Lisää Uusi Rooli"
"Add New Template","Lisää Uusi Malli"
"Add New URL Rewrite","Lisää Uusi Url-Uudelleenohjaus"
"Add New User","Lisää Uusi Käyttäjä"
"Add New Variable","Lisää Uusi Muuttuja"
"Add new variable","Lisää uusi muuttuja"
"Add Products","Lisää Tuotteita"
"Address Type:","Osoitteen Tyyppi:"
"Add URL Rewrite","Lisää URL-uudelleenohjaus"
"Add URL Rewrite for a Category","Lisää URL-uudelleenohjaus kategoriaan"
