"# of Use","# käyttö"
"%1$s incl tax.","%1$s sis. veron."
"%s-%s of %s","%s-%s %s"
"%s and above","%s ja yli"
"%s Item(s)","%s Kohde(t)"
"(%d)","(%d)"
"(Copy data from: %s)","(Kopian tiedot lähteestä: %s)"
"* Required Fields","* Vaaditut Kentät"
"-- Please Select --","-- Valitse --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 oletuksena, jos sitä ei ole asetettu. Päivitä välittömästi, Tyhjennä lohkot HTML Output Cache."
"<strong style=""color:red"">Deprecated.</strong> Flat Catalog will be removed in a future version. Modern databases no longer require this optimization.","<strong style=""color:red"">Deprecated.</strong> Flat Catalog poistetaan tulevassa versiossa. Modernit tietokannat eivät enää vaadi tätä optimointia."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Varoitus!</strong> Valitsemalla MAP oletusarvoisesti piilottaa kaikki tuotteiden hinnat etualalla."
"Action","Toiminto"
"Active Filters","Aktiiviset Suodattimet"
"Actual Price","Todellinen Hinta"
"Add","Lisää"
"Add Attribute","Lisää Ominaisuus"
"Add attribute into attribute set","Lisää attribuutti attribuutille"
"Add Design Change","Lisää Ulkoasun Muutos"
"Add Group","Lisää Ryhmä"
"Add group into attribute set","Lisää ryhmä attribuuttijoukkoon"
"Add Group Price","Lisää Ryhmän Hinta"
"Additional Information","Lisätietoja 34"
"Additional Views","Lisää Näkymiä"
"Add New","Lisää Uusi"
"Add New Attribute","Lisää Uusi Attribuutti"
"Add New Attribute Set","Lisää Uusi Attribuuttijoukko"
"Add new custom option into product","Lisää uusi mukautettu vaihtoehto tuotteeseen"
"Add New Group","Lisää Uusi Ryhmä"
"Add New Images","Lisää Uusia Kuvia"
"Add New Option","Lisää Uusi Valinta"
"Add New Row","Lisää Uusi Rivi"
"Add New Search Term","Lisää Uusi Hakutermi"
"Add New Set","Lisää Uusi Sarja"
"Add new values into custom option","Lisää uusia arvoja mukautettuun vaihtoehtoon"
"Add NOINDEX,FOLLOW to Filtered Layered Navigation Pages","Lisää NOINDEX,SEURAA suodatettuihin navigointisivuihin"
"Add NOINDEX,FOLLOW to Paginated Category Pages","Lisää NOINDEX,SEURAA sivuille"
"Add option","Lisää vaihtoehto"
"Add Product","Lisää Tuote"
"Add Product To Websites","Lisää Tuote Sivustoille"
"Add rel=""nofollow"" to Layered Navigation Filter Links","Lisää rel=""nofollow"" Layered Navigation Filter Linkkeihin"
"Add Root Category","Lisää Juurikategoria"
"Add Subcategory","Lisää Alakategoria"
"Add Tax","Lisää Vero"
"Add Tier","Lisää Taso"
"Add to Cart","Lisää ostoskoriin"
"Add to Compare","Lisää vertailuun"
"Add to Wishlist","Lisää toivelistalle"
"Alert Urls","Hälytys URL-osoitteet"
"All","Kaikki"
"ALL GROUPS","KAIKKI RYHMÄT"
"Allow All Products per Page","Salli kaikki tuotteet per sivu"
"Allow Dynamic Media URLs in Products and Categories","Salli Dynaamisten medioiden URL:t tuotteissa ja kategorioissa"
"Allowed File Extensions","Sallitut Tiedostopäätteet"
"Allowed file extensions to upload","Sallitut tiedostopäätteet ladattavaksi"
"Allow HTML Tags on Frontend","Salli HTML-tunnisteet julkisivustolla"
"All products","Kaikki tuotteet"
"All products - recently added products, New products - products marked as new","Kaikki tuotteet - äskettäin lisätyt tuotteet, Uudet tuotteet - uusiksi merkityt tuotteet"
"All Product Types","Kaikki Tuotetyypit"
"All Websites","Kaikki Sivustot"
"Amount","Määrä"
"Anchor Custom Text","Ankkuri Mukautettu Teksti"
"Anchor Custom Title","Ankkuri Mukautettu Otsikko"
"and","ja"
"and above","ja yli"
"An error occurred while adding products to websites.","Tuotteita lisättäessä sivustoille tapahtui virhe."
"An error occurred while clearing comparison list.","Vertailulistan tyhjennyksessä tapahtui virhe."
