"-- No Role --","-- Ei Roolia --"
"Access Token Lifetime","Pääsymerkin Käyttöikä"
"Account Information","Tilin Tiedot"
"Active","Aktiivinen"
"Add New Role","Lisää Uusi Rooli"
"Add New User","Lisää Uusi Käyttäjä"
"Admin GraphQL at /api/admin/graphql (requires admin auth)","Admin GraphQL at /api/admin/graphql (vaatii admin auth)"
"All","Kaikki"
"All API protocols are <strong>disabled by default</strong>. Enable only the ones you actually use, anything off returns 404 at the entry point.","Kaikki API-protokollat ovat oletuksena <strong>pois päältä</strong>. Ota käyttöön vain ne, joita todella käytät, kaikki palautukset 404 lähtöpisteessä."
"API","API"
"API Cache","API Cache"
"API Key","Api Avain"
"API Protocols","API Protocols"
"API Role","Api Rooli"
"API user has been deleted.","API käyttäjä on poistettu."
"API user has been saved.","API käyttäjä on tallennettu."
"API User Information","Api Käyttäjätiedot"
"API user not found.","API käyttäjää ei löytynyt."
"API v2 Roles","API v2 Roles"
"API v2 Users","API v2 -käyttäjät"
"Assign Role","Määritä Rooli"
"Authenticated via customer login (email + password). Each customer can only access their own data.","Autentikoitu asiakkaan sisäänkirjautumisen kautta (sähköposti + salasana). Jokainen asiakas voi käyttää vain omia tietojaan."
"Cache TTL (seconds)","Välimuisti TTL (sekuntia)"
"Check to generate new client_id and client_secret. The old credentials will stop working.","Valitse ja luo uusi client_id ja client_secret. Vanhat tiedot lakkaavat toimimasta."
"Client Credentials","Asiakkaan Käyttöoikeustiedot"
"Client ID","Asiakkaan Tunnus"
"Client ID: %s","Asiakkaan ID: %s"
"Client Secret","Asiakkaan Salainen"
"Client Secret: %s","Asiakkaan Salaisuus: %s"
"Comma-separated list of allowed origins. Defaults to store base URL if empty.","Pilkulla erotettu luettelo sallituista alkuperäistä. Oletuksena on tallentaa perusURL-osoite tyhjä."
"Contact Form","Yhteystietolomake"
"CORS Allowed Origins","Okras Sallittu Alkuperä"
"Created","Luotu"
"Custom","Mukautettu"
"Customer Session Operations","Asiakkaan Istunnon Toiminnot"
"Delete API User","Poista API Käyttäjä"
"Delete Role","Poista Rooli"
"Edit API User","Muokkaa API Käyttäjää"
"Edit API User '%s'","Muokkaa API-käyttäjää%s'"
"Edit Role","Muokkaa Roolia"
"Edit Role '%s'","Muokkaa Roolia '%s'"
"Email","Sähköposti"
"First Name","Etunimi"
"General Settings","Yleiset Asetukset"
"GraphQL, admin","GraphQL, ylläpitäjä"
"GraphQL, public","GraphQL, julkinen"
"Hidden (stored hashed). Regenerate if needed.","Piilotettu (tallennettu hashed). Luo tarvittaessa uudelleen."
"How long API responses are cached. Default: 300 (5 minutes). Set to 0 to disable caching.","Kuinka kauan API-vastaukset välimuistiin. Oletus: 300 (5 minuuttia). Aseta 0 poistaaksesi välimuistin käytöstä."
"ID","ID"
"Inactive","Passiivinen"
"In seconds (default: 3600 = 1 hour)","Sekunteina (oletus: 3600 = 1 tunti)"
"In seconds (default: 86400 = 24 hours)","Sekunteina (oletus: 86400 = 24 tuntia)"
"JWT signing secret. Auto-generated (random) and stored encrypted on first use if left empty.","JWT allekirjoittaa salaisuuden. Automaattisesti luotu (satunnainen) ja tallennettu salattu ensimmäiseen käyttöön, jos jätät tyhjäksi."
"Last Name","Sukunimi"
"Leave blank to keep the current key.","Jätä tyhjäksi pitääksesi nykyisen avaimen."
"Leave empty to allow access to all stores.","Jätä tyhjäksi salliaksesi pääsyn kaikkiin kauppoihin."
"Legacy JSON-RPC","Legacy JSON-RPC"
"Legacy REST (Magento 1)","Vanha REST (Magento 1)"
"Legacy SOAP v1","Vanha SOAP v1"
"Legacy SOAP v2","Vanha SOAP v2"
"Legacy XML-RPC","Legacy XML-RPC"
"Modern REST API at /api/rest/v2/*","Moderni REST API /api/rest/v2/*"
"New API Key","Uusi API-avain"
"New API User","Uusi API-käyttäjä"
"New Role","Uusi Rooli"
"No permissions needed, these are read-only public endpoints.","Lupia ei tarvita, nämä ovat vain lukuisia julkisia päätetapahtumia."
"OAuth2 Client Credentials","OAuth2-Asiakkaan Käyttöoikeustiedot"
"OAuth2 client_id and client_secret will be generated when you save this user.","OAuth2 client_id ja client_secret luodaan kun tallennat tämän käyttäjän."
"OAuth2 Settings","OAuth2 Asetukset"
"Original Magento 1 JSON-RPC at /api/jsonrpc","Alkuperäinen Magento 1 JSON-RPC /api/jsonrpc"
"Original Magento 1 REST API at /api/rest/*","Alkuperäinen Magento 1 REST API /api/rest/*"
"Original Magento 1 SOAP at /api/soap","Alkuperäinen Magento 1 SOAP /api/saippua"
"Original Magento 1 SOAP v2 at /api/v2_soap","Alkuperäinen Magento 1 SOAP v2 at /api/v2_soap"
"Original Magento 1 XML-RPC at /api/xmlrpc","Alkuperäinen Magento 1 XML-RPC /api/xmlrpc"
"Permissions","Käyttöoikeudet"
"Public Storefront Access","Julkinen Kaupan Etusivun Käyttö"
"Refresh Token Lifetime","Päivitä Tokenin Elinikä"
"Regenerate Credentials","Luo Käyttäjätunnukset Uudelleen"
"Resource Access","Resurssien Käyttöoikeus"
"REST/GraphQL - Roles","REST/GraphQL - Roolit"
"REST/GraphQL - Users","REST/GraphQL - Käyttäjät"
"Restrict to Stores","Rajoita kauppoihin"
"REST v2 (new)","REST v2 (uusi)"
"Role","Rooli"
"Role has been deleted.","Rooli on poistettu."
"Role has been saved.","Rooli on tallennettu."
"Role Info","Roolin Tiedot"
"Role Information","Roolin Tiedot"
"Role Name","Roolin Nimi"
"Role name is required.","Roolin nimi on pakollinen."
"Save and Continue Edit","Tallenna ja jatka muokkaamista"
"Save API User","Tallenna API Käyttäjä"
"Save Role","Tallenna Rooli"
"Save these credentials now. The secret cannot be retrieved later.","Tallenna nämä tiedot nyt. Salaisuutta ei voida hakea myöhemmin."
"Service Account Permissions","Palvelutilin Oikeudet"
"Status","Tila"
"Storefront/customer-facing GraphQL at /api/graphql","Myymälä/asiakaskohtainen grafiikka /api/graphql"
"Symfony App Secret","Symfonia Sovelluksen Salainen"
"System","Järjestelmä"
"These operations use customer JWT tokens obtained when a customer logs in. They are scoped to the logged-in customer's own data and cannot be granted to service accounts.","Nämä toiminnot käyttävät asiakkaan JWT kuponkia saadaan, kun asiakas kirjautuu sisään. Niitä sovelletaan kirjatun asiakkaan omiin tietoihin, eikä niitä voida myöntää palvelutileille."
"These permissions control what API users (service accounts) can do. Grant only the operations each integration needs.","Nämä käyttöoikeudet ohjaavat mitä API-käyttäjät (palvelutilit) voivat tehdä. Myönnä vain kunkin integraation tarpeet."
"These resources are publicly readable without authentication. Any visitor or app can access this data via GET requests.","Nämä resurssit ovat julkisesti luettavissa ilman todentamista. Kaikki vierailijat tai sovellukset voivat käyttää näitä tietoja GET-pyyntöjen kautta."
"This API user no longer exists.","Tätä API-käyttäjää ei enää ole."
"This role no longer exists.","Tätä roolia ei enää ole."
"User Info","Käyttäjän Tiedot"
"Username","Käyttäjätunnus"
"User Role","Käyttäjän Rooli"
