"* Required Fields","* Vaaditut Kentät"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> pyytää pääsyä tilillesi"
"Admin","Ylläpitäjä"
"After authorization application will have access to you account.","Lupahakemuksen jälkeen sinulla on pääsy tilillesi."
"An error occurred.","Tapahtui virhe."
"An error occurred. Your authorization request is invalid.","Tapahtui virhe. Valtuutuspyyntösi on virheellinen."
"An error occurred on confirm authorize.","Vahvistuksen yhteydessä tapahtui virhe."
"An error occurred on delete action.","Tapahtui virhe poistaessa toimintoa."
"An error occurred on reject authorize.","Hylkää valtuutus tapahtui virhe."
"An error occurred on saving consumer data.","Kuluttajien tietojen tallentamisessa tapahtui virhe."
"An error occurred on update revoke status.","Päivityksen peruutuksen tilalle tapahtui virhe."
"An error occurred while deleting the consumer.","Kuluttajaa poistettaessa tapahtui virhe."
"Application Name","Sovelluksen Nimi"
"Authorization confirmed","Valtuutus vahvistettu"
"Authorization confirmed.","Valtuutus vahvistettu."
"Authorize","Valtuuta"
"Authorize application","Hyväksy sovellus"
"Authorized Tokens","Valtuutetut Tokenit"
"Callback URL","Callback URL"
"Cleanup Probability","Todennäköisyys Siivous"
"Cleanup Settings","Siivousasetukset"
"Close","Sulje"
"Confirmation Of Authorization","Varmistus Valtuutuksesta"
"Confirm token authorization for admin","Vahvista järjestelmänvalvojan valtuutus"
"Confirm token authorization Pop Up for admin","Vahvista valtuutus Pop Up järjestelmänvalvojalle"
"Consumer Information","Kuluttajan Tiedot"
"Consumer Name","Kuluttajan Nimi"
"Consumers","Kuluttajat"
"Created At","Luotu Klo"
"Current Admin Password","Nykyinen Ylläpitäjän Salasana"
"Customer","Asiakas"
"Delete","Poista"
"deleted","poistettu"
"Disable","Poista Käytöstä"
"Disabled","Pois Käytöstä"
"Edit","Muokkaa"
"Edit Consumer","Muokkaa Kuluttajaa"
"Email","Sähköposti"
"Email Address","Sähköposti Osoite"
"Enable","Aktivoi"
"Enabled","Käytössä"
"enabled","käytössä"
"Entry with ID #%s not found.","Merkintää ID:llä #%s ei löytynyt."
"Expiration Period","Vanhentumisaika"
"Give the verifier code to application administrator","Anna todentajan koodi sovelluksen järjestelmänvalvojalle"
"ID","ID"
"Invalid ID parameter.","Virheellinen ID-parametri."
"Key","Avain"
"Log In","Kirjaudu Sisään"
"Login","Kirjaudu"
"Log in as admin","Kirjaudu sisään ylläpitäjänä"
"Log in to use <strong>%s</strong>","Kirjaudu sisään käyttääksesi <strong>%s</strong>"
"My Applications","Omat Sovellukset"
"Name","Nimi"
"New Consumer","Uusi Kuluttaja"
"OAuth","OAuth"
"OAuth Admin My Apps","OAuth Hallinnoi Sovelluksiani"
"OAuth authorization for admin","OAuth valtuutus ylläpito"
"OAuth authorization simple for admin","OAuth valtuutus yksinkertainen järjestelmänvalvojalle"
"OAuth Authorized Tokens","Oauth Valtuutetut Tokenit"
"OAuth Consumers","Oauth Kuluttajat"
"Password","Salasana"
"Permissions","Käyttöoikeudet"
"Please login to proceed authorization.","Ole hyvä ja kirjaudu jatkaaksesi valtuutusta."
"Please select needed row(s).","Valitse tarvittavat rivit."
"Please select revoke status.","Valitse peruutuksen tila."
"Reject","Hylkää"
"Rejected Callback URL","Hylätty Takaisinsoiton URL"
"Rejection Of Authorization","Lupakirjan Hylkääminen"
"Reject token authorization for admin","Hylkää tunnisteen valtuutus järjestelmänvalvojalle"
"Reject token authorization Pop Up for admin","Hylkää tunnisteen valtuutus Pop Up järjestelmänvalvojalle"
"REST - My Apps","REST - Sovellukseni"
"REST - OAuth Authorized Tokens","REST - OAuth Valtuutetut Tokenit"
"REST - OAuth Consumers","REST - OAuth Consumers"
"Revoked","Revoked"
"revoked","revoked"
"Role Name","Roolin Nimi"
"Save","Tallenna"
"Save and Continue Edit","Tallenna ja jatka muokkaamista"
"Secret","Salainen"
"Selected entries enabled.","Valitut merkinnät otettu käyttöön."
"Selected entries has been deleted.","Valitut merkinnät on poistettu."
"Selected entries revoked.","Valitut merkinnät kumottu."
"Status","Tila"
"System","Järjestelmä"
"The application access request is rejected.","Pyynnön esittämistä koskeva pyyntö hylätään."
"The consumer has been deleted.","Kuluttaja on poistettu."
"The consumer has been saved.","Kuluttaja on pelastettu."
"Token Status Change","Tokenin Tilan Muutos"
"Token Status Change Email Template","Tokenin Tilan Muuton Sähköpostimalli"
"Unable to find a consumer.","Kuluttajaa ei löydy."
"User ID","Käyttäjän Tunnus"
"User Name","Käyttäjän Nimi"
"User Type","Käyttäjän Tyyppi"
"Verifier code: %s","Todennuskoodi: %s"
