"Add","Lisää"
"Add links and samples to downloadable product","Lisää linkkejä ja näytteitä ladattavaan tuotteeseen"
"Add New Row","Lisää Uusi Rivi"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Tiedostonimille suositellaan aakkosnumeerisia, viivan ja alaviivan merkkejä. Epäasianmukaiset merkit korvataan sanoilla '_'."
"An error occurred while getting the requested content.","Pyydettyä sisältöä haettaessa tapahtui virhe."
"An error occurred while getting the requested content. Please contact the store owner.","Pyydettyä sisältöä haettaessa tapahtui virhe. Ota yhteyttä kaupan omistajaan."
"An error occurred while saving the file(s).","Tapahtui virhe tallennettaessa tiedostoa (tiedostoja)."
"attachment","liite"
"Availability:","Saatavuus:"
"Back","Takaisin"
"Canceled","Peruttu"
"Cannot connect to remote host, error: %s.","Etäpalvelimeen ei saada yhteyttä, virhe: %s."
"Catalog Product View (Downloadable)","Tuoteluettelon Näkymä (ladattavissa)"
"Category API","Kategoria API"
"Customer My Account Downloadable Items","Asiakas Tilini Ladattavat Kohteet"
"Date","Päivämäärä"
"Default Link Title","Default Link Title"
"Default Maximum Number of Downloads","Oletuksena maksimimäärä latauksia"
"Default Sample Title","Oletus Mallin Otsikko"
"Delete","Poista"
"Disable Guest Checkout if Cart Contains Downloadable Items","Poista vieraskirjautuminen käytöstä, jos ostoskori sisältää ladattavia tuotteita"
"Disable Sample","Poista Näyte Käytöstä"
"download","lataa"
"Downloadable Information","Ladattavat Tiedot"
"Downloadable Product","Ladattava Tuote"
"Downloadable Product Options","Ladattavat Tuotteen Asetukset"
"Edit","Muokkaa"
"Edit item parameters","Muokkaa kohteen parametreja"
"Excl. Tax","Ilman Veroa"
"File","Tiedosto"
"File:","Tiedosto:"
"From:","Lähettäjä:"
"Gift Message","Lahjan Viesti"
"Go to <a href=""%s"">My Downloadable Products</a>","Mene <a href=""%s"">Omat ladattavat tuotteet</a>"
"Guest checkout will only work with shareable.","Vieraiden kassalla on vain jaettavissa."
"Incl. Tax","Sis. Verollinen"
"inline","sisäkkäinen"
"In stock","Varastossa olevat"
"Invalid download link type.","Virheellinen latauslinkin tyyppi."
"Invalid download URL host.","Virheellinen latausURL-osoite"
"Invalid download URL scheme.","Virheellinen latausURL-kaavio."
"Invalid file path.","Virheellinen tiedostopolku."
"Invoiced","Laskutettu"
"Links can be purchased separately","Linkkejä voi ostaa erikseen"
"List","Lista"
"Max. Downloads","Max. Lataukset"
"Message:","Viesti:"
"Move","Siirrä"
"Move to wishlist","Siirrä toiveluetteloon"
"My Downloadable Products","Omat Ladattavat Tuotteet"
"Open Links in New Window","Avaa linkit uudessa ikkunassa"
"Order #","Tilaus #"
"Ordered","Tilattu"
"Order id cannot be null","Tilauksen tunnus ei voi olla tyhjä"
"Order item id cannot be null","Tilaustuotteen tunnus ei voi olla null"
"Order Item Status to Enable Downloads","Tilauksen nimikkeen tila ottaa käyttöön latauksia"
"Out of stock","Ei varastossa"
"Pending","Odottaa"
"Please log in to download your product.","Ole hyvä ja kirjaudu sisään ladataksesi tuotteesi."
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Kirjaudu sisään ladataksesi tuotteen tai ostaaksesi <a href=""%s"">%s</a>."
"Please set resource file and link type.","Aseta resurssitiedosto ja linkin tyyppi."
"Please specify product link(s).","Määritä tuotelinkki tai -linkit."
"Price","Hinta"
"Product downloadable links","Tuotteen ladattavat linkit"
"Qty","Määrä"
"Refunded","Hyvitetty"
"Remaining Downloads","Jäljellä Olevat Lataukset"
"Remove","Poista"
"Remove Item","Poista Kohde"
"Remove links and samples from downloadable product","Poista linkit ja näytteet ladattavasta tuotteesta"
"Requested link does not exist.","Pyydettyä linkkiä ei ole olemassa."
"Retrieve links and samples list from downloadable product","Nouda linkkejä ja näytelistaa ladattavasta tuotteesta"
"Sample","Näyte"
"sample","näyte"
"See price before order confirmation.","Katso hinta ennen tilausvahvistusta."
"Shareable","Jaettava"
"Shipped","Lähetetty"
"SKU","Tuotenro"
"Sorry, there was an error getting requested content. Please contact the store owner.","Valitettavasti pyydettyä sisältöä haettaessa tapahtui virhe. Ota yhteyttä kaupan omistajaan."
"Sort Order","Järjestä Järjestys"
"Start Download","Aloita Lataus"
"Status","Tila"
"Subtotal","Välisumma"
"The file does not exist.","Tiedostoa ei ole olemassa."
"The link has expired.","Linkki on vanhentunut."
"The link is not available.","Linkki ei ole käytettävissä."
"There are files that were selected but not uploaded yet. Please upload or remove them first","On olemassa tiedostoja, jotka on valittu, mutta joita ei ole ladattu vielä. Lataa tai poista ne ensin"
"Title","Otsikko"
"To:","Vastaanottaja:"
"U","U"
"Unlimited","Rajoittamaton"
"Update","Päivitä"
"URL:","URL:"
"Use Content-Disposition","Käytä Sisältöä"
"Use Default Value","Käytä Oletusarvoa"
"View Order","Näytä Tilaus"
"What's this?","Mikä tämä on?"
"You have not purchased any downloadable products yet.","Et ole vielä ostanut ladattavia tuotteita."
