"Action","Toiminto"
"Allow New Accounts via Social Sign-In","Salli uudet tilit sosiaalisen sisäänkirjautumisen kautta"
"Apple Service ID","Apple Service ID"
"Connected Accounts","Yhdistetyt Tilit"
"Connected On","Yhdistetty Päälle"
"Continue with Apple","Jatka Applen kanssa"
"Continue with Facebook","Jatka Facebookilla"
"Create an app in the Meta developer portal, enable Facebook Login for the Web, and add your store domain to the allowed domains.","Luo sovellus Meta kehittäjäportaaliin, ota käyttöön Facebook Login for the Web ja lisää kauppasi verkkotunnus sallituille verkkotunnuksille."
"Create a Service ID in the Apple Developer portal. Register your store domain and add https://yourstore.com/customer/social/login as a return URL.","Luo palvelutunnus Apple Developer -portaaliin. Rekisteröi kauppasi verkkotunnus ja lisää https://yourstore.com/customer/social/login palautusosoitteeksi."
"Creating new accounts with social sign-in is not allowed. Please register first.","Uusien tilien luominen sosiaalisella kirjautumisella ei ole sallittua. Ole hyvä ja rekisteröi ensin."
"Customer Connected Accounts","Asiakkaan Yhdistetyt Tilit"
"Customers sign in with the Google Identity Services button. Create an OAuth client ID in the Google Cloud Console and add your store origin to the authorized JavaScript origins.","Asiakkaat kirjautuvat sisään Google Identity Services -painikkeella. Luo Google Cloud Consoleen OAuth asiakastunnus ja lisää kauppasi alkuperä valtuutetulle JavaScript alkuperälle."
"Email","Sähköposti"
"Enable Facebook Login","Ota Käyttöön Facebook-kirjautuminen"
"Enable Google One Tap","Ota Google One -napautus Käyttöön"
"Enable Google Sign-In","Ota Käyttöön Google-sisäänkirjautuminen"
"Enable Sign in with Apple","Ota kirjautuminen käyttöön Applella"
"Facebook App ID","Facebook App ID"
"Facebook App Secret","Facebook-Sovelluksen Salainen"
"Failed Attempts Allowed per IP per Hour","Epäonnistuneet yritykset sallittu per IP per tunti"
"Google Client ID","Google Client ID"
"How long an issued sign-in nonce stays valid. Values below 60 seconds are raised to 60.","Kuinka kauan annettu kirjautuminen nonce pysyy voimassa. Alle 60 sekunnin arvot nostetaan 60."
"How many failed social sign-in attempts one IP address can make per hour. Set 0 to disable the limit.","Kuinka monta epäonnistunutta sosiaalisen kirjautumisen yritystä yksi IP-osoite voi tehdä tunnissa. Aseta 0 poistaaksesi rajoituksen käytöstä."
"Invalid authentication token.","Virheellinen todennus."
"Invalid form key. Please refresh the page and try again.","Virheellinen lomakkeen avain. Päivitä sivu ja yritä uudelleen."
"Linked Sign-In Providers","Linkitetyt Sisäänkirjautumisen Tarjoajat"
"or","tai"
"Please complete the required fields of your profile.","Ole hyvä ja täytä profiilisi vaaditut kentät."
"Provider","Tarjoaja"
"Provider Email","Tarjoajan Sähköposti"
"Shows the One Tap prompt to returning Google users on the login and register pages.","Näyttää One Napauta -kehotuksen palauttaa Googlen käyttäjät kirjautumis- ja rekisterisivuille."
"Sign-in failed. Please try again later.","Kirjautuminen epäonnistui. Yritä myöhemmin uudelleen."
"Sign-In Nonce Lifetime (Seconds)","Sisäänkirjautuminen Nonce -elinikä (Sekuntia)"
"Sign-in verification is temporarily unavailable. Please try again later.","Kirjautumisvahvistus ei ole tilapäisesti käytettävissä. Yritä myöhemmin uudelleen."
"Social Login","Sosiaalinen Kirjautuminen"
"The linked customer account no longer exists.","Asiakkaan linkitettyä tiliä ei enää ole."
"The sign-in provider could not be unlinked.","Sisäänkirjautumisen tarjoajaa ei voitu irrottaa."
"The sign-in provider has been unlinked.","Sisäänkirjautumisen tarjoaja on ollut yhteydettömänä."
"This account is not active.","Tämä tili ei ole aktiivinen."
"This customer has no linked sign-in providers.","Tällä asiakkaalla ei ole linkitettyjä kirjautumispalveluntarjoajia."
"This sign-in method is not available.","Tämä sisäänkirjautumismenetelmä ei ole käytettävissä."
"Too many attempts. Please try again later.","Liian monta yritystä. Yritä myöhemmin uudelleen."
"Unknown sign-in provider.","Tuntematon sisäänkirjautumisen tarjoaja."
"Unlink","Irrota"
"When disabled, only customers with an existing account can sign in with a social provider.","Kun poistettu käytöstä, vain asiakkaat, joilla on olemassa oleva tili, voivat kirjautua sisään sosiaalisen palveluntarjoajan kanssa."
"You can sign in with these connected providers.","Voit kirjautua sisään näiden yhdistettyjen palveluntarjoajien kanssa."
"You have no connected sign-in providers.","Sinulla ei ole yhdistettyjä sisäänkirjautumispalveluntarjoajia."
"Your account has been created.","Tilisi on luotu."
"Your sign-in attempt has expired. Please try again.","Sisäänkirjautumisyrityksesi on vanhentunut. Yritä uudelleen."
