"Additional Product Attributes","Tuotteen Lisäominaisuudet"
"API Endpoint URL","API Endpoint URL"
"Authentication Type","Todennuksen Tyyppi"
"Auth Token","Auth Token"
"Bearer Token","Haltijan Tunnus"
"Custom Header","Mukautettu Otsikko"
"Custom Header Name","Mukautettu Otsikon Nimi"
"Debug Mode","Vianetsintä Tila"
"Displayed Error Message","Näytetty Virheviesti"
"Enabled","Käytössä"
"None","Ei Mitään"
"Request Timeout (seconds)","Pyyntö Aikakatkaisu (sekuntia)"
"Select product attributes to include in the API request payload.","Valitse tuotteen attribuutit, jotka sisällytetään API pyyntö payload."
"Shipping Bridge","Toimitustavan Silta"
"Ship to Applicable Countries","Toimitus sovellettaviin maihin"
"Ship to Specific Countries","Lähetys tiettyihin maihin"
"Sort Order","Järjestä Järjestys"
"Title","Otsikko"
