"%s items queued for embedding.","%s kohdetta jonossa upotettavaksi."
"Action","Toiminto"
"AI","AI"
"AI: could not refresh models for %s. See exception.log.","AI: ei voinut päivittää malleja %s. Katso exception.log."
"AI: refreshed %d models for %s.","AI: päivitetyt %d mallia %s."
"AI Configuration","AI Asetukset"
"AI Task #%s","AI Task #%s"
"AI Task History","AI Task History"
"AI Usage","AI Käyttö"
"already queued","jo jonossa"
"Async Queue","Async Jono"
"Auto-embed Categories","Automaattisesti Upotetut Kategoriat"
"Auto-embed Products","Automaattisesti Upotettavat Tuotteet"
"Back","Takaisin"
"Background","Tausta"
"Blocked Input Patterns","Estetyt Syöttömallit"
"Calls","Puhelut"
"Cancelled","Peruutettu"
"Categories (%s active)","Kategoriat (%s aktiivinen)"
"Complete","Complete"
"Completed","Valmis"
"Completion","Valmistuminen"
"Consumer","Kuluttaja"
"Context","Konteksti"
"Current Configuration","Nykyinen Asetukset"
"Default AI Provider","Default AI Provider"
"Default Placeholder Height","Paikkamerkin Oletuskorkeus"
"Default Placeholder Width","Paikkamerkin Oletusleveys"
"Disabled","Pois Käytöstä"
"e.g. http://localhost:11434","e.g. http://localhost:11434"
"e.g. openai/gpt-4o, anthropic/claude-sonnet-4-6, google/gemini-2.0-flash","esim. openai/gpt-4o, antrooppinen/claude-sonnet-4-6, google/gemini-2.0-flash"
"Embedding","Embedding"
"Embeddings","Upotukset"
"Embeddings are disabled. Enable them under System &gt; AI &gt; Embed Settings before queuing.","Upotukset on poistettu käytöstä. Ota ne käyttöön järjestelmän &gt; AI &gt; Upota asetukset ennen jonottamista."
"Embed Provider","Upota Tarjoaja"
"Embed Status","Upota Tila"
"Enable Async Queue","Ota Async Jono Käyttöön"
"Enabled","Käytössä"
"Enable Embeddings","Ota Käyttöön Upotukset"
"Enable Image Generation","Ota Kuvien Luonti Käyttöön"
"Error","Virhe"
"Error: ","Virhe: "
"Estimated completion: ~%d hours %d minutes.","Arvioitu valmistuminen: ~%d tuntia %d minuuttia."
"Estimated completion: ~%d minutes.","Arvioitu valmistuminen: ~%d minuuttia."
"Failed","Epäonnistui"
"Failed to fetch models. See exception.log for details.","Mallien noutaminen epäonnistui. Katso lisätietoja exception.logista."
"Fetching...","Haetaan..."
"Flag responses containing email addresses, phone numbers, or SSNs.","Lippuvastaukset, jotka sisältävät sähköpostiosoitteita, puhelinnumeroita tai SSN-numeroita."
"Google Embed Model","Google Embed Malli"
"ID","ID"
"Image","Kuva"
"Image Generation","Kuvan Luonti"
"Image Provider","Kuvan Tarjoaja"
"Input Tokens","Input Tokens"
"Interactive","Interaktiivinen"
"In Tokens","Vuonna Tokens"
"Log Requests","Loki Pyynnöt"
"Max seconds a task can run before being marked as failed.","Tehtävä voi suorittaa enintään sekuntia ennen kuin se on merkitty epäonnistuneeksi."
"Max Tasks Per Cron Run","Tehtävien Enimmäismäärä Cron Suoritusta Kohti"
"Messages","Viestit"
"Mistral Embed Model","Mistral Upota Malli"
"Model","Malli"
"Must be installed locally via `ollama pull`.","On asennettava paikallisesti `ollama pull`:n kautta."
"No items were queued. Make sure products/categories have text content.","Yhtään kohdetta ei ollut jonossa. Varmista, että tuotteilla/kategorioilla on tekstisisältöä."
"Ollama Embed Model","Ollama Upota Malli"
"One regex per line. Matching inputs will be rejected.","Yksi regex per rivi. Vastaavat tulot hylätään."
