"-- Please Select --","-- Por favor seleccione --"
"Account Created In Store","Cuenta creada en la tienda"
"Action","Accin"
"Active","Activo"
"Added to Cart Date","Añadido a la fecha del carrito"
"Added to Wishlist Date","Añadido a la fecha de la lista de deseos"
"Add Email Step","Añadir Email Paso"
"Add New Segment","Añadir nuevo segmento"
"Address","Dirección"
"Address Information","Información de dirección"
"Add Segment","Añadir segmento"
"Allow Overlapping Sequences","Permitir Secuencias Oververlapping"
"Allow starting new sequences while existing ones are still active for the same customer","Permitir iniciar nuevas secuencias mientras las existentes siguen activas para el mismo cliente"
"Applied Promotion Rules","Reglas de promoción aplicadas"
"Are you sure?","¿Estás seguro?"
"Are you sure you want to delete this sequence step?","¿Está seguro que desea eliminar este paso de secuencia?"
"Are you sure you want to refresh this segment?","¿Estás seguro de que quieres actualizar este segmento?"
"Assign to Website","Asignar al sitio web"
"At least one email sequence is required when automation is enabled.","Se requiere al menos una secuencia de correo electrónico cuando la automatización está habilitada."
"Automatic","Automático"
"Automatic: Refreshed daily via cron. Manual: Must be refreshed manually.","Automático: Actualizado diariamente a través de cron. Manual: Debe actualizarse manualmente."
"Average Days Between Orders","Promedio de días entre pedidos"
"Average Order Value","Valor promedio del pedido"
"Back to Segment","Volver al segmento"
"Base Row Total","Fila básica total"
"Base Sales Rule","Regla Base de Ventas"
"Bundle Product","Producto del paquete"
"Cart","Carrito"
"Cart Created Date","Fecha de creación del carrito"
"Cart Items","Artículos de carrito"
"Cart Status","Estado del carrito"
"Cart Updated Date","Fecha de actualización"
"Change status","Cambiar estado"
"Completed","Completado"
"Conditions (leave blank for all customers)","Condiciones (dejar en blanco para todos los clientes)"
"Configurable Product","Producto configurable"
"Coupon expiration days","Días de vencimiento del cupón"
"Coupon expiration days cannot be negative.","Los días de vencimiento del cupón no pueden ser negativos."
"Coupon Generation Settings","Configuración de generación de cupones"
"Coupon Prefix","Prefijo de cupón"
"Customer","Cliente"
"Customer ID is required.","ID de cliente es requerido."
"Customer Lifetime Value","Valor de por vida del cliente"
"Customer Personal Information","Información personal del cliente"
"Customer Segment","Segmento de cliente"
"Customer Since","Cliente desde"
"Customers in Segment","Clientes en el segmento"
"Customer Time-based","Basado en la hora del cliente"
"days","días"
"Days Inactive (No Login or Order)","Días inactivos (Sin Inicio de Sesión u Orden)"
"Days Since Added to Wishlist","Días Desde que se añadió a la lista de deseos"
"Days Since First Order","Días Desde el primer pedido"
"Days Since Last Login","Días desde el último inicio de sesión"
"Days Since Last Order","Días desde el último pedido"
"Days Since Last View","Días desde la última vista"
"Days Since Registration","Días desde el registro"
"Days Until Birthday","Días hasta el cumpleaños"
"Days Without Purchase","Días sin Compra"
"Delay","Retraso"
"Delay (Minutes)","Retraso (minutos)"
"Delay before sending","Retraso antes de enviar"
"Delay minutes cannot be negative.","Los minutos de retraso no pueden ser negativos."
"Delete","Eliminar"
"Delete Email Sequences","Eliminar secuencias de correo"
"Delete Segment","Eliminar segmento"
"Delete Segments","Eliminar segmentos"
"Delete Step","Eliminar paso"
"Disabled","Deshabilitado"
"Downloadable Product","Producto descargable"
"E-mails on Enter","Correos en Enter"
"E-mails on Exit","Correos al salir"
"Edit","Editar"
"Edit Email Sequence Step %d for ""%s""","Editar paso de secuencia de correo electrónico %d para ""%s"""
"Edit Segment","Editar segmento"
"Edit Segment '%s'","Editar segmento '%s'"
"Edit Sequence","Editar secuencia"
"Email Automation","Email Automation"
"Email Automation Settings","Ajustes de automatización de email"
"Email Sequences","Secuencias de Email"
"Email Template","Plantilla de email"
"Enable/disable this sequence step","Activar/desactivar este paso de secuencia"
"Enable Email Automation","Activar Automatización de Email"
"Enter Segment","Introducir segmento"
"Error","Error"
"Exit Segment","Salir del segmento"
"Expires After (Days)","Expira después de (Días)"
"Failed","Fallo"
"General Properties","Propiedades generales"
"Generate a unique coupon code for each customer","Generar un código de cupón único para cada cliente"
"Generate Coupon","Generar cupón"
"Generate unique coupon","Generar cupón único"
"Grouped Product","Producto agrupado"
"hours","horas"
"If %s %s %s","Si %s %s %s"
"Immediate","Inmediato"
"Invalid newsletter template selected.","Plantilla de boletín de noticias no válida."
"Invalid request.","Solicitud no válida."
"Invalid sales rule selected for coupon generation.","Regla de venta no válida seleccionada para la generación de cupón."
"Invalid segment.","Segmento no válido."
"Invalid status.","Estado inválido."
"Invalid trigger type.","Tipo de disparador inválido."
"Is Active","Está activo"
"Items Count","Número de artículos"
"Items Quantity","Cantidad de artículos"
"Last Refreshed","Última actualización"
"Last Updated Date","Fecha de última actualización"
"Last Viewed Date","Fecha de última vista"
"Last Viewed Date","Fecha de última vista"
"Leave empty to apply to all customer groups","Dejar vacío para aplicar a todos los grupos de clientes"
"Lifetime Profit (Sales - Refunds)","Beneficio de por vida (ventas - reembolsos)"
"Lifetime Refunds Amount","Importe reembolsado de por vida"
"Lifetime Sales Amount","Cantidad de ventas vitalicias"
"Manage Email Sequences","Administrar secuencias de email"
"Manage Segments","Administrar segmentos"
"Manual","Manual"
"Master switch to enable/disable all email automation for this segment","Cambio maestro para activar/desactivar toda la automatización de correo para este segmento"
"minutes","minutos"
"Minutes to wait before sending (0 = immediate, 60 = 1 hour, 1440 = 1 day)","Minutos a esperar antes de enviar (0 = inmediato, 60 = 1 hora, 1440 = 1 día)"
"Mode","Modo"
"New Email Sequence Step for ""%s""","Nuevo paso de secuencia de correo electrónico para ""%s"""
"New Segment","Nuevo segmento"
"New Sequence","Nueva secuencia"
"Newsletter","Boletín"
"Newsletter Subscription","Suscripción al boletín de noticias"
"Newsletter Template","Plantilla Newsletter"
"Newsletter template to use for this step","Plantilla del boletín de noticias a utilizar para este paso"
"None","Ninguna"
"Not Active","No activo"
"Number of days until coupon expires (default: 30)","Número de días hasta que el cupón expira (por defecto: 30)"
"Number of Orders","Número de pedidos"
"Order","Pedido"
"Order History","Historial de pedidos"
"Order in the email sequence (1, 2, 3...)","Pedido en la secuencia de correo electrónico (1, 2, 3...)"
"Pending","Pendiente"
"Personal Information","Información Personal"
"Please save the segment first.","Por favor, guarde primero el segmento."
"Please select...","Por favor, seleccione..."
