"and %s more posts","y %s publicaciones más"
"and %s more products, listed in the XML sitemap","y %s productos más, listados en el mapa del sitio XML"
"Attribute","Atributo"
"Availability","Disponibilidad"
"Backorder","Retroceso"
"Blog","Blog"
"Brand","Marca"
"Cache Lifetime (seconds)","Tiempo de vida del caché (segundos)"
"Description","Descripción"
"Enabled","Activado"
"from %s to %s","de %s a %s"
"Image","Imagen"
"Images","Imágenes"
"In stock","En stock"
"Limited availability","Disponibilidad limitada"
"Markdown for AI agents","Markdown para los agentes IA"
"Not Found","No encontrado"
"One route prefix per line, as module/controller/action. Only these pages get a markdown version. A route needs a renderer declared under global/contentnegotiation/renderers in a config.xml.","Un prefijo de ruta por línea, como módulo/controlador/acción. Sólo estas páginas obtienen una versión de markdown. Una ruta necesita un renderer declarado bajo global/contentnegotiation/renderers en un config.xml."
"Options","Opciones"
"Out of stock","Sin stock"
"Price","Precio"
"Product","Producto"
"Products","Productos"
"Published","Publicado"
"regular price %s","precio regular %s"
"Routes","Rutas"
"Serves a markdown version of a page when the request sends <code>Accept: text/markdown</code> or when the URL ends with <code>.md</code>. Browsers keep the HTML page. HTML pages announce the markdown version with a <code>Link</code> header.","Se establece una versión de markdown de una página cuando la solicitud envía <code>Aceptar: texto/markdown</code> o cuando la URL termina con <code>. d</code>. Los navegadores mantienen la página HTML. Las páginas HTML anuncian la versión markdown con un encabezado <code>Link</code>."
"Specifications","Especificaciones"
"Subcategories","Subcategorías"
"The markdown is cached with the Blocks HTML output cache. A product, category, page or post save clears its entry. 0 disables the cache.","El markdown se almacena en caché con la caché de salida HTML de bloques. Un producto, categoría, página o publicación guardada borra su entrada. 0 deshabilita la caché."
"There are no posts yet.","Todavía no hay mensajes."
"There are no products in this category.","No hay productos en esta categoría."
"This page has no markdown version.","Esta página no tiene versión de markdown."
"Value","Valor"
