"# of Items (and above)","Número de elementos (o más)"
"# of Items vs. Destination","Número de elementos vs. destino"
"Allow Shipping to Multiple Addresses","Permitir envío a varias direcciones"
"An error occurred while import table rates.","An error occurred while import table rates."
"Calculate Handling Fee","Calcular los gastos de envío"
"Carrier:","Transportista:"
"City","Ciudad"
"Close Window","Cerrar ventana"
"Condition","Condición"
"contact us","ponte en contacto con nosotros"
"Country","País"
"Custom Value","Valor personalizado"
"Date","Fecha"
"Delivered on:","Entregado el:"
"Delivered to:","Entregado a:"
"Description","Descripción"
"Displayed Error Message","Mensaje de error mostrado"
"Divide to equal weight (one request)","Dividir al mismo peso (una petición)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")."
"email us at ","escríbenos a "
"Enabled","Habilitado"
"Error:","Error:"
"Export","Exportar"
"File has not been imported. See the following list of errors: %s","File has not been imported. See the following list of errors: %s"
"Fixed","Fijo"
"Flat Rate","Tarifa plana"
" for more information or "," para más información o "
"Free Shipping","Transporte gratuito"
"Handling Fee","Gastos de tramitación"
"Import","Importar"
"Include Virtual Products in Price Calculation","Incluir productos virtuales en el cálculo de precios"
"Info:","Información:"
"Invalid %s ""%s"" in the Row #%s.","Invalid %s ""%s"" in the Row #%s."
"Invalid Country ""%s"" in the Row #%s.","Invalid Country ""%s"" in the Row #%s."
"Invalid Region/State ""%s"" in the Row #%s.","Invalid Region/State ""%s"" in the Row #%s."
"Invalid Shipping Price ""%s"" in the Row #%s.","Invalid Shipping Price ""%s"" in the Row #%s."
"Invalid Table Rate code for type %s: %s","Invalid Table Rate code for type %s: %s"
"Invalid Table Rate code type: %s","Invalid Table Rate code type: %s"
"Invalid Table Rates File Format","Invalid Table Rates File Format"
"Invalid Table Rates format in the Row #%s","Invalid Table Rates format in the Row #%s"
"Local Time","Hora local"
"Location","Ubicación"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Cantidad máxima permitida para el envío a varias direcciones"
"Method Name","Nombre del método"
"Minimum Order Amount","Pedido mínimo"
"N/A","N/D"
"None","Ninguno"
"Options","Opciones"
"Order Subtotal (and above)","Subtotal del pedido (y anteriores)"
"Origin","Origen"
"Percent","Porcentaje"
"Per Order","Por pedido"
"Per Package","Por paquete"
"Price","Precio"
"Price vs. Destination","Precio vs. destino"
"Region/State","Región/Provincia"
"Service Type:","Tipo de servicio:"
"Shipment #","Envío n.º "
"Shipment Tracking Popup","Shipment Tracking Popup"
"Shipped or billed on:","Enviado o facturado el:"
"Shipping Methods","Métodos de envío"
"Shipping Settings","Ajustes de envío"
"Ship to Applicable Countries","Envío a países aplicables"
"Ship to Specific Countries","Envío a países específicos"
"Show Method if Not Applicable","Mostrar el método de envío, incluso si no se aplica"
"Signed by:","Firmado por:"
"Sort Order","Orden de aparición"
"Status:","Estado:"
"Store Pickup","Se recoge en tienda"
"Street Address","Dirección"
"Street Address Line 2","Dirección postal, segunda línea"
"Table Rates","Tarifa basada en tablas"
"There is no tracking available.","No hay seguimiento disponible."
"There is no tracking available for this shipment.","No se dispone de seguimiento para este envío."
"The shipping module is not available.","El módulo de envío no está disponible."
"The shipping module is not available for selected delivery country.","The shipping module is not available for selected delivery country."
"This shipping method is currently unavailable.","This shipping method is currently unavailable."
"This shipping method is not available, please specify ZIP-code","This shipping method is not available, please specify ZIP-code"
"Title","Título"
"Track:","Seguimiento:"
"Tracking Information","Información de seguimiento"
"Tracking information is currently not available. Please ","La información de seguimiento actualmente no está disponible. Por favor "
"Tracking information is currently unavailable.","Tracking information is currently unavailable."
"Tracking Number:","Número de seguimiento:"
"Type","Tipo"
"Use origin weight (few requests)","Utilizar peso original (pocas peticiones)"
"Weight (and above)","Peso (y más)"
"Weight:","Peso:"
"Weight vs. Destination","Peso vs. destino"
"ZIP/Postal Code","Código Postal"
