"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s ha sido añadido a tu lista de deseos. Haz clic <a href=""%2$s"">aquí</a> para continuar comprando."
"%1$s has been updated in your wishlist.","%1$s ha sido actualizado en su lista de deseos."
"%d product(s) have been added to shopping cart: %s.","Se han añadido %d producto(s) al carrito de compras: %s."
"%s's Wishlist","Lista de deseos de %s"
"%s for ""%s"".","%s para ""%s""."
"%s has been moved to wishlist %s","%s se ha movido a la lista de deseos %s"
"%s has been moved to wishlist %s. Please note that uploaded files will need to be re-uploaded when adding to cart.","%s se ha movido a la lista de deseos %s. Tenga en cuenta que los archivos subidos tendrán que volver a ser subidos al carrito."
"%s was added to your shopping cart.","%s fue añadido a su carrito de compras."
"* Required Fields","* Campos requeridos"
"Add All to Cart","Añadir todo al carrito"
"Added From","Añadido de"
"Add to Cart","Añadir al carrito"
"Add to Compare","Añadir a Comparar"
"Add to Wishlist","Añadir a lista de deseos"
"An error occurred while adding item to wishlist.","Ocurrió un error mientras se añadía el elemento a la lista de deseos."
"An error occurred while adding item to wishlist: %s","Se ha producido un error al agregar elemento a la lista de deseos: %s"
"An error occurred while deleting the item from wishlist.","Se ha producido un error al eliminar el elemento de la lista de deseos."
"An error occurred while deleting the item from wishlist: %s","Se ha producido un error al eliminar el elemento de la lista de deseos: %s"
"An error occurred while updating wishlist.","Se ha producido un error al actualizar la lista de deseos."
"Are you sure you want to remove this product from your wishlist?","¿Está seguro que desea eliminar este producto de su lista de deseos?"
"Are you sure you would like to remove this item from the wishlist?","¿Estás seguro de que quieres eliminar este elemento de la lista de deseos?"
"Back","Atrás"
"Can't delete item from wishlist","No se puede eliminar el elemento de la lista de deseos"
"Can't save description %s","No se puede guardar la descripción %s"
"Can't update wishlist","No se puede actualizar la lista de deseos"
"Cannot add item to shopping cart","No se puede agregar artículo al carrito de compras"
"Cannot add the item to shopping cart.","No se puede añadir el artículo al carrito de la compra."
"Cannot add the selected product to shopping cart because the product was removed from the wishlist","No se puede añadir el producto seleccionado al carrito de compras porque el producto fue eliminado de la lista de deseos"
"Cannot configure product","No se puede configurar el producto"
"Cannot load wishlist item","No se puede cargar el elemento de la lista de deseos"
"Cannot move item to wishlist","No se puede mover el artículo a la lista de deseos"
"Cannot specify product.","No se puede especificar el producto."
"Cannot specify wishlist.","No se puede especificar la lista de deseos."
"Cannot specify wishlist item.","No se puede especificar el elemento de la lista de deseos."
"Cannot update wishlist","No se puede actualizar la lista de deseos"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Marque esta casilla si desea añadir un enlace a un feed rss a su lista de deseos."
"Click for price","Clic para precio"
"Comment","Comentario"
"Comment:","Comentario:"
"Configured Price:","Precio configurado:"
"Configure Wishlist Item","Configurar elemento de lista de deseos"
"Could not find wishlist","No se pudo encontrar la lista de deseos"
"Customer My Account My Wishlist","Cliente Mi cuenta Mis favoritos"
"Customer My Account Wishlist Sharing Form","Cliente Mi cuenta Formulario de Compartir lista de deseos"
"Customer Shared Wishlist View","Vista de lista de deseos compartida del cliente"
"Date Added","Fecha añadida"
"Days in Wishlist","Días en lista de deseos"
"Display Wishlist Summary","Mostrar Resumen de lista de deseos"
"Edit","Editar"
"Email address can't be empty.","La dirección de correo electrónico no puede estar vacía."
"Email Sender","Remitente de Email"
"Email Template","Plantilla de email"
"Enabled","Activado"
"General Options","Opciones generales"
"Go to Wishlist","Ir a lista de deseos"
"Helper for wishlist options rendering doesn't implement required interface.","El ayudante para el renderizado de opciones de lista de deseos no implementa la interfaz requerida."
"In stock","En stock"
"Last Added Items","Últimos elementos añadidos"
"Message","Mensaje"
"My Wishlist","Mi lista de deseos"
"My Wishlist (%d item)","Mi lista de deseos (%d elemento)"
"My Wishlist (%d items)","Mi lista de deseos (%d elementos)"
"My Wishlist <small>(%d)</small>","Mi lista de deseos <small>(%d)</small>"
"My Wishlist Link","Mi enlace de favoritos"
"Options Details","Detalles de opciones"
"Out of stock","Sin stock"
"Please, enter your comments...","Por favor, introduzca sus comentarios..."
"Please add product to wishlist again.","Por favor, añade de nuevo el producto a la lista de deseos."
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Por favor, introduzca una dirección de correo electrónico válida, separada por comas. Por ejemplo johndoe@domain.com, johnsmith@domain.com."
"Please enter no more than 5 email addresses.","Por favor, no introduzca más de 5 direcciones de correo electrónico."
"Please input a valid email address.","Por favor, introduzca una dirección de correo electrónico válida."
"Price","Precio"
"Product","Producto"
"Product(s) %s have required options. Each of them can be added to cart separately only.","Producto(s) %s tienen opciones requeridas. Cada una de ellas puede ser añadida al carrito por separado."
"Qty","Cantidad"
"Remove Item","Eliminar elemento"
"Remove item","Eliminar elemento"
"Remove This Item","Eliminar este elemento"
"Requested cart item doesn't exist","El artículo solicitado no existe"
"Requested wishlist doesn't exist","La lista de deseos solicitada no existe"
"RSS Feed","Feed RSS"
"RSS link to %s's wishlist","Enlace RSS a la lista de deseos de %s"
"Share Options","Compartir opciones"
"Share Wishlist","Compartir lista de deseos"
"Share Your Wishlist","Comparte tu lista de deseos"
"Sharing Information","Compartir información"
"SKU","SKU"
"This product(s) is currently out of stock","Este producto(s) está actualmente agotado"
"This Wishlist has no Items","Esta lista de deseos no tiene artículos"
"Unable to add the following product(s) to shopping cart: %s.","No se pueden añadir los siguientes productos al carrito de compras: %s."
"Update Wishlist","Actualizar lista de deseos"
"Up to 5 email addresses, separated by commas","Hasta 5 direcciones de correo electrónico, separadas por comas"
"User Description","Descripción del usuario"
"View Details","Ver detalles"
"View Product","Ver artículo"
"What's this?","¿Qué es esto?"
"Wishlist","Lista de deseos"
"Wishlist could not be created.","No se pudo crear la lista de deseos."
"Wishlist is empty now.","Lista de deseos está vacía."
"Wishlist Sharing","Compartir lista de deseos"
"You have no items in your wishlist.","No tiene artículos en su lista de deseos."
"Your Wishlist has been shared.","Tu lista de deseos ha sido compartida."
