"Action","Accin"
"Add New Template","Añadir nueva plantilla"
"Add to Queue","Añadir a la cola"
"Allow Guest Subscription","Permitir suscripción al invitado"
"An error occurred while saving your subscription.","Se ha producido un error al guardar su suscripción."
"Back","Atrás"
"Be the first to know about new arrivals, special offers, and insider news.","Sé el primero en enterarte de las nuevas llegadas, ofertas especiales y noticias con información privilegiada."
"Cancel","Cancelar"
"Cancelled","Cancelado"
"Cannot delete this template. It is currently used by %d email automation sequence(s). Please reassign or delete those sequences first.","No se puede eliminar esta plantilla. Actualmente está siendo utilizada por la secuencia de automatización de correo electrónico %d . Por favor, primero reasigna o elimina esas secuencias."
"Cannot mark as received subscriber.","No se puede marcar como suscriptor recibido."
"Confirmation Email Sender","Remitente de email de confirmación"
"Confirmation Email Template","Plantilla de email de confirmación"
"Confirmation request has been sent.","La solicitud de confirmación ha sido enviada."
"Convert to Plain Text","Convertir a texto plano"
"Coupon Code","Código de cupón"
"Coupon Expiration Date (Formatted)","Fecha de vencimiento del cupón (formateado)"
"Coupon Expiration Date (Raw)","Fecha de vencimiento del cupón (raíz)"
"Coupon Rule Description","Descripción de la regla de cupón"
"Create Newsletter Template","Crear plantilla Newsletter"
"Customer","Cliente"
"Customer Email","Email del cliente"
"Customer First Name","Nombre del cliente"
"Customer Last Name","Apellido del cliente"
"Customer Middle Name","Nombre central del cliente"
"Customer My Account Newsletter Subscriptions","Cliente Mi cuenta suscripciones al boletín de noticias"
"Customer Name","Nombre del cliente"
"Customer Name (Object)","Nombre del cliente (objeto)"
"Customer Segments","Segmentos del cliente"
"Customer Variables","Variables del cliente"
"Date Added","Fecha añadida"
"Date Updated","Fecha Actualizada"
"Default Template","Plantilla por defecto"
"Delete","Eliminar"
"Delete Selected Problems","Eliminar los problemas seleccionados"
"Delete Template","Eliminar Plantilla"
"Do you really want to cancel the queue?","¿Realmente quieres cancelar la cola?"
"Duplicate template code.","Duplicate template code."
"Edit Newsletter","Editar boletín"
"Edit Newsletter Template","Editar plantilla Newsletter"
"Edit Queue","Editar cola"
"Edit Template","Editar plantilla"
"Email","E-mail"
"Email Automation Variables","Variables de automatización de email"
"Error Code","Código de error"
"Error Text","Texto de error"
"Follow this link to unsubscribe:","Siga este enlace para darse de baja:"
"Guest","Invitado"
"ID","ID"
"Insert Variable...","Insertar variable..."
"Invalid queue selected.","Cola seleccionada no válida."
"Invalid sender email address","Dirección de correo inválida del remitente"
"Invalid subscription confirmation code.","Código de confirmación de suscripción inválido."
"Invalid subscription ID.","ID de suscripción no válido."
"Message","Mensaje"
"Need to Confirm","Necesita confirmar"
"New Newsletter Template","Nueva plantilla Newsletter"
"Newsletter","Boletín"
"Newsletter Message Preview","Vista previa del mensaje del boletín"
"Newsletter Problem Reports","Informes de problemas del boletín de noticias"
"Newsletter Queue","Cola de boletín"
"Newsletter Styles","Estilos de boletín"
"Newsletter subscribe","Suscribirse al boletín"
"Newsletter Subscribers","Suscriptores del boletín de noticias"
"Newsletter Subscription","Suscripción al boletín de noticias"
"Newsletter subscription confirmation","Confirmación de suscripción al boletín de noticias"
"Newsletter Subscription Form","Formulario de suscripción al boletín de noticias"
"Newsletter Subscription Form Before","Formulario de suscripción al boletín antes"
"Newsletter subscription success","Suscripción al boletín de noticias exitosa"
"Newsletter Templates","Plantillas del boletín de noticias"
"Newsletter unsubscribe","Darse de baja del boletín"
