"Action","Accin"
"Active","Activo"
"Add New Rule","Añadir nueva regla"
"Apply rule to source products matching the following conditions (leave blank for all products)","Aplicar regla a los productos fuente que coincidan con las siguientes condiciones (dejar en blanco para todos los productos)"
"Are you sure?","¿Estás seguro?"
"Catalog","Catálogo"
"Change status","Cambiar estado"
"Conditions","Condiciones"
"Conditions Combination","Combinación de condiciones"
"Cron expression for rule processing. Default: <strong>0 3 * * *</strong> (daily at 3am).","Expresión Cron para el procesamiento de reglas. Predeterminada: <strong>0 3 * * *</strong> (diario a las 3am)."
"Cron Schedule","Programación Cron"
"Cross-sell Products","Productos vendidos"
"Delete","Eliminar"
"Delete Rule","Eliminar regla"
"Description","Descripción"
"Disabled","Deshabilitado"
"does not match source","no coincide con el origen"
"Edit","Editar"
"Edit Rule '%s'","Editar regla '%s'"
"Enabled","Activado"
"From Date","Desde fecha"
"ID","ID"
"Inactive","Inactivo"
"Link to target products matching the following conditions (leave blank for all products)","Enlace a los productos objetivo que coincidan con las siguientes condiciones (dejar en blanco para todos los productos)"
"Link Type","Link Type"
"Lower number = higher priority","Número más bajo = mayor prioridad"
"matches source","coincide con el origen"
"Maximum Links","Enlaces máximos"
"Maximum number of linked products per source product (leave empty for unlimited)","Número máximo de productos vinculados por producto fuente (dejar vacío para ilimitado)"
"Name: A-Z","Nombre: A-Z"
"Name: Z-A","Nombre: Z-A"
"Newest First","Más nuevo primero"
"New Rule","Nueva regla"
"Oldest First","Más antiguo primero"
"Please select rule(s).","Por favor, seleccione regla(s)."
"Price: High to Low","Precio: de mayor a menor"
"Price: Low to High","Precio: Bajo a alto"
"Priority","Prioridad"
"Product Attribute","Atributo del producto"
"Product Link Rules","Reglas de enlace de producto"
"Product Relationship Rules","Reglas de relación de producto"
"Random (Default)","Aleatorio (por defecto)"
"Related Products","Productos relacionados"
"Rule Information","Información de la regla"
"Rule Name","Nombre de regla"
"Save and Continue Edit","Guardar y continuar editando"
"Save Rule","Guardar regla"
"Sort Order","Ordenar"
"Source Product Conditions","Condiciones del producto fuente"
"Source products matching %s of these conditions are %s:","Los productos fuente que coinciden con %s de estas condiciones son %s:"
"Status","Estado"
"Target Conditions","Condiciones de destino"
"Target product attribute will be compared to source product","El atributo de producto objetivo se comparará con el producto fuente"
"Target Product Conditions","Condiciones del producto objetivo"
"Target products matching %s of these conditions are %s:","Los productos de destino que coinciden con %s de estas condiciones son %s:"
"The rule has been deleted.","La regla ha sido eliminada."
"The rule has been saved.","La regla ha sido guardada."
"This rule no longer exists.","Esta regla ya no existe."
"To Date","Hasta la fecha"
"Total of %d record(s) were deleted.","Se eliminaron un total de %d registro(s)."
"Total of %d record(s) were updated.","Se actualizaron un total de %d registro(s)."
"Up-sell Products","Productos de alta venta"
