"* Required Fields","* Campos requeridos"
"-- Please Select --","-- Por favor seleccione --"
"0 = never expires. Can be overridden per product.","0 = nunca caduca. Se puede anular por producto."
"Action","Accin"
"Active","Activo"
"Add a message...","Añadir un mensaje..."
"Add New Gift Card","Añadir nueva tarjeta de regalo"
"Admin Comment","Comentario de Admin"
"A gift card cannot be moved to websites with a different base currency.","Un vale de regalo no se puede mover a sitios web con una moneda base diferente."
"A gift card can only be assigned to websites that share the same base currency.","Un vale de regalo sólo se puede asignar a sitios web que comparten la misma moneda base."
"A gift card must be associated with at least one website.","Un vale de regalo debe estar asociado con al menos un sitio web."
"Allow Gift Message","Permitir mensaje de regalo"
"Allow Message","Permitir mensaje"
"All Websites","Todos los sitios web"
"Amount","Cantidad"
"Amount Range","Rango de Cantidad"
"An error occurred. Please try again.","Ocurrió un error. Por favor, inténtelo de nuevo."
"Applied Gift Cards:","Tarjetas de regalo aplicadas:"
"Apply","Aplicar"
"Apply Gift Card","Aplicar tarjeta de regalo"
"Applying...","Aplicando..."
"Balance","Saldo"
"Balance: %s","Saldo: %s"
"Balance After","Saldo después de"
"Balance Before","Saldo antes"
"Balance for %s","Saldo para %s"
"Can be overridden per product.","Se puede anular por producto."
"Cannot apply gift card.","No se puede aplicar tarjeta de regalo."
"Cannot remove gift card.","No se puede quitar la tarjeta de regalo."
"Card Type","Tipo de tarjeta"
"Check","Comprobar"
"Check Balance","Comprobar saldo"
"Check Gift Card Balance","Comprobar saldo de tarjeta de regalo"
"Checking...","Comprobando..."
"Code","Código"
"Code Length","Longitud del código"
"Code Prefix (e.g., GC)","Prefijo de Código (ej., GC)"
"Comma-separated values (e.g., 25,50,100)","Valores separados por comas (por ej., 25,50,100)"
"Created","Creado"
"Created %d gift card product(s): %s","Creado %d producto(s): %s"
"Created At","Creado el"
"Create Gift Card Products","Crear artículos de tarjeta de regalo"
"Current Balance","Saldo actual"
"Current balance:","Saldo actual:"
"Custom Amount","Cantidad personalizada"
"Customer Gift Card Balance","Saldo de la tarjeta de regalo del cliente"
"Date","Fecha"
"Default: %s","Predeterminado: %s"
"Default Expiry (days)","Expiración por defecto (días)"
"Delete","Eliminar"
"Delete Gift Card","Eliminar tarjeta de regalo"
"Disabled","Deshabilitado"
"Edit","Editar"
"Edit Gift Card '%s'","Editar Tarjeta Regalo '%s'"
"Edit this to manually adjust the balance. Use ""Admin Comment"" to explain the adjustment.","Edita esto para ajustar manualmente el saldo. Usa ""Comentario de Administración"" para explicar el ajuste."
"Email Sender","Remitente de Email"
"Email Settings","Ajustes de Email"
"Email Template","Plantilla de email"
"Enable Gift Cards","Habilitar tarjetas de regalo"
"Enter gift card code","Introduzca código de vale de regalo"
"Enter the code printed on your gift card to view the current balance and expiry date.","Introduzca el código impreso en su tarjeta de regalo para ver el saldo actual y la fecha de caducidad."
