"Additional Product Attributes","Atributos adicionales del artículo"
"API Endpoint URL","API Endpoint URL"
"Authentication Type","Tipo de autenticación"
"Auth Token","Token de Auth"
"Bearer Token","Tóken de portador"
"Custom Header","Cabecera personalizada"
"Custom Header Name","Nombre cabecera personalizado"
"Debug Mode","Modo de depuración"
"Displayed Error Message","Mensaje de error mostrado"
"Enabled","Activado"
"None","Ninguna"
"Request Timeout (seconds)","Tiempo de espera de solicitud (segundos)"
"Select product attributes to include in the API request payload.","Seleccione los atributos del producto a incluir en la carga útil de la solicitud de API."
"Shipping Bridge","Puente de envío"
"Ship to Applicable Countries","Enviar a los países aplicables"
"Ship to Specific Countries","Enviar a países específicos"
"Sort Order","Ordenar"
"Title","Título"
