"%s items queued for embedding.","%s elementos en cola para incrustar."
"Action","Accin"
"AI","AI"
"AI: could not refresh models for %s. See exception.log.","AI: no se pudo actualizar los modelos para %s. Ver exception.log."
"AI: refreshed %d models for %s.","AI: actualizó los modelos %d para %s."
"AI Configuration","Configuración IA"
"AI Task #%s","AI Task #%s"
"AI Task History","AI Task History"
"AI Usage","Uso de IA"
"already queued","ya en cola"
"Async Queue","Cola de sincronización"
"Auto-embed Categories","Categorías autoincrustadas"
"Auto-embed Products","Productos autoincrustados"
"Back","Atrás"
"Background","Fondo"
"Blocked Input Patterns","Patrones de entrada bloqueados"
"Calls","Llamadas"
"Cancelled","Cancelado"
"Categories (%s active)","Categorías (%s activo)"
"Complete","Complete"
"Completed","Completado"
"Completion","Finalización"
"Consumer","Consumidor"
"Context","Contexto"
"Current Configuration","Configuración actual"
"Default AI Provider","Default AI Provider"
"Default Placeholder Height","Altura por defecto del marcador de posición"
"Default Placeholder Width","Ancho por defecto del marcador de posición"
"Disabled","Deshabilitado"
"e.g. http://localhost:11434","e.g. http://localhost:11434"
"e.g. openai/gpt-4o, anthropic/claude-sonnet-4-6, google/gemini-2.0-flash","ej. openai/gpt-4o, antropic/claude-sonnet-4-6, google/gemini-2.0-flash"
"Embedding","Embedding"
"Embeddings","Incrustaciones"
"Embeddings are disabled. Enable them under System &gt; AI &gt; Embed Settings before queuing.","Embeddings are disabled. Enable them under System &gt; AI &gt; Embed Settings before queuing."
"Embed Provider","Proveedor integrado"
"Embed Status","Estado integrado"
"Enable Async Queue","Activar cola Async"
"Enabled","Activado"
"Enable Embeddings","Habilitar incrustaciones"
"Enable Image Generation","Activar generación de imágenes"
"Error","Error"
"Error: ","Error: "
"Estimated completion: ~%d hours %d minutes.","Finalización estimada: ~%d horas %d minutos."
"Estimated completion: ~%d minutes.","Finalización estimada: ~%d minutos."
"Failed","Fallo"
"Failed to fetch models. See exception.log for details.","Error al recuperar modelos. Vea exception.log para más detalles."
"Fetching...","Recuperando..."
"Flag responses containing email addresses, phone numbers, or SSNs.","Marque las respuestas que contengan direcciones de correo electrónico, números de teléfono o SSNs."
"Google Embed Model","Modelo integrado de Google"
"ID","ID"
"Image","Imagen"
"Image Generation","Generación de imágenes"
"Image Provider","Proveedor de imagen"
"Input Tokens","Input Tokens"
"Interactive","Interactivo"
"In Tokens","En tokens"
"Log Requests","Solicitudes de registro"
"Max seconds a task can run before being marked as failed.","Máximo de segundos que se puede ejecutar una tarea antes de ser marcada como fallada."
"Max Tasks Per Cron Run","Tareas Máximas por Cron Ejecutar"
"Messages","Mensajes"
"Mistral Embed Model","Modelo de inserción Mistral"
"Model","Modelo"
"Must be installed locally via `ollama pull`.","Debe instalarse localmente a través de `ollama pull`."
"No items were queued. Make sure products/categories have text content.","No hay artículos en la cola. Asegúrate de que los productos y categorías tienen contenido de texto."
"Ollama Embed Model","Ollama Modelo Embed"
"One regex per line. Matching inputs will be rejected.","Una expresión regular por línea. Las entradas coincidentes serán rechazadas."
"OpenAI-compatible endpoint, e.g. https://api.example.com/v1","endpoint compatible con OpenAI, p. ej., https://api.example.com/v1"
"OpenAI Embed Model","Modelo de inserción OpenAI"
"OpenAI Image Model","Modelo de imagen OpenAI"
"Output Tokens","Tokens de salida"
"Out Tokens","Fichas de salida"
"Pending","Pendiente"
"Pending Embed Tasks","Tareas pendientes de inserción"
"PII Detection","Detección PII"
"Placeholder URL Pattern","Patrón de URL de marcador de posición"
"Platform","Plataforma"
"Platform / Model","Plataforma / Modelo"
"Priority","Prioridad"
"Processing","Procesando"
"Products (%s enabled)","Productos (%s habilitado)"
"Prompt Injection Detection","Detección de inyección de comprobación"
"Queue","Cola"
"Queue an embedding task whenever a category is saved.","Cola una tarea de incrustación cada vez que se guarda una categoría."
"Queue an embedding task whenever a product is saved.","Cola una tarea de incrustación cada vez que se guarda un producto."
"Queue Cron Schedule","Cola de programación Cron"
"Queued","En cola"
"Queue for Embedding","Cola para incrustar"
"Queue Status","Estado de cola"
"Refresh Models","Actualizar modelos"
"Response","Respuesta"
"Retries","Reintentos"
"Return a placeholder image URL when image generation is disabled or fails.","Devuelve una URL de imagen de marcador de posición cuando la generación de imágenes está desactivada o falla."
"Safety & Guardrails","Seguridad y Guardias"
"Sanitize HTML Output","Sanitizar salida HTML"
"Scan user inputs for prompt injection attempts before sending to AI.","Escanear entradas de usuario para intentos de inyección de prompt antes de enviar a AI."
"Status","Estado"
"Store ID","ID de tienda"
"Strip dangerous tags/attributes from AI responses used as HTML.","Remover etiquetas o atributos peligrosos de respuestas de IA utilizadas como HTML."
"Target Dimensions","Target Dimensions"
"Task #%s","Tarea #%s"
"Task Details","Detalles de la tarea"
"Task History","Historial de tareas"
"Task not found.","Tarea no encontrada."
"Task Timeout (seconds)","Tiempo de espera de tarea (segundos)"
"The async queue is disabled. Enable it under System &gt; AI &gt; Queue Settings or tasks will never be processed.","La cola asíncrona está deshabilitada. Habilítelo bajo Sistema &gt; IA &gt; Configuración de cola o tareas nunca serán procesadas."
"This queues %s products and %s categories (%s tasks total) for background processing.","Esto pone en cola productos %s y categorías %s (%s tareas total) para el procesamiento en segundo plano."
"This will queue all selected items for embedding. Continue?","Esto pondrá en cola todos los elementos seleccionados para incrustar. ¿Continuar?"
"Type","Tipo"
"Usage","Uso"
"Use Placeholder Fallback","Uso de Retroceso del marcador"
"Use {w} and {h} tokens for width/height. e.g. https://placehold.co/{w}x{h} or https://picsum.photos/{w}/{h}","Usar tokens {w} y {h} para ancho/altura. ej. https://placehold.co/{w}x{h} o https://picsum.photos/{w}/{h}"
"Vector size. 0 = model default. OpenAI and Google support native truncation; others are truncated after retrieval.","Tamaño vectorial. 0 = modelo predeterminado. OpenAI y Google soportan el truncamiento nativo; otros son truncados después de recuperación."
"Vector with %d dimensions","Vector con dimensiones %d"
"View","Ver"
"Warning: %d embedding tasks are already pending. Running this again will add duplicate tasks.","Advertencia: %d tareas de incrustación ya están pendientes. Ejecutando esto de nuevo añadirá tareas duplicadas."
"— save the API key to load available models —","— guardar la clave de API para cargar modelos disponibles —"
