"Action","Accin"
"Add Sitemap","Añadir mapa del sitio"
"Add Sitemap Lines","Añadir líneas Sitemap"
"Adds the full text of every active CMS page of this store view. Products and categories stay out: the sitemaps address them one URL at a time. When off, /llms-full.txt answers 404.","Añade el texto completo de cada página CMS activa de esta vista de tienda. Los productos y categorías permanecen fuera: los mapas del sitio los dirigen una URL a la vez. Cuando está apagado, /llms-full.txt responde 404."
"AI search crawlers (blocking these removes the store from AI answers)","AI busca rastreadores (bloqueando estos elimina la tienda de respuestas de IA)"
"Always","Siempre"
"Appended to the generated file. Groups written here keep their own rules and also receive the base rules above. A group that carries its own Content-Signal line keeps it, and the configured signals are left out of that group.","Agregado al archivo generado. Los grupos escritos aquí guardan sus propias reglas y también reciben las reglas de base arriba. Un grupo que lleva su propia línea Content-Signal la mantiene y las señales configuradas quedan fuera de ese grupo."
"Base Rules","Reglas Base"
"Blocked AI Crawlers","Cortadores IA bloqueados"
"Categories Options","Opciones de categorías"
"CMS Pages Options","Opciones de páginas CMS"
"Content Signal: ai-input","Señal de contenido: aiír"
"Content Signal: ai-train","Señal de contenido: ai-train"
"Content Signal: search","Señal de contenido: búsqueda"
"Content Signal: use","Señal de contenido: usar"
"Content signals state what a crawler may do with the pages it reads, on a Content-Signal line in the wildcard group. They are a stated condition of access, not an enforcement mechanism, and no crawler is obliged to honour them. This one covers building a search index and returning links and short excerpts, and does not cover AI generated summaries.","Las señales de contenido indican lo que un raspador puede hacer con las páginas que lee, en una línea de señal de contenido en el grupo comodín. Se trata de una condición de acceso declarada, no de un mecanismo de aplicación y ningún rasguñador está obligado a cumplirlos. Este cubre la creación de un índice de búsqueda y enlaces que regresen y extractos cortos, y no cubre resúmenes generados por IA (IA generada)."
"Crawlers & robots.txt","Robots y rastreadores.txt"
"Custom Instructions","Instrucciones personalizadas"
"Daily","Diario"
"Do not show in sitemap","No mostrar en mapa del sitio"
"Each agent selected here gets its own group with Disallow: /. Blocking an AI search crawler removes the store from AI answers, so block only what you mean to. To block an agent that this list does not name, write its group in Custom Instructions below.","Cada agente seleccionado aquí tiene su propio grupo con No permitir: /. Bloquear un rastreador de búsqueda de IA elimina la tienda de respuestas de IA, así que bloquea sólo lo que quieras. Para bloquear a un agente que esta lista no nombre, escriba su grupo en instrucciones personalizadas a continuación."
"Edit Sitemap","Editar mapa del sitio"
"Enabled","Activado"
"Error Email Recipient","Destinatario de Email de Error"
"Error Email Sender","Error Email Sender"
"Error Email Template","Plantilla de Email de Error"
"Extra Content","Extra Content"
"Feeding the pages to an AI model at answer time, which is how a store reaches AI search answers. Reserving it asks assistants to leave the store out of their answers.","Alimentar las páginas a un modelo de IA en tiempo de respuesta, que es cómo una tienda llega a las respuestas de búsqueda de IA. Reservar pide a los asistentes que dejen la tienda fuera de sus respuestas."
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","El archivo ""%s"" no se puede guardar. Por favor, asegúrese de que el directorio ""%s"" tiene permisos de escritura en el servidor web."
"Filename","Nombre de archivo"
"Frequency","Frecuencia"
"Full: keep and reuse the content","Completo: mantener y reutilizar el contenido"
"Generate","Generar"
"Generate llms-full.txt","Generar llms-full.txt"
"Generate llms.txt","Generar llms.txt"
"Generate robots.txt","Generate robots.txt"
"Generation Settings","Ajustes de generación"
"Google Sitemap","Google Sitemap"
"Hourly","Por hora"
"How much of the content an AI system may keep once it has read it.","Qué parte del contenido puede tener un sistema de IA una vez que lo haya leído."
"ID","ID"
