"# of Uses","# de usos"
"%s tag(s) have been accepted for moderation.","%s etiqueta(s) han sido aceptadas para moderación."
"<strong>Tag Name:</strong> %s","<strong>Tag Name:</strong> %s"
"Action","Accin"
"Add","Añadir"
"Add New Tag","Añadir nueva etiqueta"
"Add tag(s) to product","Añadir etiqueta(s) al producto"
"Add Tags","Añadir Etiquetas"
"Add to Cart","Añadir al carrito"
"Add to Wishlist","Añadir a lista de deseos"
"Add Your Tags:","Añade tus etiquetas:"
"All Tags","Todas las etiquetas"
"Approved","Aprobado"
"Are you sure?","¿Estás seguro?"
"Are you sure you want to delete this tag?","¿Está seguro que desea eliminar esta etiqueta?"
"Are you sure you want to do this?","¿Estás seguro de que quieres hacer esto?"
"Back","Atrás"
"Back to Tags List","Volver a la lista de etiquetas"
"Base Popularity","Popularidad base"
"Block Information","Información del bloque"
"Catalog Product View","Vista de producto de catálogo"
"Change status","Cambiar estado"
"Click on a tag to view your corresponding products.","Haga clic en una etiqueta para ver sus productos correspondientes."
"Country","País"
"CSV","CSV"
"Customer My Account My Tags List","Cliente Mi Cuenta Mi Lista de Etiquetas"
"Customer My Account Tag View","Cliente Mi cuenta Vista Tag"
"Customers","Clientes"
"Customer Since","Cliente desde"
"Customers Submitted this Tag","Clientes enviados esta etiqueta"
"Customers Tagged '%s'","Clientes etiquetaron '%s'"
"Delete","Eliminar"
"Delete Tag","Eliminar Etiqueta"
"Disabled","Deshabilitado"
"Edit Tag '%s'","Editar Etiqueta '%s'"
"Email","E-mail"
"Enable Adding Tags in Frontend","Activar añadir etiquetas en el Frontend"
"First Name","Nombre"
"General Information","Información General"
"Grid","Rejilla"
"ID","ID"
"Info","Info"
"Last Name","Apellido"
"List","Lista"
"Manage Tags","Administrar Etiquetas"
"Middle Name","Segundo nombre"
"My Recent Tags","Mis etiquetas recientes"
"My Tags","Mis etiquetas"
"Name","Nombre"
"New Tag","Nueva etiqueta"
"No matches found.","No se encontraron coincidencias."
"Pending","Pendiente"
"Pending Tags","Etiquetas pendientes"
"Popular","Popular"
"Popular Tags","Etiquetas populares"
"Price","Precio"
"Product Name","Producto"
"Products","Productos"
"Product SKU","SKU del producto"
"Products Tagged by Administrators","Productos etiquetados por administradores"
"Products Tagged by Customers","Productos etiquetados por los clientes"
"Products Tagged with '%s'","Productos etiquetados con '%s'"
"Products tagged with '%s'","Productos etiquetados con '%s'"
"Product Tag API","Etiqueta de producto API"
"Product Tags","Etiquetas de producto"
"Rebuild Tag aggregation data","Reconstruir datos de agregación de etiquetas"
"Remove","Eliminar"
"Remove product tag","Eliminar etiqueta de producto"
"Retrieve list of tags by product","Recuperar lista de etiquetas por producto"
"Retrieve product tag info","Recuperar información de etiqueta de producto"
"Save and Continue Edit","Guardar y continuar editando"
"Save Tag","Guardar etiqueta"
"SKU","SKU"
"Status","Estado"
"Store View","Vista de tienda"
"Tag","Etiqueta"
"Tag ""%s"" has already been added to the product.","La etiqueta ""%s"" ya ha sido añadida al producto."
"Tag ""%s"" has been added to the product.","La etiqueta ""%s"" se ha añadido al producto."
"Tag ""%s"" has been rejected by administrator.","La etiqueta ""%s"" ha sido rechazada por el administrador."
"Tag Aggregation Data","Etiqueta datos de agregación"
"Tagged Products List","Lista de productos etiquetados"
"Tag Name","Nombre de la etiqueta"
"Tags","Etiquetas"
"Tags:","Etiquetas:"
"Tags List (All Available)","Lista de Etiquetas (Todas Disponibles)"
"Tags List Before","Lista de etiquetas antes de"
"Telephone","Teléfono"
"There are no tags available.","No hay etiquetas disponibles."
"The tag has been deleted.","La etiqueta ha sido eliminada."
"Unable to find any products tagged with '%s' in the current store","No se han podido encontrar ningún producto etiquetado con '%s' en la tienda actual"
"Unable to remove tag. Please, try again later.","No se puede eliminar la etiqueta. Por favor, inténtalo de nuevo más tarde."
"Unable to save tag(s).","No se puede guardar etiqueta(s)."
"Update","Actualizar"
"Update product tag","Actualizar etiqueta de producto"
"Use spaces to separate tags. Use single quotes (') for phrases.","Utilice espacios para separar etiquetas. Utilice comillas simples (') para frases."
"View All Tags","Ver todas las etiquetas"
"View Customers","Ver clientes"
"View Products","Ver Productos"
"XML","XML"
"You have not tagged any products yet.","Aún no has etiquetado ningún producto."
"ZIP/Post Code","Código postal"
"[STORE VIEW]","[VISTA]"
