"%s message(s) discarded.","%s mensaje(s) descartados."
"%s message(s) re-queued.","%s mensaje(s) re-en cola."
"%s message(s) were skipped: only failed or stuck messages without a newer copy of their dedupe key can be retried.","%s message(s) were skipped: only failed or stuck messages without a newer copy of their dedupe key can be retried."
"%s queue message(s) were claimed by a worker that never finished. They are not re-queued automatically: <a href=""%s"">retry or discard them</a>.","%s queue message(s) were claimed by a worker that never finished. They are not re-queued automatically: <a href=""%s"">retry or discard them</a>."
"0 keeps failed messages forever.","0 mantiene los mensajes fallidos para siempre."
"0 removes messages immediately on success; a positive value keeps them visible in the grid for this many days.","0 elimina los mensajes inmediatamente en caso de éxito; un valor positivo los mantiene visibles en la cuadrícula durante estos muchos días."
"Action","Accin"
"Available","Disponible"
"Available (UTC)","Disponible (UTC)"
"Back","Atrás"
"Background message processing. Maho cron keeps one detached ""queue:work"" worker running per pool: a resident ""fast"" worker so short jobs never queue behind long ones, plus a ""slow"" catch-all started only while it has work. Both are respawned within a minute if they die. Pools are declared in config.xml under global/queue/pools.","Procesamiento de mensajes en segundo plano. Maho cron mantiene un trabajador separado ""queue:work"" ejecutándose por grupo: un trabajador ""rápido"" residente para que los trabajos cortos nunca colen detrás de los largos, además de un ""lento"" catch-all comenzó sólo mientras tiene trabajo. Ambos son reaparecidos en un minuto si mueren. Las piscinas son declaradas en config.xml bajo global/queue/pools."
"Body (serialized)","Cuerpo (serializado)"
"Claimed (UTC)","Claimed (UTC)"
"Completed","Completado"
"Discard","Descartar"
"Discard Messages","Descartar mensajes"
"Each retry waits this many times longer than the previous one.","Cada reintento espera esto muchas veces más que el anterior."
"Error","Error"
"Failed","Fallo"
"Failed messages are retried this many times with exponential backoff, then marked failed.","Los mensajes fallidos son reintentados muchas veces con un respaldo exponencial, luego marcados como fallidos."
"ID","ID"
"Initial Retry Delay (seconds)","Retraso inicial de reintento (segundos)"
"Keep Completed Messages (days)","Mantener mensajes completados (días)"
"Keep Failed Messages (days)","Mantener mensajes fallidos (días)"
"Max Retries","Reintentos máximos"
"Max Retry Delay (seconds)","Retraso Máximo de Reintento (segundos)"
"Message","Mensaje"
"Message #%s","Mensaje #%s"
"Message Class","Message Class"
"Message Details","Detalles del mensaje"
"Message discarded.","Mensaje descartado."
"Message not found.","Mensaje no encontrado."
"Message Queue","Cola de mensajes"
"Message re-queued.","Mensaje de nuevo en cola."
"Pending","Pendiente"
"Permanently delete the selected messages?","¿Eliminar permanentemente los mensajes seleccionados?"
"Permanently delete this message?","¿Eliminar este mensaje de forma permanente?"
"Processed (UTC)","Procesado (UTC)"
"Processing","Procesando"
"Queue","Cola"
"Queued","En cola"
"Queued (UTC)","Queued (UTC)"
"Re-queue the selected messages?","¿Volver a poner en cola los mensajes seleccionados?"
"Re-queue this message?","¿Volver a poner en cola este mensaje?"
"Retries","Reintentos"
"Retry","Reintentar"
"Retry Delay Multiplier","Reintentar Multiplicador Retraso"
"Retry Messages","Reintentar mensajes"
"Status","Estado"
"The message was not retried: only failed or stuck messages without a newer copy of their dedupe key can be retried.","El mensaje no fue reintentado: sólo se pueden probar mensajes fallidos o atascados sin una copia más reciente de su clave dedupe."
"Upper bound for the backoff. 0 means no bound.","Límite superior para el backoff. 0 significa sin límite."
"View","Ver"
"View Messages","Ver mensajes"
