"""Remember Me"" Default Value","Valor predeterminado de ""Recordarme"""
"(Not %s?)","(No %s?)"
"* Required Fields","* Campos obligatorios"
"Address","Dirección"
"Address Information","Información de dirección"
"Already registered?","¿Ya registrado?"
"Back","Atrás"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Al crear una cuenta con nuestra tienda, podrás moverte a través del proceso de pago más rápido, almacenar múltiples direcciones de envío, ver y rastrear tus pedidos en tu cuenta y más."
"Cannot load configuration from file %s.","No se puede cargar la configuración desde el archivo %s."
"Checking &quot;Remember Me&quot; will let you access your shopping cart on this computer when you are logged out","Comprobando &quot;Recuérdame&quot; te permitirá acceder a tu carrito de compras en esta computadora cuando estés desconectado"
"Checkout as Guest","Checkout como Invitado"
"Checkout as a Guest","Checkout como Invitado"
"Checkout as a Guest or Register","Realizar el pago como invitado o Registrarse"
"City","Ciudad"
"Clear Persistence on Log Out","Limpiar Persistencia al Cerrar Sesión"
"Close","Cerrar"
"Company","Empresa"
"Confirm Password","Confirmar contraseña"
"Continue","Continuar"
"Country","País"
"Create an Account","Crear una cuenta"
"Easy access to your order history and status","Acceso fácil a tu historial de pedidos y estado"
"Email Address","Dirección de email"
"Enable ""Remember Me""","Activar ""Recordarme"""
"Enable Persistence","Activar persistencia"
"Fast and easy check out","Rápido y fácil checkout"
"Faster checkout","Checkout más rápido"
"Fax","Fax"
"Forgot Your Password?","¿Olvidaste la contraseña?"
"Forgot your password?","¿Olvidaste la contraseña?"
"General Options","Opciones generales"
"If you have an account with us, please log in.","Si tienes una cuenta con nosotros, por favor inicia sesión."
"Loading next step...","Cargando próximo paso..."
"Login","Entrar"
"Login Information","Información de inicio de sesión"
"Login or Create an Account","Iniciar sesión o Crear una cuenta"
"New Customers","Nuevos clientes"
"New Here?","¿Nuevo aquí?"
"Password","Contraseña"
"Persist Shopping Cart","Hacer persistente la cesta de la compra"
"Persistence Lifetime (seconds)","Duración de la persistencia (segundos)"
"Persistent Shopping Cart","Carrito de compras persistente"
"Personal Information","Información Personal"
"Please enter the following information to create your account.","Por favor, introduzca la siguiente información para crear su cuenta."
"Please log in below:","Por favor, inicie sesión a continuación:"
"Please select region, state or province","Por favor selecciona región, estado o provincia"
"Register","Registrarse"
"Register and Checkout","Registrarse y Finalizar compra"
"Register and save time!","Registra y ahorra tiempo!"
"Register to Create an Account","Regístrate para crear una cuenta"
"Register with us for future convenience:","Regístrate con nosotros para comodidad futura:"
"Registered Customers","Clientes registrados"
"Registration is free and easy!","El registro es gratuito y fácil!"
"Remember Me","Recordarme"
"Returning Customers","Clientes que Regresan"
"Save in address book","Guardar en libreta de direcciones"
"Save multiple shipping addresses","Guardar varias direcciones de envío"
"Select State/Province...","Selecciona Estado/Provincia..."
"Select a billing address from your address book or enter a new address.","Selecciona una dirección de facturación de tu libro de direcciones o ingresa una dirección nueva."
"Ship to different address","Enviar a dirección diferente"
"Ship to this address","Envía a esta dirección"
"Shopping cart has been updated with appropriate prices","Carro de compras ha sido actualizado con precios adecuados"
"Sign Up for Newsletter","Suscribirse al boletín"
"Sign in to speed up your checkout process","Inicia sesión para agilizar tu proceso de checkout"
"State/Province","Estado/provincia"
"Street Address","Dirección"
"Street Address %s","Dirección de la calle %s"
"Submit","Enviar"
"Telephone","Teléfono"
"To proceed to Checkout, please log in using your email address.","Para proceder al Pago, por favor inicia sesión con tu dirección de correo electrónico."
"VAT Number","Número de identificación fiscal"
"View and track orders and more","Ver y rastrear pedidos y más"
"Welcome, %s!","Bienvenido, %s!"
"Zip/Postal Code","Código Postal"
