"Action","Accin"
"Are you sure you want to restore this version? The current content will be saved as a new version first.","¿Está seguro de que desea restaurar esta versión? El contenido actual se guardará como una nueva versión primero."
"Back","Atrás"
"Blog module is not enabled.","El módulo de blog no está habilitado."
"Blog Post","Entrada"
"CMS Block","Bloque CMS"
"CMS Page","Página CMS"
"Content has been restored from version. The previous state was saved as a new version.","El contenido ha sido restaurado de la versión. El estado anterior ha sido guardado como una nueva versión."
"Content Version History","Historial de versiones de contenido"
"Content Versioning","Content Versioning"
"Date","Fecha"
"Delete versions older than this many days. Set to 0 for unlimited.","Eliminar versiones anteriores a estos muchos días. Establecer a 0 para ilimitado."
"Editor","Editor"
"Maximum number of versions to keep per entity. Set to 0 for unlimited.","Número máximo de versiones a conservar por entidad. Establecer en 0 para ilimitado."
"Max Version Age (Days)","Edad Máxima de Versión (Días)"
"Max Versions Per Entity","Máximo de versiones por entidad"
"No versions available. Versions are created when content is saved.","No hay versiones disponibles. Las versiones se crean cuando se guarda el contenido."
"No version specified.","No se especificó ninguna versión."
"Preview","Vista previa"
"Restore","Restaurar"
"Snapshot Data","Datos instantáneos"
"Source entity not found.","Entidad de origen no encontrada."
"Version","Versión"
"Version %s","Versión %s"
"Version Details","Detalles de la versión"
"Version not found.","Versión no encontrada."
"Versions","Versiones"
